측정시간,로트번호,설비번호,공정명,온도_섭씨,압력_Pa,두께_nm,진동_mm_s,처리시간_sec,합격여부
2024-03-18 12:00,LOT-0094,EQ-02,산화,301.5,1019.8,102.85,0.733,116.6,1
2024-03-18 17:00,LOT-0370,EQ-03,식각,301.7,1016.5,101.54,0.495,125.1,-1
2024-03-19 04:00,LOT-0083,EQ-03,식각,300.9,1011.3,99.65,0.473,120.3,1
2024-03-19 05:00,LOT-0270,EQ-03,식각,303.9,1004.4,103.2,0.498,121.7,1
2024-03-19 14:00,LOT-0586,EQ-03,세정,302.6,1012.0,103.76,0.5,114.8,1
2024-03-20 18:00,LOT-0336,EQ-04,식각,300.2,1015.9,101.12,0.473,120.7,1
2024-03-20 22:00,LOT-0323,EQ-03,세정,304.0,1010.5,100.3,0.516,128.4,1
2024-03-21 01:00,LOT-0499,EQ-03,세정,298.7,1010.9,100.38,0.512,120.6,1
2024-03-21 07:00,LOT-0349,EQ-04,식각,301.1,1019.2,100.13,0.448,112.3,1
2024-03-21 08:00,LOT-0483,EQ-03,증착,297.3,1005.3,99.5,0.454,121.0,1
2024-03-21 17:00,LOT-0174,EQ-03,세정,304.4,1017.6,103.88,0.527,115.4,1
2024-03-22 09:00,LOT-0475,EQ-03,산화,301.7,1008.9,100.77,0.535,118.7,1
2024-03-23 00:00,LOT-0385,EQ-02,포토,309.1,1002.1,106.85,0.658,121.7,1
2024-03-23 05:00,LOT-0328,EQ-04,산화,308.9,1018.6,104.27,0.511,115.4,1
2024-03-24 04:00,LOT-0159,EQ-01,증착,302.9,1018.0,103.45,0.501,118.9,1
2024-03-24 14:00,LOT-0275,EQ-02,세정,304.0,1005.9,101.66,0.637,129.2,1
2024-03-24 19:00,LOT-0429,EQ-04,포토,300.9,1006.0,101.57,0.515,125.5,1
2024-03-25 13:00,LOT-0304,EQ-03,식각,302.9,1021.3,102.1,0.448,117.2,1
2024-03-26 17:00,LOT-0049,EQ-02,산화,309.2,1013.5,104.6,0.678,109.3,1
2024-03-26 20:00,LOT-0458,EQ-04,산화,303.7,998.0,104.22,0.501,118.4,1
2024-03-26 22:00,LOT-0429,EQ-03,산화,303.6,1005.5,99.94,0.495,117.9,1
2024-03-27 02:00,LOT-0254,EQ-02,식각,300.2,1015.2,101.48,0.614,117.3,1
2024-03-27 19:00,LOT-0060,EQ-04,포토,301.9,1008.0,100.55,0.466,119.1,1
2024-03-27 21:00,LOT-0287,EQ-03,증착,302.0,1019.8,101.16,0.472,115.6,1
2024-03-28 00:00,LOT-0321,EQ-04,증착,302.3,1009.2,101.39,0.471,126.1,1
2024-03-28 01:00,LOT-0206,EQ-01,증착,302.0,1016.8,100.13,0.463,117.7,1
2024-03-28 04:00,LOT-0593,EQ-01,증착,303.7,1012.9,102.85,0.529,120.5,1
2024-03-28 20:00,LOT-0523,EQ-04,세정,300.7,1015.4,98.7,0.518,128.9,1
2024-03-29 00:00,LOT-0128,EQ-01,세정,301.8,1013.7,96.87,0.538,118.8,1
2024-03-29 18:00,LOT-0436,EQ-02,식각,308.3,1012.8,104.87,0.674,115.0,-1
2024-03-30 01:00,LOT-0452,EQ-03,세정,306.7,1002.9,101.8,0.508,113.5,1
2024-03-30 11:00,LOT-0498,EQ-01,세정,303.3,1022.0,103.57,0.544,122.1,1
2024-03-31 00:00,LOT-0218,EQ-02,증착,310.0,1008.7,105.79,0.525,119.9,1
2024-03-31 01:00,LOT-0522,EQ-02,식각,303.0,1003.9,101.73,0.66,127.9,1
2024-03-31 04:00,LOT-0499,EQ-02,식각,305.6,1024.8,101.53,0.597,113.3,1
2024-03-31 12:00,LOT-0478,EQ-01,세정,301.1,1007.8,101.94,0.512,116.9,1
2024-03-31 14:00,LOT-0549,EQ-01,식각,301.2,1024.1,99.53,0.49,118.6,1
2024-03-31 17:00,LOT-0121,EQ-01,산화,302.3,995.8,99.57,0.423,121.8,1
2024-03-31 20:00,LOT-0139,EQ-04,식각,300.7,1015.3,98.28,0.499,116.3,1
2024-03-31 23:00,LOT-0500,EQ-02,식각,313.5,1012.8,106.89,0.645,112.4,-1
2024-04-01 03:00,LOT-0157,EQ-04,세정,303.7,1006.5,103.88,0.565,127.3,1
2024-04-01 12:00,LOT-0035,EQ-03,세정,302.3,1021.5,102.23,0.468,111.4,1
2024-04-01 13:00,LOT-0306,EQ-02,산화,301.7,1004.5,100.94,0.632,115.9,1
2024-04-01 17:00,LOT-0561,EQ-02,세정,302.6,1013.4,100.69,0.637,109.6,1
2024-04-01 18:00,LOT-0480,EQ-03,세정,305.1,1008.6,102.7,0.528,125.6,1
2024-04-01 21:00,LOT-0461,EQ-04,산화,301.8,1019.3,103.12,0.505,111.1,1
2024-04-02 07:00,LOT-0045,EQ-01,식각,307.7,1004.0,105.17,0.426,124.0,1
2024-04-02 11:00,LOT-0164,EQ-04,증착,303.8,1014.1,102.56,0.556,125.5,1
2024-04-02 19:00,LOT-0128,EQ-02,산화,305.7,1013.5,105.69,0.588,112.2,1
2024-04-02 20:00,LOT-0166,EQ-03,증착,300.1,996.3,99.77,0.492,127.8,1
2024-04-03 09:00,LOT-0141,EQ-01,세정,309.3,1037.0,105.76,0.498,121.5,1
2024-04-04 00:00,LOT-0523,EQ-01,식각,308.5,1014.3,102.7,0.5,115.0,1
2024-04-04 01:00,LOT-0183,EQ-01,포토,306.7,1016.0,102.99,0.521,130.4,1
2024-04-04 02:00,LOT-0563,EQ-01,산화,307.8,1018.8,103.83,0.523,122.2,1
2024-04-04 09:00,LOT-0167,EQ-02,세정,300.7,1009.6,100.23,0.716,123.6,-1
2024-04-04 11:00,LOT-0457,EQ-04,포토,302.3,1008.4,101.83,0.485,122.8,1
2024-04-04 21:00,LOT-0143,EQ-01,포토,304.7,994.7,101.75,0.476,119.1,1
2024-04-05 00:00,LOT-0076,EQ-03,세정,303.8,1008.0,102.73,0.512,120.9,1
2024-04-05 02:00,LOT-0097,EQ-04,포토,301.0,1011.7,101.77,0.475,120.6,1
2024-04-05 13:00,LOT-0592,EQ-04,포토,304.2,1016.6,101.67,0.49,116.8,-1
2024-04-05 21:00,LOT-0334,EQ-02,증착,302.4,1013.0,101.43,0.604,114.2,1
2024-04-06 01:00,LOT-0576,EQ-03,세정,303.3,1014.2,102.5,0.471,123.1,1
2024-04-06 06:00,LOT-0461,EQ-02,산화,307.8,1013.6,102.5,0.481,118.5,1
2024-04-06 11:00,LOT-0201,EQ-03,식각,304.8,1015.2,104.49,0.529,114.7,1
2024-04-06 18:00,LOT-0037,EQ-02,세정,295.9,1015.2,96.69,0.543,118.2,1
2024-04-06 20:00,LOT-0545,EQ-01,증착,301.9,1013.6,101.18,0.545,117.1,1
2024-04-06 21:00,LOT-0455,EQ-02,세정,299.4,1019.3,97.09,0.524,127.0,1
2024-04-07 11:00,LOT-0139,EQ-04,포토,306.3,1000.0,104.43,0.494,122.0,1
2024-04-07 16:00,LOT-0014,EQ-04,포토,300.7,1009.2,101.06,0.508,112.4,1
2024-04-08 00:00,LOT-0192,EQ-02,세정,297.8,1018.1,98.41,0.548,120.2,1
2024-04-08 06:00,LOT-0579,EQ-04,증착,305.7,1011.7,102.09,0.522,118.2,1
2024-04-08 10:00,LOT-0375,EQ-04,포토,301.1,1005.0,101.28,0.538,117.0,1
2024-04-08 15:00,LOT-0197,EQ-04,증착,305.9,1010.2,101.22,0.519,123.6,1
2024-04-08 16:00,LOT-0403,EQ-02,산화,297.3,1011.0,99.44,0.708,118.5,1
2024-04-10 06:00,LOT-0232,EQ-04,포토,309.0,1013.2,106.45,0.519,113.6,1
2024-04-10 18:00,LOT-0233,EQ-01,산화,305.7,1028.2,104.45,0.503,120.7,1
2024-04-11 03:00,LOT-0579,EQ-01,포토,304.3,1023.7,104.33,0.522,115.8,1
2024-04-11 04:00,LOT-0090,EQ-04,산화,306.0,1008.8,103.29,0.546,121.1,1
2024-04-11 07:00,LOT-0240,EQ-04,세정,308.0,1014.1,105.2,0.544,115.8,1
2024-04-11 12:00,LOT-0140,EQ-04,포토,302.7,1028.2,102.67,0.459,129.3,1
2024-04-11 13:00,LOT-0224,EQ-04,식각,302.9,1008.9,102.52,0.494,128.0,1
2024-04-12 07:00,LOT-0203,EQ-03,포토,306.9,1018.6,102.8,0.469,119.3,1
2024-04-13 00:00,LOT-0461,EQ-01,증착,309.9,1010.2,105.69,0.485,128.1,-1
2024-04-13 05:00,LOT-0413,EQ-02,포토,295.7,1004.9,96.66,0.534,117.9,1
2024-04-13 13:00,LOT-0082,EQ-04,포토,308.8,1010.9,105.67,0.581,119.8,1
2024-04-14 03:00,LOT-0330,EQ-02,산화,305.3,1012.9,103.41,0.734,128.8,-1
2024-04-14 04:00,LOT-0077,EQ-02,세정,304.5,1022.5,104.19,0.687,118.0,1
2024-04-14 08:00,LOT-0227,EQ-04,산화,306.7,1006.4,105.22,0.475,124.0,1
2024-04-14 11:00,LOT-0333,EQ-03,세정,304.2,1023.3,104.26,0.514,120.5,1
2024-04-14 12:00,LOT-0585,EQ-02,산화,302.2,1011.0,100.75,0.736,127.6,1
2024-04-15 09:00,LOT-0162,EQ-01,산화,310.8,1011.2,108.67,0.489,120.5,1
2024-04-15 10:00,LOT-0340,EQ-04,산화,302.1,1004.6,102.54,0.516,114.5,1
2024-04-15 23:00,LOT-0343,EQ-03,식각,305.6,995.9,108.08,0.523,123.2,1
2024-04-16 05:00,LOT-0228,EQ-03,식각,309.1,1012.9,106.33,0.499,120.7,1
2024-04-16 15:00,LOT-0205,EQ-01,증착,305.1,1006.3,99.83,0.476,121.2,1
2024-04-16 20:00,LOT-0463,EQ-03,산화,307.3,1012.8,107.01,0.604,122.9,1
2024-04-17 09:00,LOT-0247,EQ-03,세정,305.6,1010.0,101.77,0.478,125.4,1
2024-04-17 17:00,LOT-0132,EQ-02,세정,301.7,995.7,101.15,0.608,116.9,1
2024-04-18 01:00,LOT-0403,EQ-03,증착,306.9,1007.3,103.83,0.476,114.4,1
2024-04-19 01:00,LOT-0211,EQ-04,산화,305.5,1011.2,103.13,0.572,116.8,1
2024-04-19 13:00,LOT-0321,EQ-02,포토,296.1,1011.4,100.17,0.654,114.0,-1
2024-04-20 12:00,LOT-0586,EQ-01,증착,307.3,1012.5,105.64,0.5,115.7,1
2024-04-20 13:00,LOT-0454,EQ-03,포토,304.8,1011.4,103.64,0.413,128.8,1
2024-04-20 19:00,LOT-0110,EQ-01,증착,306.2,1004.8,103.23,0.474,117.8,1
2024-04-21 06:00,LOT-0135,EQ-03,산화,304.4,1011.0,102.36,0.537,118.5,1
2024-04-22 06:00,LOT-0385,EQ-04,산화,309.3,1007.2,105.98,0.48,121.4,1
2024-04-22 22:00,LOT-0523,EQ-03,포토,308.0,1011.3,105.47,0.449,118.7,1
2024-04-22 23:00,LOT-0379,EQ-02,식각,304.0,1011.9,102.33,0.618,114.3,1
2024-04-23 03:00,LOT-0478,EQ-03,식각,305.4,1011.3,100.62,0.519,121.0,1
2024-04-23 05:00,LOT-0250,EQ-04,증착,305.2,1026.9,103.75,0.537,118.2,1
2024-04-23 09:00,LOT-0472,EQ-03,포토,305.4,1003.1,103.32,0.501,129.7,1
2024-04-24 20:00,LOT-0424,EQ-04,세정,303.6,997.4,101.01,0.457,126.1,1
2024-04-25 03:00,LOT-0290,EQ-04,포토,309.5,1015.5,106.62,0.503,117.3,1
2024-04-25 19:00,LOT-0093,EQ-02,포토,305.5,1007.2,104.53,0.623,123.7,-1
2024-04-25 20:00,LOT-0240,EQ-03,세정,308.1,1013.6,104.59,0.501,116.5,1
2024-04-26 01:00,LOT-0533,EQ-03,세정,308.1,1010.1,108.79,0.544,123.3,1
2024-04-26 04:00,LOT-0096,EQ-01,증착,305.3,1014.2,101.9,0.49,108.1,1
2024-04-26 05:00,LOT-0105,EQ-02,증착,306.6,1008.1,103.95,0.571,115.9,-1
2024-04-26 06:00,LOT-0245,EQ-01,식각,302.7,1007.6,102.09,0.59,122.2,1
2024-04-26 15:00,LOT-0255,EQ-04,증착,305.5,1027.1,103.64,0.44,121.6,-1
2024-04-27 00:00,LOT-0275,EQ-04,포토,304.5,1021.5,104.53,0.497,121.5,1
2024-04-27 06:00,LOT-0027,EQ-04,식각,308.2,1003.6,104.02,0.512,121.9,1
2024-04-28 02:00,LOT-0142,EQ-04,포토,304.4,1009.0,101.28,0.452,126.1,1
2024-04-28 05:00,LOT-0006,EQ-04,세정,304.6,1021.6,105.57,0.59,129.7,1
