측정시간,로트번호,설비번호,공정명,온도_섭씨,압력_Pa,가스유량_slm,처리시간_sec,합격여부
2024-03-12 17:00,LOT-0165,EQ-01,산화,299.0,1006.0,51.92,121.8,1.0
2024-03-13 04:00,LOT-0285,EQ-02,세정,299.6,1009.3,53.27,111.2,1.0
2024-03-13 07:00,LOT-0059,EQ-03,세정,299.3,1004.3,50.61,123.9,1.0
2024-03-13 08:00,LOT-0013,EQ-04,식각,301.7,1007.8,48.75,126.7,1.0
2024-03-13 21:00,LOT-0144,EQ-04,세정,301.1,1013.7,46.74,116.0,1.0
2024-03-14 03:00,LOT-0253,EQ-04,포토,292.1,1008.8,48.52,128.6,1.0
2024-03-14 05:00,LOT-0210,EQ-04,식각,295.5,-42.91051951259853,51.49,120.0,1.0
2024-03-14 06:00,LOT-0203,EQ-01,증착,296.7,1014.1,50.95,114.0,-1.0
2024-03-14 07:00,LOT-0143,EQ-03,증착,302.3,1017.5,46.21,127.2,1.0
2024-03-14 09:00,LOT-0252,EQ-02,산화,298.5,1007.0,50.25,119.0,1.0
2024-03-15 05:00,LOT-0016,EQ-02,식각 ,302.7,1025.9,46.42,117.4,1.0
2024-03-15 21:00,LOT-0336,EQ-03,식각,302.6,1013.1,51.02,129.4,1.0
2024-03-16 07:00,LOT-0031,EQ-03,증착,300.8,1013.8,53.1,127.2,-1.0
2024-03-16 15:00,LOT-0357,EQ-01,증착,291.7,1001.0,49.26,118.4,
2024-03-16 23:00,LOT-0329,EQ-02,산화,308.0,1030.5,,116.5,1.0
2024-03-17 20:00,LOT-0368,EQ-03,포토,302.1,1027.8,48.73,119.8,-1.0
2024-03-18 00:00,LOT-0375,EQ-04,포토,298.2,1021.8,49.36,120.9,-1.0
2024-03-18 14:00,LOT-0155,EQ-02,포토,301.8,1025.3,51.37,124.2,1.0
2024-03-18 22:00,LOT-0395,EQ-03,포토,298.6,1006.2,51.64,107.3,-1.0
2024-03-19 02:00,LOT-0100,EQ-03,포토,300.9,1007.3,48.91,121.7,-1.0
2024-03-19 03:00,LOT-0224,EQ-02,증착,297.3,1015.0,52.32,121.1,-1.0
2024-03-19 07:00,LOT-0252,EQ-01,세정,309.3,1011.9,49.74,118.2,1.0
2024-03-19 19:00,LOT-0140,EQ-02,증착,299.6,1002.8,43.62,120.8,1.0
2024-03-19 22:00,LOT-0394,EQ-04,식각,302.6,1013.3,50.88,123.4,1.0
2024-03-21 05:00,LOT-0117,EQ-02,식각,298.1,1018.5,51.01,112.1,1.0
2024-03-21 12:00,LOT-0336,EQ-01,세정,304.3,1009.9,43.98,113.1,1.0
2024-03-21 14:00,LOT-0258,EQ-04,산화,306.9,1023.5,49.47,119.0,1.0
2024-03-21 18:00,LOT-0042,EQ-04,세정,302.0,1014.5,51.36,118.5,1.0
2024-03-21 21:00,LOT-0168,EQ-04,세정,297.9,,50.24,119.3,1.0
2024-03-22 01:00,LOT-0132,EQ-02,산화,302.2,1005.2,48.35,121.5,1.0
2024-03-22 07:00,LOT-0282,EQ-03,식각,300.6,1002.9,48.03,130.1,1.0
2024-03-22 16:00,LOT-0362,EQ-04,증착,,1018.9,49.92,117.6,-1.0
2024-03-22 20:00,LOT-0230,EQ-03,식각,302.4,1000.9,49.28,120.9,-1.0
2024-03-23 05:00,LOT-0169,EQ-04,산화,302.7,1016.9,51.25,124.0,1.0
2024-03-23 15:00,LOT-0091,EQ-03,산화,300.5,1016.9,-5.0,117.9,1.0
2024-03-23 17:00,LOT-0208,EQ-02,포토,300.2,1001.9,53.07,117.5,-1.0
2024-03-23 19:00,LOT-0322,EQ-03,증착,557.7273663570352,1017.0,48.94,121.1,1.0
2024-03-23 20:00,LOT-0009,EQ-02,증착,,1013.0,51.03,121.7,1.0
2024-03-23 23:00,LOT-0136,EQ-01,포토,300.9,1026.8,51.03,115.6,-1.0
2024-03-24 06:00,LOT-0122,EQ-04,산화,303.4,1016.1,50.09,122.1,1.0
2024-03-24 09:00,LOT-0044,EQ-03,포토,299.0,1011.5,51.58,121.5,-1.0
2024-03-24 18:00,LOT-0065,EQ-02,산화,299.5,1017.0,46.89,121.0,1.0
2024-03-25 00:00,LOT-0336,EQ-02,포토,295.8,1023.1,49.37,124.3,-1.0
2024-03-25 02:00,LOT-0338,EQ-01,증착,299.8,1006.0,53.85,112.5,-1.0
2024-03-25 20:00,LOT-0338,EQ-01,산화,297.8,1006.7,51.28,123.5,1.0
2024-03-25 21:00,LOT-0221,EQ-01,증착,291.3,1019.5,50.19,116.9,-1.0
2024-03-26 00:00,LOT-0204,EQ-02,증착,296.5,1029.0,52.19,118.9,-1.0
2024-03-26 06:00,LOT-0391,EQ-01,산화,294.0,1002.4,49.8,117.9,1.0
2024-03-26 10:00,LOT-0164,EQ-02,산화,298.8,-26.98123388830481,47.88,114.3,1.0
2024-03-26 11:00,LOT-0236,EQ-01,산화,298.3,1016.9,50.47,121.5,1.0
2024-03-26 20:00,LOT-0321,EQ-01,세정,305.0,1019.6,51.81,129.3,1.0
2024-03-27 18:00,LOT-0079,EQ-03,세정,300.4,1018.0,49.38,120.5,1.0
2024-03-28 00:00,LOT-0276,EQ-01,포토,297.5,1009.9,,125.8,
2024-03-28 04:00,LOT-0056,EQ-04,포토,298.1,1008.5,50.55,115.7,1.0
2024-03-28 22:00,LOT-0298,EQ-02,식각,298.1,1030.9,49.96,116.1,1.0
2024-03-29 09:00,LOT-0180,EQ-03,식각,297.9,1002.8,250.0,119.4,1.0
2024-03-29 20:00,LOT-0171,EQ-01,세정,301.8,1013.9,54.15,116.7,1.0
2024-03-30 00:00,LOT-0325,EQ-01,세정,297.6,1025.0,54.7,115.8,1.0
2024-03-30 01:00,LOT-0348,EQ-04,포토,300.9,1012.2,47.69,123.1,1.0
2024-03-30 05:00,LOT-0278,EQ-04,세정,303.9,1019.1,49.96,122.0,1.0
2024-03-30 14:00,LOT-0240,EQ-02,산화,297.8,1013.6,48.55,123.7,1.0
2024-03-30 19:00,LOT-0182,EQ-02,포토,299.9,1007.0,52.37,120.1,-1.0
2024-03-30 23:00,LOT-0312,EQ-01,세정,306.7,1017.5,49.9,118.6,1.0
2024-04-01 04:00,LOT-0011,EQ-02,산화,302.1,1013.1,51.94,117.5,1.0
2024-04-01 07:00,LOT-0294,EQ-02,세정,298.6,1008.1,49.82,124.8,-1.0
2024-04-01 10:00,LOT-0012,EQ-03,포토,302.5,1018.5,48.16,119.2,1.0
2024-04-02 05:00,LOT-0264,EQ-03,포토,299.0,1010.3,53.17,125.6,-1.0
2024-04-02 18:00,LOT-0098,EQ-02,포토,296.7,1014.8,50.39,124.8,1.0
2024-04-02 19:00,LOT-0286,EQ-03,산화,303.4,1008.9,49.71,130.6,1.0
2024-04-03 04:00,LOT-0042,EQ-02,증착,296.2,,48.36,118.1,1.0
2024-04-04 17:00,LOT-0155,EQ-04,식각,297.2,1020.2,50.71,127.0,1.0
2024-04-04 22:00,LOT-0306,EQ-03,산화,299.2,1015.1,52.45,114.6,-1.0
2024-04-05 00:00,LOT-0006,EQ-02,세정,303.2,1011.5,49.52,126.9,1.0
2024-04-05 05:00,LOT-0218,EQ-02,포토,302.4,1011.0,54.64,123.8,1.0
2024-04-05 14:00,LOT-0384,EQ-02,산화,297.3,1011.3,53.45,126.8,1.0
2024/03/05,LOT-0020,EQ-01,포토,299.7,1005.6,50.48,111.2,1.0
2024-04-06 16:00,LOT-0331,EQ-04,포토,298.4,1024.5,51.38,128.2,1.0
2024-04-07 03:00,LOT-0209,EQ-04,산화,303.1,1005.9,49.45,119.4,1.0
03-05-2024 10:00,LOT-0398,EQ-01,세정,301.0,1019.7,51.3,119.0,1.0
2024-03-30 05:00,LOT-0278,EQ-04,세정,303.9,1019.1,49.96,122.0,1.0
2024-04-05 05:00,LOT-0218,EQ-02,포토,302.4,1011.0,54.64,123.8,1.0
2024-03-02 04:00,LOT-0132,EQ-02,세정,297.2,1001.0,49.9,132.3,1.0
