측정시간,로트번호,설비번호,공정명,온도_섭씨,압력_Pa,가스유량_slm,합격여부
2024-03-16 22:00,LOT-0068,EQ-01,증착,301.1,1009.8,49.96,1
2024-03-17 03:00,LOT-0397,EQ-03,산화,300.5,999.8,51.54,1
2024-03-17 04:00,LOT-0337,EQ-04,증착,296.6,1008.3,50.36,1
2024-03-17 11:00,LOT-0275,EQ-02,산화,300.9,1019.4,45.21,1
2024-03-17 15:00,LOT-0141,EQ-02,식각,297.7,1018.0,50.54,1
2024-03-18 14:00,LOT-0325,EQ-02,증착,306.6,1001.5,49.06,1
2024-03-19 06:00,LOT-0032,EQ-02,식각,295.3,1008.7,50.5,-1
2024-03-19 18:00,LOT-0237,EQ-02,산화,298.9,1009.3,52.53,-1
2024-03-20 15:00,LOT-0032,EQ-02,포토,297.9,1023.7,46.7,1
2024-03-20 17:00,LOT-0376,EQ-04,산화,295.9,1010.7,50.26,1
2024-03-20 19:00,LOT-0370,EQ-02,세정,301.6,1006.6,51.71,1
2024-03-20 21:00,LOT-0126,EQ-02,포토,301.2,1012.2,46.82,1
2024-03-21 00:00,LOT-0170,EQ-01,포토,300.8,992.4,52.53,1
2024-03-21 05:00,LOT-0117,EQ-02,포토,306.2,1013.0,51.13,1
2024-03-21 16:00,LOT-0336,EQ-02,세정,297.7,1019.9,50.45,1
2024-03-21 23:00,LOT-0142,EQ-04,산화,301.9,1015.3,48.31,1
2024-03-22 02:00,LOT-0387,EQ-03,산화,300.4,997.4,50.72,1
2024-03-22 09:00,LOT-0143,EQ-01,증착,301.1,1031.4,51.31,1
2024-03-22 16:00,LOT-0052,EQ-04,식각,294.8,1016.7,48.3,1
2024-03-23 07:00,LOT-0012,EQ-04,세정,295.1,1010.9,48.65,1
2024-03-23 13:00,LOT-0299,EQ-04,산화,303.4,1011.1,48.14,1
2024-03-24 05:00,LOT-0315,EQ-03,식각,295.2,1018.6,50.37,1
2024-03-24 18:00,LOT-0384,EQ-01,증착,304.5,1010.8,50.52,1
2024-03-25 03:00,LOT-0271,EQ-02,포토,306.2,1010.8,51.64,1
2024-03-25 04:00,LOT-0149,EQ-01,증착,297.7,1016.8,50.54,1
2024-03-26 08:00,LOT-0334,EQ-03,식각,301.4,1003.2,49.08,1
2024-03-26 09:00,LOT-0108,EQ-03,세정,300.8,1018.0,49.93,1
2024-03-27 07:00,LOT-0048,EQ-01,세정,306.2,1004.3,48.16,1
2024-03-27 12:00,LOT-0340,EQ-02,증착,308.7,1015.4,51.84,1
2024-03-28 02:00,LOT-0172,EQ-01,세정,303.3,1020.3,48.01,1
2024-03-28 12:00,LOT-0365,EQ-02,세정,303.6,1016.1,48.22,-1
2024-03-29 08:00,LOT-0311,EQ-01,증착,305.1,1018.5,50.04,-1
2024-03-29 11:00,LOT-0130,EQ-01,포토,296.2,1008.9,46.22,1
2024-03-30 02:00,LOT-0281,EQ-03,증착,299.8,1005.7,50.82,1
2024-03-30 04:00,LOT-0113,EQ-04,식각,303.6,1020.3,52.58,1
2024-03-30 10:00,LOT-0363,EQ-04,포토,298.1,1010.9,51.21,-1
2024-03-31 10:00,LOT-0399,EQ-03,식각,306.8,1005.2,51.36,1
2024-03-31 13:00,LOT-0219,EQ-02,세정,296.3,1007.7,50.96,-1
2024-03-31 17:00,LOT-0292,EQ-01,세정,299.3,1006.2,50.05,1
2024-04-02 02:00,LOT-0387,EQ-04,세정,300.5,1017.7,49.9,1
2024-04-02 05:00,LOT-0379,EQ-03,포토,302.8,1016.6,47.74,1
2024-04-02 06:00,LOT-0329,EQ-03,증착,296.3,1023.6,50.67,1
2024-04-02 19:00,LOT-0148,EQ-01,증착,298.4,1003.0,51.72,1
2024-04-03 02:00,LOT-0118,EQ-02,세정,301.5,1012.4,53.78,1
2024-04-03 04:00,LOT-0376,EQ-02,증착,300.3,1011.3,49.23,-1
2024-04-03 05:00,LOT-0369,EQ-02,세정,302.3,995.3,50.74,1
2024-04-03 06:00,LOT-0189,EQ-03,산화,296.6,1011.4,50.96,-1
