측정시간,로트번호,설비번호,공정명,온도_섭씨,압력_Pa,가스유량_slm,처리시간_sec,합격여부
2024-04-02 12:00,LOT-0149,EQ-02,식각,301.4,1006.2,50.19,115.7,1.0
2024-04-02 17:00,LOT-0273,EQ-04,포토,297.4,1020.0,50.62,119.2,1.0
2024-04-03 12:00,LOT-0201,EQ-01,산화,,1007.4,50.89,124.6,1.0
2024-04-03 18:00,LOT-0150,EQ-02,포토,300.5,1029.9,50.66,127.7,1.0
2024-04-04 00:00,LOT-0162,EQ-04,세정,298.3,1014.2,52.24,127.9,1.0
2024-04-04 16:00,LOT-0234,EQ-03,식각,299.0,1013.9,51.54,117.3,1.0
2024-04-04 23:00,LOT-0044,EQ-01,세정,302.3,1018.2,49.25,119.3,1.0
2024-04-05 11:00,LOT-0275,EQ-01,포토,305.1,1012.6,52.19,114.9,-1.0
2024-04-05 23:00,LOT-0349,EQ-02,세정,309.1,1005.5,49.39,111.2,1.0
2024-04-06 04:00,LOT-0368,EQ-02,세정,300.8,1013.6,50.56,124.3,1.0
2024-04-06 07:00,LOT-0276,EQ-04,포토,294.3,1016.0,48.66,112.2,-1.0
2024-04-06 13:00,LOT-0319,EQ-03,산화,298.3,1008.7,47.08,123.1,-1.0
2024/03/05,LOT-0383,EQ-04,증착,,1011.0,47.5,116.6,1.0
2024-04-06 19:00,LOT-0256,EQ-01,포토,300.4,1012.5,52.79,118.4,1.0
2024-04-06 23:00,LOT-0304,EQ-03,산화,297.3,997.8,51.34,125.0,1.0
03-05-2024 10:00,LOT-0017,EQ-02,포토,301.4,1006.5,48.47,115.1,1.0
2024-03-30 07:00,LOT-0308,EQ-02,포토,297.9,1022.3,50.06,125.2,1.0
2024-04-06 07:00,LOT-0276,EQ-04,포토,294.3,1016.0,48.66,112.2,-1.0
2024-03-02 12:00,LOT-0304,EQ-01,세정,297.5,1008.9,51.2,115.3,1.0
