측정시간,로트번호,설비번호,공정명,온도_섭씨,압력_Pa,가스유량_slm,합격여부
2024-03-13 15:00,LOT-0174,EQ-04,증착,308.4,1008.8,49.92,1
2024-03-14 00:00,LOT-0113,EQ-01,산화,301.2,1003.6,47.91,-1
2024-03-15 11:00,LOT-0337,EQ-03,산화,301.6,1018.7,51.2,1
2024-03-15 13:00,LOT-0245,EQ-01,포토,304.9,1018.2,51.29,1
2024-03-15 18:00,LOT-0218,EQ-02,식각,304.9,1019.6,45.75,-1
2024-03-16 00:00,LOT-0357,EQ-02,포토,296.7,1011.1,49.04,1
2024-03-16 12:00,LOT-0173,EQ-04,포토,297.2,1020.8,51.1,1
2024-03-16 16:00,LOT-0001,EQ-02,식각,298.9,1017.4,49.56,1
2024-03-16 18:00,LOT-0099,EQ-04,산화,305.3,1027.4,51.24,1
2024-03-17 04:00,LOT-0184,EQ-04,산화,295.5,1012.3,51.45,1
2024-03-17 05:00,LOT-0130,EQ-03,산화,298.0,995.1,47.13,1
2024-03-17 10:00,LOT-0210,EQ-03,산화,299.2,1003.7,50.71,1
2024-03-17 12:00,LOT-0392,EQ-01,산화,300.3,1015.3,48.4,1
2024-03-18 06:00,LOT-0360,EQ-01,포토,301.0,1000.9,45.53,1
2024-03-18 08:00,LOT-0063,EQ-01,증착,298.7,1017.8,51.23,1
2024-03-18 09:00,LOT-0387,EQ-02,세정,305.1,1006.2,48.64,1
2024-03-19 01:00,LOT-0147,EQ-02,산화,297.2,1013.1,49.95,1
2024-03-20 03:00,LOT-0159,EQ-01,증착,308.4,1014.4,51.59,1
2024-03-20 07:00,LOT-0237,EQ-04,증착,301.0,1005.1,52.23,1
2024-03-20 09:00,LOT-0157,EQ-01,식각,302.9,1015.2,49.68,1
2024-03-20 10:00,LOT-0092,EQ-02,세정,295.2,1021.4,48.34,1
2024-03-21 05:00,LOT-0233,EQ-04,세정,301.5,1007.6,48.92,-1
2024-03-21 07:00,LOT-0278,EQ-04,세정,295.2,1009.3,52.39,1
2024-03-21 12:00,LOT-0383,EQ-03,식각,294.3,1007.0,49.54,1
2024-03-21 13:00,LOT-0367,EQ-02,식각,303.3,1017.0,53.81,1
2024-03-22 05:00,LOT-0102,EQ-03,포토,300.1,1019.8,53.36,1
2024-03-22 16:00,LOT-0344,EQ-04,산화,295.5,1006.5,48.88,1
2024-03-22 19:00,LOT-0365,EQ-01,세정,292.0,1008.4,53.88,1
2024-03-22 20:00,LOT-0269,EQ-01,증착,303.0,1018.4,49.06,-1
2024-03-23 08:00,LOT-0019,EQ-02,산화,300.1,1012.2,49.99,1
2024-03-23 09:00,LOT-0034,EQ-01,포토,303.2,1025.5,50.12,1
2024-03-23 13:00,LOT-0220,EQ-02,산화,303.9,1011.2,48.14,1
2024-03-23 14:00,LOT-0272,EQ-04,식각,304.6,1006.3,50.43,1
2024-03-23 20:00,LOT-0268,EQ-01,세정,291.0,1001.6,51.49,1
2024-03-24 00:00,LOT-0153,EQ-01,세정,287.0,1006.2,54.86,1
2024-03-24 01:00,LOT-0160,EQ-01,세정,302.6,997.3,52.96,1
2024-03-24 08:00,LOT-0340,EQ-01,증착,292.4,1013.6,49.11,1
2024-03-25 00:00,LOT-0051,EQ-01,포토,304.4,1025.2,50.85,1
2024-03-25 08:00,LOT-0035,EQ-03,포토,301.6,998.7,52.52,1
2024-03-25 12:00,LOT-0270,EQ-04,포토,299.9,1000.1,49.98,-1
2024-03-25 13:00,LOT-0173,EQ-01,산화,299.6,1002.0,48.57,1
2024-03-25 17:00,LOT-0251,EQ-04,식각,293.5,1009.9,49.97,1
2024-03-26 00:00,LOT-0394,EQ-04,증착,299.5,1003.7,47.91,1
2024-03-27 01:00,LOT-0090,EQ-03,포토,299.1,1018.1,50.34,-1
2024-03-27 02:00,LOT-0217,EQ-02,증착,301.4,1019.8,49.12,-1
2024-03-28 12:00,LOT-0162,EQ-02,세정,307.8,1006.0,52.54,-1
2024-03-28 14:00,LOT-0064,EQ-03,증착,297.7,1009.6,49.68,1
2024-03-28 21:00,LOT-0218,EQ-01,세정,302.6,1005.5,47.65,1
2024-03-29 19:00,LOT-0029,EQ-02,세정,307.1,1016.9,51.57,1
2024-03-29 23:00,LOT-0069,EQ-04,증착,297.0,1026.2,49.61,1
2024-03-30 02:00,LOT-0081,EQ-03,포토,296.4,1003.5,48.27,1
2024-03-30 08:00,LOT-0006,EQ-01,세정,296.7,1007.9,50.69,1
2024-03-31 00:00,LOT-0250,EQ-02,산화,295.2,1002.7,48.48,1
2024-03-31 07:00,LOT-0091,EQ-01,식각,293.1,1015.5,46.59,1
2024-03-31 08:00,LOT-0390,EQ-01,증착,302.3,1015.4,47.65,1
2024-04-01 00:00,LOT-0208,EQ-03,증착,305.9,1005.4,52.23,1
2024-04-02 01:00,LOT-0224,EQ-03,세정,302.2,1009.8,52.95,1
2024-04-02 03:00,LOT-0248,EQ-03,증착,297.6,1029.9,49.09,1
2024-04-02 13:00,LOT-0005,EQ-01,증착,297.4,1028.7,50.68,1
2024-04-02 22:00,LOT-0179,EQ-03,증착,300.9,1004.8,46.42,1
