측정시간,로트번호,설비번호,공정명,온도_섭씨,압력_Pa,진공도_mTorr,두께_nm,진동_mm_s,냉각수온도_섭씨,습도_pct,합격여부
2024-03-29 17:00,LOT-0819,EQ-03,식각,304.5,1014.1,5.85,101.76,0.48,21.88,46.0,1
2024-03-29 19:00,LOT-0001,EQ-02,식각,297.2,1007.5,5.14,98.91,0.686,21.22,48.1,1
2024-03-29 22:00,LOT-0153,EQ-01,세정,295.9,1005.8,5.63,96.56,0.516,20.16,44.9,1
2024-03-30 03:00,LOT-0749,EQ-01,산화,290.7,1026.4,5.08,98.62,0.453,21.4,45.7,1
2024-03-30 07:00,LOT-0032,EQ-01,식각,303.4,1010.7,4.46,102.95,0.515,20.07,44.2,1
2024-03-30 20:00,LOT-0372,EQ-04,증착,304.5,1007.5,5.34,105.37,0.476,21.27,44.3,-1
2024-03-30 23:00,LOT-0192,EQ-03,증착,301.8,1012.8,5.01,101.07,0.542,19.5,43.3,1
2024-03-31 01:00,LOT-0041,EQ-02,포토,298.1,1004.6,5.65,95.59,0.598,21.07,44.3,-1
2024-03-31 02:00,LOT-0485,EQ-02,식각,299.1,1002.4,4.74,98.94,0.695,17.67,46.1,1
2024-03-31 08:00,LOT-0123,EQ-04,산화,295.9,1019.3,4.75,97.24,0.563,19.32,44.7,1
2024-03-31 10:00,LOT-0032,EQ-02,세정,293.7,1009.3,4.92,97.19,0.671,20.44,47.3,1
2024-03-31 16:00,LOT-0561,EQ-03,세정,298.2,1014.6,4.84,101.52,0.576,20.16,44.9,-1
2024-03-31 19:00,LOT-0256,EQ-04,증착,301.9,1031.4,5.32,101.01,0.5,20.48,43.9,1
2024-04-01 00:00,LOT-0374,EQ-04,증착,302.1,1005.1,5.83,102.63,0.566,21.29,45.6,1
2024-04-01 03:00,LOT-0865,EQ-01,포토,298.0,1025.8,3.96,100.09,0.493,20.0,46.8,1
2024-04-01 06:00,LOT-0695,EQ-04,세정,299.3,1000.7,4.91,100.85,0.477,20.28,42.0,1
2024-04-01 15:00,LOT-0708,EQ-03,식각,296.8,994.6,4.98,97.59,0.479,19.98,45.3,1
2024-04-01 17:00,LOT-0529,EQ-03,증착,301.4,1010.7,5.18,102.33,0.457,19.63,45.7,1
2024-04-01 20:00,LOT-0865,EQ-04,식각,302.3,1008.3,5.44,99.08,0.544,20.69,45.4,1
2024-04-01 21:00,LOT-0544,EQ-02,산화,304.1,1023.7,5.26,103.99,0.704,19.99,45.4,1
2024-04-02 10:00,LOT-0544,EQ-02,식각,301.2,1005.6,5.36,99.63,0.656,20.29,42.8,1
2024-04-02 12:00,LOT-0246,EQ-04,세정,297.6,1017.8,4.7,101.07,0.506,20.05,48.4,1
2024-04-02 13:00,LOT-0811,EQ-03,증착,298.7,1009.0,4.29,101.11,0.488,19.36,50.5,1
2024-04-02 20:00,LOT-0357,EQ-04,세정,305.9,1016.8,4.8,99.92,0.481,20.1,47.9,1
2024-04-02 21:00,LOT-0646,EQ-04,포토,300.7,1008.4,4.71,101.6,0.404,19.49,42.0,1
2024-04-02 22:00,LOT-0304,EQ-03,증착,300.6,999.3,5.32,100.36,0.478,18.35,45.3,1
2024-04-02 23:00,LOT-0149,EQ-04,식각,302.2,1019.9,5.12,100.22,0.516,22.08,49.9,1
2024-04-03 00:00,LOT-0197,EQ-02,산화,300.3,1019.6,5.17,100.35,0.715,18.98,44.3,1
2024-04-03 06:00,LOT-0593,EQ-03,산화,294.0,1017.8,4.76,98.42,0.493,21.44,45.4,1
2024-04-03 15:00,LOT-0261,EQ-03,포토,303.8,1003.7,4.75,101.37,0.496,19.83,45.3,1
2024-04-04 02:00,LOT-0342,EQ-01,포토,294.0,1017.1,4.64,96.84,0.612,18.85,40.3,1
2024-04-04 09:00,LOT-0479,EQ-02,증착,292.2,1018.3,5.49,96.84,0.677,19.22,46.2,1
2024-04-04 11:00,LOT-0777,EQ-03,포토,298.5,1021.5,5.03,98.43,0.478,20.19,39.7,1
2024-04-04 15:00,LOT-0310,EQ-04,세정,306.7,1017.0,5.23,106.06,0.495,18.35,44.4,1
2024-04-04 21:00,LOT-0195,EQ-04,산화,289.7,999.5,4.62,90.24,0.505,20.49,46.8,1
2024-04-04 22:00,LOT-0509,EQ-03,증착,302.1,1018.5,5.14,101.05,0.588,19.73,43.4,1
2024-04-05 00:00,LOT-0486,EQ-03,산화,306.0,1006.8,5.78,105.17,0.46,19.36,44.6,1
2024-04-05 02:00,LOT-0344,EQ-03,식각,302.8,997.1,4.6,99.81,0.502,20.9,46.5,1
2024-04-05 05:00,LOT-0347,EQ-04,산화,302.2,1008.0,4.64,101.49,0.454,19.89,45.5,1
2024-04-05 13:00,LOT-0362,EQ-02,식각,304.4,1015.2,4.19,100.26,0.671,20.13,44.3,1
2024-04-05 23:00,LOT-0684,EQ-04,산화,300.3,1002.1,5.06,100.55,0.559,18.85,42.4,1
2024-04-06 17:00,LOT-0278,EQ-03,증착,305.3,1015.1,5.15,104.28,0.464,21.01,48.2,1
2024-04-06 23:00,LOT-0723,EQ-01,식각,294.6,1013.3,4.39,95.16,0.461,20.55,47.9,1
2024-04-07 01:00,LOT-0419,EQ-02,증착,295.3,1016.0,5.19,96.93,0.616,18.78,44.0,1
2024-04-07 02:00,LOT-0231,EQ-03,식각,297.6,1005.2,5.58,96.41,0.436,20.35,46.7,-1
2024-04-07 03:00,LOT-0861,EQ-03,식각,298.1,1029.6,4.77,97.45,0.44,21.44,43.3,1
2024-04-07 05:00,LOT-0826,EQ-03,식각,300.2,1009.5,4.77,100.89,0.453,20.7,47.2,1
2024-04-07 06:00,LOT-0314,EQ-02,세정,297.3,1011.4,4.93,100.23,0.595,20.48,46.7,1
2024-04-07 07:00,LOT-0431,EQ-04,식각,295.7,1000.2,5.82,95.86,0.487,19.72,38.0,1
2024-04-07 11:00,LOT-0090,EQ-04,포토,292.5,1010.6,4.61,93.93,0.568,19.5,43.4,1
2024-04-07 17:00,LOT-0853,EQ-02,증착,298.7,1023.9,5.78,94.66,0.633,18.27,43.8,1
2024-04-08 01:00,LOT-0497,EQ-02,세정,292.5,1002.2,5.53,97.76,0.718,19.03,45.3,-1
2024-04-08 08:00,LOT-0004,EQ-03,산화,304.1,1004.4,4.8,101.7,0.49,19.74,39.9,1
2024-04-08 14:00,LOT-0299,EQ-02,식각,302.1,1014.9,5.0,102.58,0.666,19.0,40.7,1
2024-04-08 16:00,LOT-0127,EQ-03,포토,306.2,1022.5,4.94,102.96,0.509,22.1,43.3,-1
2024-04-08 20:00,LOT-0595,EQ-04,세정,297.3,1013.3,5.08,101.16,0.498,19.67,45.8,1
2024-04-09 07:00,LOT-0163,EQ-01,증착,296.7,1007.6,5.65,100.38,0.519,22.56,41.4,1
2024-04-09 08:00,LOT-0823,EQ-02,산화,303.4,995.7,5.04,100.48,0.64,19.68,44.9,1
2024-04-09 11:00,LOT-0758,EQ-03,세정,298.9,1016.3,4.79,100.66,0.506,19.96,45.2,1
2024-04-09 18:00,LOT-0673,EQ-02,식각,299.3,1004.8,5.02,99.19,0.66,18.76,43.5,1
2024-04-09 23:00,LOT-0311,EQ-04,산화,308.6,1023.5,5.77,103.18,0.472,18.11,38.7,1
2024-04-10 00:00,LOT-0376,EQ-03,증착,299.8,1010.5,4.98,98.23,0.53,18.68,47.7,1
2024-04-10 17:00,LOT-0137,EQ-03,세정,300.4,1030.8,4.71,98.35,0.529,21.09,43.8,1
2024-04-10 19:00,LOT-0047,EQ-02,산화,301.1,1022.6,4.86,103.51,0.649,20.93,43.2,1
2024-04-11 00:00,LOT-0303,EQ-02,식각,300.8,1008.0,4.7,103.35,0.598,19.25,48.6,1
2024-04-11 02:00,LOT-0211,EQ-02,세정,287.1,1014.3,5.47,94.35,0.693,19.86,41.1,1
2024-04-11 07:00,LOT-0169,EQ-03,세정,297.7,1007.7,4.91,96.24,0.467,20.6,49.9,1
2024-04-11 09:00,LOT-0403,EQ-03,세정,305.5,992.6,5.14,104.3,0.463,19.76,44.4,1
2024-04-11 20:00,LOT-0552,EQ-02,세정,297.2,1009.8,4.37,99.29,0.72,21.09,36.9,-1
2024-04-12 09:00,LOT-0504,EQ-01,식각,297.1,1018.6,4.73,98.71,0.51,20.57,48.0,1
2024-04-13 05:00,LOT-0098,EQ-02,산화,295.9,1004.9,5.28,98.42,0.846,19.32,49.7,1
2024-04-13 12:00,LOT-0066,EQ-02,산화,299.4,1009.1,5.41,98.89,0.726,20.04,52.1,1
2024-04-13 13:00,LOT-0060,EQ-04,식각,300.1,1019.1,4.4,98.72,0.498,19.12,41.2,1
2024-04-13 17:00,LOT-0272,EQ-02,세정,304.4,1011.6,4.57,102.93,0.804,18.34,46.8,1
2024-04-13 18:00,LOT-0304,EQ-03,세정,309.0,999.5,4.97,105.49,0.545,20.64,43.9,1
2024-04-13 19:00,LOT-0363,EQ-02,증착,298.0,1001.8,4.32,102.56,0.665,20.46,43.6,1
2024-04-14 03:00,LOT-0843,EQ-02,포토,301.3,1025.0,4.54,102.92,0.537,20.88,47.9,1
2024-04-14 04:00,LOT-0785,EQ-01,세정,307.3,1018.5,4.7,106.68,0.495,19.41,51.4,1
2024-04-14 10:00,LOT-0241,EQ-04,포토,299.4,1007.5,5.07,98.42,0.514,20.71,42.5,1
2024-04-14 12:00,LOT-0750,EQ-02,포토,307.0,1000.1,4.83,105.07,0.611,21.45,46.3,1
2024-04-14 17:00,LOT-0410,EQ-04,포토,297.8,1003.1,5.06,99.87,0.529,21.81,43.8,1
2024-04-14 18:00,LOT-0342,EQ-03,증착,295.1,1029.0,4.98,100.32,0.516,20.67,45.0,1
2024-04-14 21:00,LOT-0135,EQ-01,증착,299.7,1025.0,4.71,98.35,0.506,22.28,40.3,1
2024-04-14 22:00,LOT-0504,EQ-03,산화,295.3,1004.3,5.68,96.62,0.532,21.9,50.5,1
2024-04-15 06:00,LOT-0496,EQ-03,산화,302.6,997.3,4.84,102.15,0.516,22.61,48.4,1
2024-04-15 10:00,LOT-0767,EQ-03,포토,299.3,1005.0,5.32,100.44,0.551,22.28,48.0,1
2024-04-15 11:00,LOT-0818,EQ-02,증착,303.3,1006.6,5.47,100.37,0.735,24.14,44.1,1
2024-04-15 14:00,LOT-0082,EQ-01,증착,304.4,996.4,4.49,99.32,0.479,24.95,44.5,1
2024-04-15 15:00,LOT-0451,EQ-01,증착,308.6,1001.6,5.11,101.82,0.466,23.75,43.2,1
