공정명,설비번호,온도_섭씨,압력_Pa,가스유량_slm,두께_nm,진공도_mTorr,습도_pct,검사결과
포토,EQ-04,293.0,1025.8,48.59,91.99,5.17,42.1,1
증착,EQ-02,302.7,1002.2,48.28,101.68,4.68,40.2,0
식각,EQ-03,290.9,1010.4,50.13,92.44,4.35,47.3,0
산화,EQ-01,291.7,1014.8,46.35,94.44,4.8,49.0,1
세정,EQ-01,300.9,997.4,48.89,98.07,4.64,50.1,0
산화,EQ-04,303.8,989.9,50.98,102.31,4.41,50.3,1
식각,EQ-04,301.0,1009.3,57.01,98.38,4.96,37.8,0
포토,EQ-01,304.2,1014.1,47.76,101.71,5.59,41.1,0
산화,EQ-03,299.8,1014.4,54.43,97.6,5.06,39.7,0
식각,EQ-01,302.0,1020.8,50.14,101.45,5.17,43.3,0
세정,EQ-03,302.7,1009.1,50.24,99.21,5.16,44.4,0
증착,EQ-03,301.8,1004.2,50.96,100.08,5.25,42.0,0
포토,EQ-02,304.1,1026.5,52.74,101.32,5.09,45.0,1
세정,EQ-02,299.6,1007.5,47.96,98.6,5.1,45.3,0
증착,EQ-01,310.5,1015.8,50.72,105.6,4.47,44.4,0
식각,EQ-02,293.2,1005.0,46.72,97.24,4.53,43.2,1
산화,EQ-04,305.1,1020.2,52.67,102.37,5.03,47.0,0
포토,EQ-04,299.7,995.2,46.24,98.26,5.07,41.0,0
증착,EQ-02,305.3,1014.4,46.48,100.44,4.65,42.4,0
증착,EQ-02,300.1,1007.8,47.62,100.37,5.52,46.7,0
식각,EQ-02,297.4,1000.8,50.87,99.25,4.8,53.2,0
세정,EQ-04,295.8,1007.8,45.66,95.62,4.28,41.9,1
산화,EQ-02,299.3,1014.8,45.39,104.0,4.7,40.3,0
세정,EQ-01,301.7,1005.4,41.2,100.45,4.51,49.7,0
산화,EQ-04,298.7,1014.1,50.98,100.22,5.18,38.2,0
포토,EQ-02,302.8,1002.0,49.2,100.72,5.55,40.9,0
세정,EQ-03,303.5,1023.8,51.78,100.57,4.8,38.6,0
식각,EQ-04,295.0,1013.7,49.58,94.65,5.32,,0
세정,EQ-02,301.1,1012.6,48.65,102.98,5.55,48.2,0
포토,EQ-04,289.7,1016.2,49.22,94.42,4.71,42.5,0
세정,EQ-03,309.1,1019.6,54.36,102.26,5.24,40.3,0
산화,EQ-03,297.7,997.3,50.51,98.1,5.48,46.7,0
산화,EQ-01,299.9,999.8,53.77,100.38,5.3,40.6,0
세정,EQ-01,301.6,1021.3,49.03,100.48,4.64,46.6,1
포토,EQ-03,293.4,1006.6,47.35,96.79,4.87,54.7,0
증착,EQ-03,298.2,1003.6,49.25,97.79,4.99,44.1,1
포토,EQ-04,306.0,1017.7,49.1,102.36,5.29,40.4,0
산화,EQ-04,306.1,1012.6,50.36,104.59,4.16,44.9,1
세정,EQ-04,294.4,1012.5,52.96,97.69,4.71,46.0,0
식각,EQ-01,294.6,1018.6,43.57,96.87,4.65,49.1,0
포토,EQ-03,301.1,1025.2,47.78,100.03,5.47,41.0,0
증착,EQ-03,294.0,995.2,50.47,94.65,4.65,45.0,0
산화,EQ-03,293.2,997.4,51.12,98.16,4.52,49.8,1
증착,EQ-04,306.2,1016.3,50.87,104.98,4.97,45.6,0
포토,EQ-03,294.8,1001.8,47.66,92.62,5.23,40.8,0
세정,EQ-01,301.0,1024.2,42.89,102.13,4.79,46.8,0
증착,EQ-02,304.0,1022.4,51.31,102.42,5.11,37.6,0
포토,EQ-04,299.7,1014.0,44.87,99.66,5.2,42.9,0
산화,EQ-04,302.4,1012.4,45.21,101.86,5.5,45.0,0
증착,EQ-04,309.2,1000.3,46.58,105.06,5.02,43.9,1
산화,EQ-04,301.3,994.4,49.19,100.63,5.22,37.1,0
세정,EQ-01,304.7,1016.6,49.06,100.46,4.61,44.7,0
산화,EQ-04,296.5,1029.7,48.24,99.31,4.45,42.8,0
식각,EQ-01,307.7,1001.3,51.63,104.51,5.64,45.3,0
증착,EQ-03,298.8,1011.5,55.07,99.38,4.46,42.7,1
포토,EQ-03,302.0,1011.3,46.59,102.62,5.0,45.9,0
증착,EQ-04,292.9,1013.7,48.45,95.12,4.78,47.4,1
증착,EQ-01,300.0,1008.1,50.17,100.88,5.06,48.8,0
세정,EQ-02,301.6,1024.3,49.02,102.25,4.15,45.6,0
세정,EQ-03,299.2,999.9,52.03,98.24,5.02,48.7,0
포토,EQ-04,307.7,1015.6,50.59,105.5,4.97,39.2,1
식각,EQ-04,293.9,1013.8,50.64,94.17,5.23,43.8,1
세정,EQ-03,300.9,1015.0,48.07,99.74,4.9,52.1,0
포토,EQ-01,296.8,1010.6,46.5,98.45,4.56,37.8,0
산화,EQ-01,306.4,1003.2,48.4,102.66,5.32,44.5,1
산화,EQ-01,303.2,1001.6,53.07,105.83,4.76,43.5,1
산화,EQ-04,292.7,993.1,49.67,93.97,5.12,45.5,1
식각,EQ-04,291.6,1022.5,53.61,95.94,5.61,36.9,0
포토,EQ-04,295.7,1003.1,52.9,98.92,5.17,43.4,0
식각,EQ-03,305.8,996.5,52.56,103.95,5.39,46.6,0
증착,EQ-02,302.9,1026.9,,103.55,5.4,53.6,0
증착,EQ-01,302.8,1001.2,57.09,99.77,4.91,43.1,0
포토,EQ-03,304.4,1012.9,51.12,101.04,4.57,35.5,0
포토,EQ-04,296.6,1000.1,45.55,97.39,4.63,43.3,0
증착,EQ-03,299.9,1012.0,53.51,101.42,4.85,45.9,0
포토,EQ-04,303.7,1012.0,48.24,102.37,5.12,48.6,0
세정,EQ-02,301.6,1025.7,53.22,100.66,4.23,44.6,0
식각,EQ-04,302.3,1025.9,45.27,102.45,5.44,42.9,0
산화,EQ-01,306.2,1024.5,45.48,105.01,5.01,46.7,1
포토,EQ-01,297.4,1015.1,47.84,99.06,6.01,47.9,1
산화,EQ-03,305.2,1007.7,48.24,102.39,4.97,36.2,0
산화,EQ-04,302.1,1021.5,46.99,100.55,4.74,50.4,0
산화,EQ-01,300.5,1011.6,47.94,100.78,4.48,40.7,0
산화,EQ-03,297.4,1021.8,,100.02,5.72,40.3,0
세정,EQ-01,301.0,1034.4,51.88,100.97,5.13,46.2,0
증착,EQ-01,301.4,1010.8,48.21,101.78,5.24,38.0,0
포토,EQ-03,296.8,1023.4,50.52,101.3,5.09,46.0,0
식각,EQ-01,301.4,1026.7,48.86,98.38,4.87,46.3,0
산화,EQ-02,305.0,997.5,52.7,106.87,5.0,42.7,0
포토,EQ-01,299.5,998.8,51.24,102.76,4.25,45.0,0
산화,EQ-01,302.5,1004.5,53.87,101.08,5.48,48.3,0
산화,EQ-03,294.5,991.7,52.14,101.56,4.81,40.9,0
세정,EQ-01,303.5,1000.4,42.91,100.2,4.49,43.0,1
산화,EQ-03,300.5,989.3,48.23,102.65,5.38,35.5,0
세정,EQ-01,300.6,1030.1,48.1,98.15,6.03,43.4,0
세정,EQ-01,294.9,1005.2,50.98,97.62,4.4,46.7,1
산화,EQ-04,306.0,1015.2,47.62,104.29,4.4,46.7,0
증착,EQ-02,300.7,1033.5,46.53,99.9,4.8,,1
포토,EQ-04,299.6,1005.4,46.56,101.07,4.68,49.7,0
산화,EQ-04,295.7,1011.3,51.92,96.59,4.9,41.7,0
포토,EQ-04,294.5,1006.1,50.56,97.17,5.06,40.9,0
증착,EQ-04,293.9,1010.0,49.01,96.2,4.83,42.7,0
증착,EQ-03,298.9,1007.7,50.07,100.57,4.9,41.3,0
증착,EQ-03,299.2,1024.0,55.39,98.03,5.04,48.4,1
증착,EQ-02,302.3,1012.5,52.88,100.95,5.23,43.0,0
산화,EQ-03,303.5,1012.2,50.73,103.6,5.1,42.4,0
식각,EQ-01,296.8,1010.4,46.31,97.52,4.81,46.3,0
증착,EQ-03,305.2,1013.3,48.63,106.19,4.75,46.2,0
산화,EQ-04,305.9,1009.2,48.35,101.85,4.46,43.1,0
식각,EQ-01,305.0,1005.4,50.6,103.33,5.09,45.1,0
식각,EQ-03,301.0,1020.8,51.04,99.98,5.33,51.9,0
포토,EQ-04,290.9,1010.9,52.76,94.33,5.57,46.2,0
포토,EQ-04,301.7,1005.6,54.27,101.91,4.59,45.1,0
증착,EQ-04,295.0,1008.6,50.41,99.36,4.87,53.8,0
증착,EQ-02,307.0,1013.5,43.95,104.18,5.23,40.1,1
세정,EQ-02,306.3,1020.2,51.71,105.07,4.8,48.6,0
세정,EQ-03,307.9,990.6,52.98,105.2,5.12,43.6,0
세정,EQ-03,301.6,1004.8,49.87,99.29,4.9,48.9,1
증착,EQ-03,295.1,1007.3,49.98,97.85,4.87,45.6,0
산화,EQ-03,303.8,1012.8,54.55,102.54,5.48,49.4,0
포토,EQ-03,296.4,1011.5,50.91,96.59,5.03,45.6,0
포토,EQ-03,297.0,1006.8,48.04,97.77,4.25,45.8,1
포토,EQ-01,298.1,1008.8,50.49,99.45,5.16,47.4,0
증착,EQ-02,296.2,1008.3,50.21,99.73,5.07,45.1,0
포토,EQ-01,297.1,1013.7,51.67,97.46,4.37,42.3,1
세정,EQ-02,303.3,1013.0,44.63,100.85,4.91,40.4,0
증착,EQ-04,306.9,1023.7,50.46,102.13,4.29,47.0,0
세정,EQ-04,301.9,1014.3,53.38,102.42,4.94,41.1,0
산화,EQ-02,304.7,1023.8,46.9,103.91,5.28,45.1,0
산화,EQ-01,301.9,1004.0,53.64,100.58,5.09,46.9,0
식각,EQ-03,301.1,1006.4,52.73,101.0,4.96,47.7,0
식각,EQ-02,306.9,991.3,44.24,99.1,5.06,48.6,1
포토,EQ-02,300.7,1007.8,54.4,101.46,4.56,51.2,0
포토,EQ-04,306.8,1006.9,50.31,104.74,5.15,52.4,0
세정,EQ-03,298.6,1019.9,44.58,99.24,4.43,46.6,0
증착,EQ-03,305.0,1018.1,51.3,103.61,5.01,44.2,0
포토,EQ-01,299.3,1001.8,49.79,100.86,4.59,40.0,0
증착,EQ-01,305.0,1026.7,46.84,102.68,5.13,37.8,0
세정,EQ-02,294.2,1012.5,51.45,99.0,5.3,40.5,0
산화,EQ-03,294.7,1009.6,50.15,100.86,5.09,43.9,0
식각,EQ-03,295.7,1035.2,50.36,98.78,4.85,52.4,0
증착,EQ-01,304.2,1019.5,45.1,100.91,5.43,45.1,0
증착,EQ-02,301.4,1026.0,50.44,103.23,4.3,46.0,0
산화,EQ-04,296.4,1024.5,51.23,101.12,4.96,51.4,0
증착,EQ-04,298.5,1005.1,49.58,98.35,4.87,50.8,0
세정,EQ-02,305.2,1007.5,43.53,103.15,4.59,41.9,0
산화,EQ-01,303.5,1005.1,52.4,104.31,4.17,47.1,0
식각,EQ-02,301.1,1009.8,43.95,97.81,4.93,45.6,0
식각,EQ-02,299.9,1008.6,49.93,102.21,4.99,43.6,1
세정,EQ-02,296.4,1001.8,45.07,96.97,5.57,47.2,1
포토,EQ-03,309.3,1024.2,53.92,103.76,4.62,43.9,0
식각,EQ-04,306.2,997.7,49.58,105.57,4.52,39.9,0
포토,EQ-02,304.8,1007.6,55.45,101.48,5.25,43.8,0
포토,EQ-02,303.0,1017.3,46.16,99.19,5.26,43.8,0
세정,EQ-01,292.9,1023.4,51.92,93.49,5.49,41.5,1
식각,EQ-01,299.5,1011.0,46.71,96.89,4.63,48.0,0
증착,EQ-04,299.8,1010.1,53.1,102.55,5.15,42.6,0
산화,EQ-02,304.9,1005.8,52.95,103.59,5.42,37.3,0
식각,EQ-02,299.4,1015.3,46.77,101.47,5.77,44.9,1
포토,EQ-01,303.3,1024.3,54.02,100.66,4.47,47.2,0
식각,EQ-02,300.0,1016.7,46.68,102.31,5.31,52.8,0
세정,EQ-03,303.1,1006.0,48.23,98.96,5.41,52.1,0
산화,EQ-04,301.8,1013.2,47.88,98.27,5.01,39.3,0
세정,EQ-01,300.1,1003.6,49.45,99.83,5.48,40.9,0
산화,EQ-01,290.2,1009.6,40.89,95.31,5.59,44.6,1
세정,EQ-02,309.0,993.2,48.65,105.07,4.61,42.2,1
증착,EQ-04,308.6,996.3,43.11,105.61,4.96,42.5,0
포토,EQ-02,321.3,1005.0,48.34,112.4,5.08,45.7,0
식각,EQ-02,294.6,1020.4,43.46,100.41,4.9,45.7,0
포토,EQ-03,305.9,997.3,51.25,103.3,5.17,50.8,0
포토,EQ-04,303.6,1026.9,47.78,104.15,4.97,36.3,0
포토,EQ-03,297.8,1025.4,49.29,100.27,4.97,50.5,0
식각,EQ-03,302.8,1014.6,52.84,98.22,4.96,42.5,0
산화,EQ-04,293.4,1015.5,53.31,98.61,5.91,48.8,0
산화,EQ-01,301.8,1008.0,48.29,98.85,5.37,42.8,0
세정,EQ-02,305.4,982.9,50.55,100.8,4.84,44.3,0
증착,EQ-01,309.3,1010.6,48.89,110.18,5.12,46.3,1
식각,EQ-02,309.1,1015.5,48.3,106.23,5.16,48.0,0
세정,EQ-01,303.5,1018.5,52.26,103.6,4.92,46.4,0
산화,EQ-04,298.4,1013.7,50.43,99.42,5.68,43.3,1
산화,EQ-04,299.7,1026.7,50.72,98.92,5.7,42.8,0
식각,EQ-02,295.8,1013.0,52.87,99.24,4.78,36.5,0
산화,EQ-04,295.0,1010.3,48.63,96.19,4.46,43.0,0
산화,EQ-04,298.0,1018.2,51.05,98.23,5.09,40.5,0
증착,EQ-03,295.5,1005.8,49.78,99.94,5.8,47.8,0
포토,EQ-03,305.0,1010.9,51.66,102.23,5.29,44.7,1
식각,EQ-03,307.3,1004.8,50.0,109.11,4.85,48.2,1
세정,EQ-01,303.2,1007.0,47.54,102.38,4.56,38.0,0
산화,EQ-03,295.0,1022.0,48.47,98.37,5.31,43.6,0
증착,EQ-01,298.0,1022.2,54.3,98.99,4.69,46.2,0
증착,EQ-03,306.0,1009.4,50.57,104.42,5.55,51.2,0
산화,EQ-01,295.8,1012.5,45.94,99.92,4.61,42.2,0
세정,EQ-02,304.1,1008.4,51.35,103.65,4.86,44.9,0
포토,EQ-03,303.6,1032.0,49.62,98.5,5.61,50.6,1
증착,EQ-03,295.2,1004.4,48.43,98.37,4.59,45.2,0
포토,EQ-03,301.8,998.8,50.64,100.46,5.49,44.4,0
포토,EQ-03,300.0,1002.9,51.52,100.8,4.9,46.1,0
식각,EQ-03,307.5,1021.8,51.16,103.51,5.42,48.2,1
세정,EQ-02,300.9,1015.6,51.43,99.26,5.01,47.9,0
산화,EQ-01,304.3,1004.5,48.32,105.96,5.12,41.1,0
증착,EQ-01,302.3,1022.3,46.73,97.09,4.36,48.8,1
포토,EQ-02,294.4,1013.7,48.41,95.15,5.06,46.7,1
증착,EQ-01,307.1,1012.0,50.12,101.5,4.97,49.6,0
증착,EQ-02,298.2,1008.7,48.82,97.9,5.48,37.5,0
세정,EQ-03,290.7,1008.0,49.82,97.83,5.39,49.3,0
세정,EQ-03,300.3,1028.1,53.66,97.7,5.09,43.0,0
포토,EQ-03,299.1,1020.5,47.79,97.25,5.3,46.8,0
세정,EQ-02,295.8,1025.7,51.67,96.49,4.73,44.3,0
세정,EQ-02,298.8,1021.0,45.54,97.28,4.65,36.7,0
세정,EQ-02,296.7,1017.5,47.26,101.33,5.52,48.4,0
산화,EQ-01,303.3,1003.3,45.68,102.42,5.34,44.6,0
포토,EQ-01,302.3,1014.6,50.93,97.55,4.5,49.4,0
식각,EQ-01,311.8,993.8,50.01,106.4,4.89,46.0,0
포토,EQ-03,303.0,1034.7,50.84,100.34,4.59,43.7,0
증착,EQ-04,302.2,1007.0,48.63,98.59,5.06,47.9,0
식각,EQ-01,297.6,1017.2,54.41,99.77,5.4,46.3,0
증착,EQ-01,297.3,1022.6,50.18,99.27,5.43,46.7,0
세정,EQ-04,302.8,998.1,43.66,102.94,5.24,45.7,0
세정,EQ-02,295.9,1012.3,53.5,95.19,4.76,45.4,0
포토,EQ-04,302.3,1012.0,52.33,102.79,4.46,47.0,0
세정,EQ-03,295.7,1017.6,55.04,100.03,5.67,45.7,0
식각,EQ-02,301.2,990.3,51.59,101.86,4.79,42.2,0
증착,EQ-03,296.8,1021.8,56.52,99.24,4.82,42.6,0
식각,EQ-03,302.0,1021.1,57.04,101.65,4.62,39.9,0
식각,EQ-04,305.5,1019.8,53.55,103.53,5.13,35.7,0
증착,EQ-04,288.1,1022.8,51.45,91.64,4.36,41.7,1
증착,EQ-02,300.3,1018.7,48.2,98.35,4.98,40.6,0
세정,EQ-01,304.9,1005.3,56.87,99.29,5.43,39.1,0
증착,EQ-03,306.5,1009.9,47.58,103.05,5.21,47.9,1
증착,EQ-04,306.7,1006.6,49.78,104.73,5.36,50.1,1
식각,EQ-02,301.9,1015.2,52.29,99.84,4.85,40.5,0
포토,EQ-01,294.6,988.6,48.76,95.99,5.06,43.8,0
세정,EQ-04,295.4,1001.5,52.79,98.28,5.14,54.6,1
포토,EQ-03,302.2,1005.9,44.8,104.41,4.84,49.5,0
식각,EQ-04,302.2,1017.6,53.31,98.15,4.85,46.3,0
포토,EQ-02,300.9,1021.5,51.46,96.23,4.8,48.3,0
식각,EQ-01,302.1,1006.8,44.25,99.97,4.53,43.8,0
산화,EQ-03,304.9,1001.8,51.55,102.29,4.57,39.1,0
포토,EQ-01,300.6,,47.7,98.4,4.8,37.0,0
증착,EQ-04,290.4,1009.5,49.98,92.88,4.07,43.7,1
식각,EQ-01,297.4,1021.1,46.51,101.1,4.77,46.1,0
식각,EQ-01,294.9,1024.7,50.71,99.04,4.86,47.9,0
증착,EQ-03,297.9,1002.1,54.37,103.91,4.77,43.2,0
식각,EQ-01,302.2,1014.8,52.97,100.96,5.34,39.9,0
식각,EQ-02,299.0,1004.7,49.0,98.73,4.79,39.3,0
증착,EQ-02,295.7,1008.2,50.52,97.31,5.14,42.8,0
식각,EQ-04,306.6,996.9,46.37,103.87,5.01,47.5,0
포토,EQ-02,301.4,1021.0,47.44,101.96,5.49,41.5,0
증착,EQ-03,300.9,1009.0,48.99,99.34,4.96,45.4,0
세정,EQ-01,291.9,1006.7,47.73,97.19,5.15,36.3,0
포토,EQ-04,308.3,997.8,48.0,107.08,4.98,51.7,1
증착,EQ-03,296.7,1010.0,46.56,97.15,4.78,45.2,0
세정,EQ-04,302.3,1032.0,45.67,100.56,5.35,37.2,0
세정,EQ-02,302.0,1018.4,47.28,98.57,5.26,43.6,0
산화,EQ-02,298.2,1008.6,54.17,94.56,4.84,49.7,0
산화,EQ-01,290.2,1002.7,48.09,94.58,5.45,43.1,0
산화,EQ-03,304.3,1007.3,49.12,100.79,4.96,47.0,0
산화,EQ-02,297.5,1013.4,49.33,97.63,4.95,45.7,0
산화,EQ-04,298.9,1000.5,47.09,97.85,5.28,51.7,0
식각,EQ-01,301.2,1014.6,47.24,98.71,5.11,43.9,0
포토,EQ-01,303.0,1028.0,51.8,105.17,5.52,50.0,0
식각,EQ-01,294.4,1020.2,45.81,97.43,5.09,47.1,1
포토,EQ-03,300.0,998.7,48.05,97.08,5.63,44.6,1
포토,EQ-04,296.6,1019.4,52.2,97.88,5.81,46.0,1
포토,EQ-01,297.3,1031.6,47.3,96.66,4.8,45.8,0
식각,EQ-02,302.5,1014.9,49.77,103.4,5.91,47.7,0
산화,EQ-01,302.1,1010.4,52.01,99.85,4.6,44.5,0
증착,EQ-01,295.0,1015.4,52.67,97.15,5.54,43.5,0
식각,EQ-02,302.1,1011.3,47.27,97.85,4.55,55.0,0
세정,EQ-03,306.6,1005.8,45.59,103.55,5.14,47.7,1
세정,EQ-03,305.7,1035.0,44.77,101.61,4.92,46.1,0
증착,EQ-01,293.7,1029.9,46.95,97.56,4.23,44.2,1
세정,EQ-04,298.3,1021.9,47.32,101.46,5.08,40.8,0
증착,EQ-01,304.3,1021.6,50.58,100.62,5.03,50.5,0
세정,EQ-01,298.9,998.1,48.0,99.69,5.33,38.9,0
증착,EQ-04,298.8,1007.1,51.73,101.12,4.52,42.3,0
증착,EQ-01,293.4,1033.3,48.49,95.97,4.67,45.9,0
산화,EQ-04,299.0,997.3,49.18,100.78,4.43,45.1,0
식각,EQ-03,292.6,995.9,51.46,93.38,5.2,47.0,1
증착,EQ-04,299.5,997.9,50.01,103.63,4.92,44.8,0
포토,EQ-03,303.1,1027.2,47.96,101.68,4.98,41.6,0
식각,EQ-02,302.5,987.4,53.27,99.94,4.77,44.4,0
식각,EQ-01,306.0,1009.7,50.38,104.01,4.78,45.4,0
식각,EQ-03,300.9,1032.4,44.85,103.28,5.39,47.9,0
산화,EQ-01,303.5,1018.0,54.56,99.99,5.42,43.9,1
세정,EQ-02,303.6,1009.6,52.31,103.61,5.12,43.1,0
식각,EQ-02,302.2,1011.0,51.48,102.91,5.07,41.9,0
증착,EQ-03,294.3,1000.2,46.86,95.08,5.02,42.0,0
포토,EQ-03,293.5,1034.8,58.35,98.99,5.07,42.2,1
식각,EQ-04,294.8,1002.1,49.78,98.23,4.92,42.0,1
증착,EQ-04,293.5,1022.4,48.41,91.41,5.65,54.5,1
포토,EQ-04,299.7,1013.3,52.99,99.93,4.76,48.2,0
산화,EQ-02,305.2,1004.5,49.08,102.64,4.72,44.9,0
식각,EQ-01,298.0,993.9,51.38,97.24,5.13,45.0,1
세정,EQ-04,297.9,1009.7,51.33,100.18,5.75,53.2,0
식각,EQ-02,299.0,1016.2,52.92,101.28,4.66,47.8,0
증착,EQ-01,303.4,1012.6,46.24,102.82,4.78,42.6,0
식각,EQ-02,296.9,1033.8,55.41,98.33,4.11,42.9,1
포토,EQ-01,303.1,1003.9,49.64,100.54,4.86,40.9,0
산화,EQ-04,299.8,1020.8,53.75,103.24,5.11,45.7,0
증착,EQ-02,292.2,1015.8,52.89,97.02,5.27,48.2,1
식각,EQ-01,302.6,1006.1,51.73,104.8,4.64,41.7,0
산화,EQ-04,307.0,1015.4,52.56,104.08,5.04,43.3,0
산화,EQ-02,297.3,1009.5,57.11,102.37,4.55,45.8,0
세정,EQ-02,300.0,1017.9,53.02,96.36,5.15,47.9,0
증착,EQ-04,305.3,1024.0,47.22,100.38,5.13,46.0,0
식각,EQ-04,301.3,1041.8,47.15,103.92,4.67,44.7,1
식각,EQ-03,308.5,1023.6,53.22,106.23,5.1,47.1,0
세정,EQ-03,302.8,1014.2,49.69,99.57,5.33,47.2,1
세정,EQ-02,305.6,1035.6,47.35,104.51,5.28,39.8,0
포토,EQ-03,304.6,1009.8,51.34,105.4,5.12,39.7,1
