SensorTime,Sensor59,Sensor103,Sensor510,Sensor348,Sensor431,Sensor434,Sensor430,Sensor435,Sensor21,Sensor28,Sensor436,Sensor129,Sensor210,Sensor298,Sensor163,Pass_Fail
2008-07-29 21:07:00,21.39,-0.007,90.485,0.026,213.273,203.774,209.319,201.233,-2575.5,64.422,200.904,-0.142,0.093,0.505,0.891,-1
2008-07-29 23:14:00,1.588,-0.008,67.887,0.017,7.993,12.682,15.168,1.1,-5175.5,67.267,2.438,-0.142,0.06,0.073,0.163,-1
2008-07-29 23:19:00,0.678,-0.008,50.08,0.018,10.061,9.423,8.007,2.883,-5545.0,64.078,1.366,0.095,0.057,0.057,0.125,-1
2008-07-30 06:30:00,20.046,-0.007,200.712,0.021,143.914,138.957,169.375,134.423,-4520.75,62.367,135.193,0.095,0.064,0.435,0.906,-1
2008-07-30 07:08:00,21.896,-0.009,33.19,0.021,22.777,7.879,9.501,3.419,-5683.75,64.711,3.294,0.095,0.07,0.049,0.1,-1
2008-07-30 12:02:00,22.881,-0.004,111.945,0.042,6.498,5.762,12.49,3.299,-5460.5,70.089,2.194,0.047,0.154,0.035,0.074,-1
2008-07-30 12:29:00,2.521,-0.006,101.129,0.017,400.0,400.0,400.0,400.0,-1368.75,63.4,400.0,-0.142,0.065,0.45,0.901,1
2008-07-30 21:16:00,15.953,-0.01,31.605,0.04,140.2,136.332,171.674,134.028,-4490.5,63.6,134.053,-0.615,0.133,0.437,0.894,1
2008-07-31 13:57:00,-1.654,-0.007,80.0,0.039,13.09,10.892,15.037,6.043,-5433.25,66.722,1.225,0.189,0.156,0.058,0.141,-1
2008-07-31 15:36:00,6.739,-0.004,102.632,0.039,14.9,7.831,10.394,2.219,-5493.75,68.022,1.38,0.0,0.151,0.048,0.103,-1
2008-07-31 17:07:00,13.812,-0.003,218.182,0.05,215.974,205.017,210.897,201.796,-2597.0,63.978,201.259,0.047,0.161,0.507,0.899,-1
2008-07-31 20:18:00,18.321,-0.006,66.521,0.05,9.969,6.317,12.02,4.823,-5507.5,68.0,1.477,0.047,0.185,0.038,0.082,1
2008-01-08 02:02:00,16.458,-0.006,87.719,0.044,21.479,7.087,21.403,4.573,-5667.5,63.578,2.255,0.331,0.17,0.04,0.088,-1
2008-01-08 05:52:00,9.05,-0.006,74.783,0.019,28.463,10.542,10.887,5.284,-5501.75,68.122,2.856,0.0,0.067,0.057,0.138,1
2008-01-08 10:20:00,18.831,-0.006,54.581,0.019,17.479,7.621,18.282,4.527,-5382.5,67.844,4.358,0.0,0.064,0.046,0.094,-1
2008-01-08 10:26:00,18.281,-0.005,89.93,0.012,17.632,11.464,2.615,4.931,-5659.25,65.167,3.013,0.0,0.048,0.068,0.149,-1
2008-01-08 11:28:00,19.8,-0.007,53.691,0.014,15.48,8.415,9.142,2.492,-5349.0,61.622,2.778,0.0,0.052,0.046,0.107,-1
2008-01-08 12:29:00,11.682,-0.007,68.817,0.062,12.275,6.144,9.791,5.62,-5597.0,65.633,1.104,0.0,0.214,0.035,0.079,-1
2008-01-08 14:07:00,22.434,-0.005,102.326,0.043,5.417,8.285,15.311,3.342,-5440.5,68.344,2.695,0.0,0.182,0.046,0.108,-1
2008-01-08 15:10:00,17.163,-0.007,54.578,0.011,23.674,13.793,10.58,2.532,-5614.25,68.3,2.91,0.0,0.048,0.08,0.177,-1
2008-02-08 03:39:00,25.457,-0.005,111.475,0.037,8.291,10.828,5.565,5.748,-5534.5,70.767,2.274,-0.331,0.12,0.061,0.14,-1
2008-03-08 13:09:00,20.551,-0.003,174.899,0.018,224.944,207.03,214.551,202.083,-2649.25,63.344,200.615,0.047,0.068,0.51,0.913,-1
2008-03-08 14:06:00,18.683,-0.008,51.447,0.048,16.116,6.619,4.825,8.214,-5554.25,65.467,2.285,-0.331,0.182,0.041,0.086,-1
2008-03-08 14:25:00,25.443,-0.006,76.018,0.023,21.946,11.74,10.098,4.53,-6566.0,65.289,2.858,0.804,0.076,0.047,0.113,-1
2008-03-08 15:03:00,17.637,-0.006,65.339,0.023,110.429,11.467,6.876,5.477,-5613.75,64.811,2.467,0.047,0.081,0.062,0.145,-1
2008-03-08 15:27:00,24.351,-0.005,90.0,0.021,20.046,12.594,7.668,3.666,-6546.5,64.644,4.085,0.804,0.069,0.05,0.122,-1
2008-03-08 16:00:00,12.063,-0.007,79.292,0.029,27.699,7.26,7.484,6.63,-5652.0,64.622,3.297,0.804,0.082,0.05,0.093,-1
2008-03-08 17:00:00,9.523,-0.005,54.846,0.017,27.258,8.284,32.598,2.304,-6656.75,60.922,1.563,0.047,0.06,0.036,0.074,-1
2008-03-08 17:58:00,22.924,-0.006,98.361,0.04,6.03,6.399,8.871,4.451,-5681.5,67.533,1.293,-0.331,0.158,0.033,0.08,-1
2008-03-08 20:23:00,9.334,-0.009,39.291,0.015,38.937,4.554,5.616,3.614,-5537.5,64.0,2.524,0.804,0.052,0.026,0.057,-1
2008-03-08 22:52:00,12.539,-0.007,56.637,0.04,3.232,7.318,7.066,5.333,-5349.25,68.544,3.84,-0.473,0.147,0.044,0.097,-1
2008-04-08 00:39:00,12.431,-0.006,68.663,0.015,15.682,11.641,7.715,4.267,-5495.75,62.833,1.728,0.0,0.055,0.07,0.152,1
2008-04-08 03:45:00,28.636,-0.005,68.246,0.019,19.359,9.666,8.085,4.165,-6518.25,67.522,2.47,-0.473,0.081,0.04,0.094,-1
2008-04-08 03:49:00,8.693,-0.006,85.535,0.044,144.606,136.938,171.005,133.882,-4556.0,62.656,135.25,0.047,0.177,0.438,0.899,-1
2008-04-08 13:19:00,-5.306,-0.005,46.62,0.017,9.274,8.414,9.756,4.424,-5432.5,64.167,1.849,-0.473,0.059,0.048,0.109,-1
2008-04-08 14:04:00,-8.749,-0.007,30.476,0.02,12.322,13.154,13.121,5.404,-5677.75,66.689,2.645,-0.473,0.071,0.073,0.169,-1
2008-04-08 14:31:00,26.658,-0.004,62.696,0.043,25.18,14.271,26.836,5.316,-6174.5,68.922,2.466,0.0,0.136,0.06,0.139,-1
2008-04-08 15:29:00,28.706,-0.005,77.212,0.047,4.14,7.299,5.514,5.475,-5367.75,68.222,1.219,0.0,0.164,0.044,0.097,-1
2008-04-08 16:15:00,-8.226,-0.005,76.815,0.014,20.697,15.279,9.846,2.466,-5393.25,66.089,1.302,,0.046,0.081,0.194,-1
2008-04-08 16:31:00,28.119,-0.005,122.762,0.046,15.158,9.761,10.332,4.52,-5594.25,61.256,2.061,0.0,0.155,0.042,0.096,-1
2008-04-08 17:11:00,8.667,-0.007,76.596,0.02,232.475,211.492,213.956,203.871,-2665.5,67.022,205.281,-0.331,0.064,0.524,0.957,-1
2008-04-08 17:46:00,3.851,-0.006,99.389,0.019,9.062,5.972,9.535,2.722,-5527.0,60.911,2.696,0.047,0.062,0.034,0.077,-1
2008-04-08 18:24:00,-15.196,-0.006,87.302,0.04,144.703,138.814,164.336,134.781,-4695.25,65.2,134.644,,0.126,0.459,0.954,-1
2008-04-08 19:58:00,-6.484,-0.005,115.349,0.011,17.491,10.458,12.073,4.674,-5491.5,64.8,1.503,0.757,0.032,0.059,0.133,-1
2008-04-08 20:32:00,-11.218,-0.006,65.236,0.011,14.706,13.175,11.33,4.037,-5463.25,65.3,1.103,,0.042,0.086,0.178,-1
2008-04-08 20:58:00,11.559,-0.005,117.874,0.026,213.75,204.338,210.022,201.793,-2609.25,62.756,201.114,0.047,0.118,0.506,0.895,1
2008-04-08 21:43:00,28.423,-0.005,116.583,0.043,15.815,13.918,3.038,3.436,-5497.75,67.156,1.028,0.047,0.138,0.082,0.177,-1
2008-04-08 22:51:00,24.473,-0.005,100.756,0.034,14.82,8.612,10.72,3.048,-5522.25,61.744,3.124,0.047,0.113,0.04,0.085,-1
2008-04-08 23:33:00,5.134,-0.006,103.333,0.034,400.0,400.0,400.0,400.0,-1502.75,60.5,400.0,0.0,0.122,0.474,0.947,-1
2008-05-08 00:04:00,24.806,-0.006,45.07,0.043,12.161,8.853,6.467,2.057,-5443.0,67.811,1.02,0.047,0.142,0.052,0.114,-1
2008-05-08 01:12:00,27.618,-0.004,92.203,0.052,4.508,5.583,5.928,1.619,-5668.0,64.0,1.796,0.142,0.2,0.025,0.056,-1
2008-05-08 02:15:00,20.586,-0.007,70.631,0.043,26.244,13.474,2.677,3.451,-6274.75,66.256,3.348,0.142,0.169,0.056,0.134,-1
2008-05-08 02:36:00,27.666,-0.005,101.463,0.039,18.947,9.686,9.84,3.48,-5609.5,61.767,2.882,0.047,0.156,0.04,0.095,-1
2008-05-08 02:45:00,29.026,-0.006,42.572,0.038,21.505,10.936,4.655,4.426,-6487.25,65.733,1.528,0.757,0.148,0.047,0.106,-1
2008-05-08 03:17:00,27.736,-0.007,85.333,0.018,18.203,11.012,9.793,5.504,-6361.5,66.978,3.583,0.0,0.053,0.044,0.108,-1
2008-05-08 03:36:00,24.828,-0.006,64.681,0.048,26.171,11.622,6.018,4.251,-6514.0,61.644,4.921,0.757,0.16,0.048,0.113,-1
2008-05-08 03:54:00,24.612,-0.006,73.01,0.043,18.162,11.676,8.133,3.235,-6541.25,65.433,4.592,0.757,0.158,0.047,0.112,-1
2008-05-08 04:32:00,27.716,-0.008,27.861,0.038,19.42,8.267,24.673,5.093,-5147.25,62.967,1.121,0.757,0.13,0.046,0.107,-1
2008-05-08 04:35:00,23.786,-0.007,49.817,0.045,23.004,12.92,5.936,4.979,-6485.5,63.644,1.162,0.047,0.152,0.053,0.126,-1
2008-05-08 05:11:00,20.6,-0.005,127.483,0.011,10.508,10.601,12.978,5.266,-5409.0,68.333,2.734,-0.142,0.039,0.064,0.138,-1
2008-05-08 06:10:00,29.751,-0.005,151.515,0.016,21.275,11.01,6.019,6.091,-6463.0,67.4,3.784,0.047,0.052,0.047,0.109,-1
2008-05-08 06:11:00,23.994,-0.007,66.793,0.04,16.291,12.171,4.886,3.995,-5301.0,63.356,1.286,0.0,0.14,0.065,0.155,-1
2008-05-08 06:21:00,16.791,-0.006,78.004,0.036,21.031,14.852,3.758,3.17,-5401.75,70.167,4.051,-0.142,0.117,0.083,0.19,-1
2008-05-08 07:12:00,23.714,-0.006,68.571,0.047,19.896,9.784,10.416,5.399,-6470.75,64.656,3.362,0.047,0.161,0.044,0.095,-1
2008-05-08 07:12:00,18.576,-0.004,65.204,0.033,6.628,5.266,12.738,4.811,-5432.75,60.267,2.358,0.0,0.113,0.032,0.067,1
2008-05-08 07:48:00,24.292,-0.005,136.919,0.039,23.501,11.877,61.416,4.51,-5856.75,62.211,3.268,0.047,0.13,0.052,0.115,-1
2008-05-08 08:50:00,25.513,-0.004,77.273,0.015,17.765,7.628,14.016,4.264,-5657.75,64.711,2.556,-0.142,0.054,0.043,0.098,-1
2008-05-08 09:48:00,26.706,-0.006,54.618,0.046,5.917,9.683,12.894,3.482,-5560.75,63.944,0.882,0.0,0.162,0.055,0.126,-1
2008-05-08 14:17:00,8.914,-0.004,93.968,0.037,13.27,4.749,3.836,5.716,-5474.25,65.778,2.691,-0.331,0.119,0.025,0.062,-1
2008-05-08 14:45:00,8.942,-0.002,301.449,0.012,11.953,9.112,8.214,2.327,-5600.5,68.256,2.427,-0.142,0.037,0.049,0.116,-1
2008-05-08 15:45:00,6.992,-0.006,58.15,0.044,25.179,8.031,40.882,2.305,-6068.75,67.178,3.117,-0.142,0.144,0.035,0.073,-1
2008-05-08 20:04:00,16.604,-0.006,77.108,0.03,14.12,14.78,9.272,6.657,-5306.5,67.578,2.106,0.662,0.095,0.089,0.191,-1
2008-05-08 21:07:00,16.526,-0.002,243.478,0.04,18.825,11.261,31.657,5.77,-6030.25,63.144,1.422,-0.095,0.137,0.068,0.14,-1
2008-05-08 21:22:00,29.192,-0.005,88.665,0.016,36.696,10.642,3.644,4.349,-5653.75,65.478,3.153,-0.378,0.065,0.064,0.136,-1
2008-05-08 23:02:00,10.08,-0.004,82.243,0.041,23.488,7.956,20.892,4.263,-5418.25,61.878,2.426,0.662,0.14,0.047,0.101,-1
2008-05-08 23:06:00,3.906,-0.007,61.765,0.016,17.864,5.645,4.715,6.199,-5641.25,61.833,0.832,0.757,0.054,0.038,0.071,-1
2008-05-08 23:38:00,26.653,-0.006,79.661,0.027,17.99,12.223,5.29,5.099,-5538.5,68.433,2.856,0.331,0.116,0.077,0.153,-1
2008-06-08 00:04:00,17.686,-0.005,113.067,0.013,4.021,8.626,6.595,6.322,-5261.75,66.933,3.147,-0.095,0.05,0.052,0.111,-1
2008-06-08 02:20:00,15.018,-0.006,62.579,0.015,22.8,11.837,15.713,5.278,-5587.75,61.678,4.583,-0.095,0.06,0.07,0.15,-1
2008-06-08 03:22:00,15.794,-0.006,89.686,0.013,13.428,4.71,10.467,2.414,-5531.5,69.333,1.877,-0.095,0.046,0.028,0.06,-1
2008-06-08 05:40:00,6.664,-0.007,44.86,0.045,16.985,13.9,10.19,1.702,-5456.25,67.633,1.885,0.0,0.164,0.078,0.18,1
2008-06-08 09:56:00,10.211,-0.004,93.333,0.04,8.337,16.596,10.398,7.238,-5683.75,63.278,3.3,0.662,0.13,0.095,0.206,-1
2008-06-08 09:57:00,-19.152,-0.006,52.018,0.028,27.894,8.615,36.046,2.888,-6563.75,66.056,2.841,,0.088,0.034,0.077,-1
2008-06-08 12:33:00,22.216,-0.004,104.242,0.017,17.998,11.913,3.238,6.351,-5559.0,63.9,2.364,-0.047,0.052,0.07,0.151,-1
2008-06-08 13:35:00,25.836,-0.007,46.975,0.019,8.779,8.901,10.364,4.47,-5499.75,63.378,2.3,0.331,0.062,0.056,0.115,-1
2008-06-08 17:35:00,25.959,-0.009,64.171,0.042,19.644,9.335,2.062,4.141,-6353.5,67.656,2.579,0.331,0.16,0.04,0.092,-1
2008-06-08 18:00:00,23.886,-0.005,83.375,0.04,23.44,9.38,10.471,5.506,-6599.25,63.578,2.772,-0.378,0.128,0.044,0.09,-1
2008-06-08 18:34:00,23.036,-0.007,56.089,0.037,25.304,13.919,7.547,5.776,-6413.5,67.311,1.427,0.331,0.131,0.056,0.137,-1
2008-06-08 19:13:00,22.742,-0.006,46.964,0.035,23.005,8.216,5.586,4.046,-6569.5,63.844,2.323,0.662,0.124,0.033,0.08,-1
2008-06-08 19:24:00,-9.284,-0.003,162.319,0.017,19.434,11.678,6.404,4.464,-6480.5,65.956,2.461,-0.615,0.061,0.05,0.115,-1
2008-06-08 20:00:00,-17.934,-0.004,103.867,0.024,10.751,7.168,5.185,2.966,-6364.25,65.833,2.876,-0.615,0.075,0.033,0.07,-1
2008-06-08 20:17:00,23.561,-0.005,78.688,0.042,22.198,13.278,7.678,4.981,-6473.25,62.967,1.971,0.095,0.16,0.055,0.129,-1
2008-06-08 21:15:00,-8.313,-0.005,77.749,0.018,217.42,203.962,232.853,201.344,-3293.5,64.078,201.183,0.095,0.072,0.51,0.901,-1
2008-06-08 22:27:00,5.338,-0.004,56.471,0.016,400.0,400.0,400.0,400.0,-1918.25,63.489,400.0,-0.047,0.067,0.438,0.876,-1
2008-06-08 23:40:00,23.874,-0.005,110.569,0.022,10.56,8.722,10.989,4.837,-5478.25,62.989,3.845,0.662,0.079,0.053,0.11,-1
2008-06-08 23:45:00,27.343,-0.007,85.764,0.014,21.337,10.992,3.723,4.01,-6472.5,68.044,3.443,0.331,0.048,0.047,0.108,-1
2008-07-08 00:51:00,17.302,-0.006,116.556,0.013,11.079,13.719,48.547,5.168,-6235.25,63.0,2.911,0.095,0.045,0.08,0.173,-1
2008-07-08 07:30:00,26.266,-0.007,58.571,0.032,22.198,11.846,7.334,5.34,-6449.75,66.222,3.138,0.189,0.11,0.053,0.115,-1
2008-07-08 08:21:00,-21.206,-0.007,54.888,0.032,25.544,7.387,32.888,2.263,-6169.5,65.322,1.055,0.095,0.131,0.029,0.067,-1
2008-07-08 08:45:00,-7.538,-0.007,66.431,0.024,15.706,4.739,8.918,6.557,-5550.5,65.044,1.716,0.189,0.095,0.029,0.063,-1
2008-07-08 08:55:00,4.311,-0.004,126.599,0.027,5.3,9.912,7.745,5.57,-5448.5,64.0,0.455,-0.095,0.102,0.072,0.13,-1
2008-07-08 10:12:00,29.116,-0.006,66.517,0.021,23.929,7.57,9.43,3.678,-6352.0,66.711,0.982,0.662,0.078,0.035,0.074,-1
2008-07-08 11:10:00,15.861,-0.004,86.804,0.019,14.714,3.15,36.542,1.593,-5098.25,67.978,0.993,0.095,0.075,0.019,0.041,-1
2008-07-08 11:40:00,26.774,-0.006,68.763,0.037,18.419,12.456,2.279,4.208,-6362.5,65.8,2.333,0.662,0.125,0.051,0.124,1
2008-08-08 04:55:00,-3.251,-0.004,142.69,0.027,23.246,9.326,3.148,2.851,-6290.25,70.244,0.641,0.095,0.107,0.039,0.092,-1
2008-08-08 07:26:00,0.231,-0.005,65.116,0.029,13.718,10.133,10.484,2.637,-5389.25,61.222,2.408,0.662,0.112,0.061,0.131,-1
2008-08-08 08:44:00,26.451,-0.006,98.031,0.023,25.938,14.227,8.778,5.158,-6538.75,63.9,1.674,-0.047,0.085,0.057,0.138,1
2008-08-08 12:37:00,-12.153,-0.004,141.04,0.013,15.101,8.424,9.166,3.667,-6349.5,69.011,3.556,-0.095,0.049,0.037,0.083,1
2008-08-08 20:21:00,-1.566,-0.005,117.224,0.052,4.352,5.39,8.59,6.324,-5599.5,71.122,3.704,0.142,0.196,0.034,0.068,-1
2008-08-08 21:22:00,14.646,-0.006,97.778,0.042,9.612,7.606,18.068,3.287,-5645.25,68.856,1.302,0.757,0.159,0.052,0.095,-1
2008-08-08 21:53:00,9.674,-0.001,289.655,0.042,14.818,9.965,10.096,5.712,-5447.75,63.256,2.207,0.142,0.186,0.06,0.127,-1
2008-08-08 22:06:00,9.842,-0.005,68.046,0.041,6.072,6.483,11.052,3.668,-5501.0,67.633,1.593,0.757,0.151,0.044,0.083,-1
2008-08-08 22:25:00,-5.868,-0.006,79.541,0.032,139.532,138.087,140.043,134.163,-4228.0,63.389,134.622,-0.378,0.115,0.459,0.949,-1
2008-09-08 02:15:00,-12.137,-0.006,63.804,0.023,9.311,6.905,21.929,4.43,-5645.5,65.356,4.411,0.757,0.085,0.041,0.088,-1
2008-09-08 02:37:00,12.836,-0.005,81.106,0.034,18.995,8.815,23.622,1.795,-5596.5,69.878,1.725,0.757,0.101,0.049,0.112,-1
2008-09-08 06:05:00,9.498,-0.004,61.538,0.013,15.899,11.324,15.548,4.798,-5750.0,68.344,2.413,0.236,0.047,0.06,0.143,-1
2008-09-08 09:16:00,2.583,-0.006,111.704,0.04,14.602,11.719,15.23,6.808,-5384.25,70.189,1.65,0.142,0.152,0.074,0.15,1
2008-09-08 09:22:00,15.107,-0.006,93.846,0.013,9.278,9.333,3.53,3.229,-5581.0,70.4,1.873,0.236,0.043,0.06,0.12,-1
2008-09-08 11:42:00,4.428,-0.007,74.102,0.034,64.908,7.301,42.619,3.617,-6063.0,69.322,5.347,0.0,0.121,0.041,0.094,1
2008-09-08 17:34:00,17.793,-0.002,205.587,0.032,16.107,13.307,14.323,7.199,-5508.75,61.322,1.853,0.0,0.094,0.083,0.169,-1
2008-09-08 19:03:00,22.793,-0.005,147.42,0.035,16.043,10.685,22.987,3.995,-5707.5,63.378,2.452,0.0,0.118,0.057,0.135,-1
2008-09-08 20:04:00,4.661,-0.004,136.023,0.039,135.398,134.254,151.934,133.731,-5073.25,65.511,134.174,0.142,0.129,0.434,0.875,-1
