SensorTime,Chamber_Temperature_edu,Chamber_Pressure_edu,Gas_Flow_edu,RF_Power_edu,Vacuum_Level_edu,Cooling_Water_Temperature_edu,Vibration_edu,Process_Time_edu,주요센서_A,주요센서_B,검사결과
2008-03-08 14:25:00,25.44,-0.01,76.02,0.02,21.95,11.74,10.1,4.53,-6566.0,65.29,0
2008-03-08 15:03:00,17.64,-0.01,65.34,0.02,110.43,11.47,6.88,5.48,-5613.75,64.81,0
2008-03-08 15:27:00,24.35,-0.0,90.0,0.02,20.05,12.59,7.67,3.67,-6546.5,64.64,0
2008-03-08 16:00:00,12.06,-0.01,79.29,0.03,27.7,7.26,7.48,6.63,-5652.0,64.62,0
2008-03-08 17:00:00,9.52,-0.01,54.85,0.02,27.26,8.28,32.6,2.3,-6656.75,60.92,0
2008-03-08 17:58:00,22.92,-0.01,98.36,0.04,6.03,6.4,8.87,4.45,-5681.5,67.53,0
2008-03-08 20:23:00,9.33,-0.01,39.29,0.02,38.94,4.55,5.62,3.61,-5537.5,64.0,0
2008-03-08 22:52:00,12.54,-0.01,56.64,0.04,3.23,7.32,7.07,5.33,-5349.25,68.54,0
2008-04-08 00:39:00,12.43,-0.01,68.66,0.01,15.68,11.64,7.72,4.27,-5495.75,62.83,1
2008-04-08 03:45:00,28.64,-0.01,68.25,0.02,19.36,9.67,8.09,4.16,-6518.25,67.52,0
2008-04-08 03:49:00,8.69,-0.01,85.53,0.04,144.61,136.94,171.01,133.88,-4556.0,62.66,0
2008-04-08 13:19:00,-5.31,-0.01,46.62,0.02,9.27,8.41,9.76,4.42,-5432.5,64.17,0
2008-04-08 14:04:00,-8.75,-0.01,30.48,0.02,12.32,13.15,13.12,5.4,-5677.75,66.69,0
2008-04-08 14:31:00,26.66,-0.0,62.7,0.04,25.18,14.27,26.84,5.32,-6174.5,68.92,0
2008-04-08 15:29:00,28.71,-0.0,77.21,0.05,4.14,7.3,5.51,5.47,-5367.75,68.22,0
2008-04-08 16:15:00,-8.23,-0.01,76.82,0.01,20.7,15.28,9.85,2.47,-5393.25,66.09,0
2008-04-08 16:31:00,28.12,-0.0,122.76,0.05,15.16,9.76,10.33,4.52,-5594.25,61.26,0
2008-04-08 17:11:00,8.67,-0.01,76.6,0.02,232.48,211.49,213.96,203.87,-2665.5,67.02,0
2008-04-08 17:46:00,3.85,-0.01,99.39,0.02,9.06,5.97,9.54,2.72,-5527.0,60.91,0
2008-04-08 18:24:00,-15.2,-0.01,87.3,0.04,144.7,138.81,164.34,134.78,-4695.25,65.2,0
2008-04-08 19:58:00,-6.48,-0.01,115.35,0.01,17.49,10.46,12.07,4.67,-5491.5,64.8,0
2008-04-08 20:32:00,-11.22,-0.01,65.24,0.01,14.71,13.18,11.33,4.04,-5463.25,65.3,0
2008-04-08 20:58:00,11.56,-0.01,117.87,0.03,213.75,204.34,210.02,201.79,-2609.25,62.76,1
2008-04-08 21:43:00,28.42,-0.0,116.58,0.04,15.82,13.92,3.04,3.44,-5497.75,67.16,0
2008-04-08 22:51:00,24.47,-0.0,100.76,0.03,14.82,8.61,10.72,3.05,-5522.25,61.74,0
2008-04-08 23:33:00,5.13,-0.01,103.33,0.03,400.0,400.0,400.0,400.0,-1502.75,60.5,0
2008-05-08 00:04:00,24.81,-0.01,45.07,0.04,12.16,8.85,6.47,2.06,-5443.0,67.81,0
2008-05-08 01:12:00,27.62,-0.0,92.2,0.05,4.51,5.58,5.93,1.62,-5668.0,64.0,0
2008-05-08 02:15:00,20.59,-0.01,70.63,0.04,26.24,13.47,2.68,3.45,-6274.75,66.26,0
2008-05-08 02:36:00,27.67,-0.01,101.46,0.04,18.95,9.69,9.84,3.48,-5609.5,61.77,0
2008-05-08 02:45:00,29.03,-0.01,42.57,0.04,21.5,10.94,4.66,4.43,-6487.25,65.73,0
2008-05-08 03:17:00,27.74,-0.01,85.33,0.02,18.2,11.01,9.79,5.5,-6361.5,66.98,0
2008-05-08 03:36:00,24.83,-0.01,64.68,0.05,26.17,11.62,6.02,4.25,-6514.0,61.64,0
2008-05-08 03:54:00,24.61,-0.01,73.01,0.04,18.16,11.68,8.13,3.23,-6541.25,65.43,0
2008-05-08 04:32:00,27.72,-0.01,27.86,0.04,19.42,8.27,24.67,5.09,-5147.25,62.97,0
2008-05-08 04:35:00,23.79,-0.01,49.82,0.04,23.0,12.92,5.94,4.98,-6485.5,63.64,0
2008-05-08 05:11:00,20.6,-0.01,127.48,0.01,10.51,10.6,12.98,5.27,-5409.0,68.33,0
2008-05-08 06:10:00,29.75,-0.0,151.52,0.02,21.28,11.01,6.02,6.09,-6463.0,67.4,0
2008-05-08 06:11:00,23.99,-0.01,66.79,0.04,16.29,12.17,4.89,3.99,-5301.0,63.36,0
2008-05-08 06:21:00,16.79,-0.01,78.0,0.04,21.03,14.85,3.76,3.17,-5401.75,70.17,0
2008-05-08 07:12:00,23.71,-0.01,68.57,0.05,19.9,9.78,10.42,5.4,-6470.75,64.66,0
2008-05-08 07:12:00,18.58,-0.0,65.2,0.03,6.63,5.27,12.74,4.81,-5432.75,60.27,1
2008-05-08 07:48:00,24.29,-0.01,136.92,0.04,23.5,11.88,61.42,4.51,-5856.75,62.21,0
2008-05-08 08:50:00,25.51,-0.0,77.27,0.02,17.77,7.63,14.02,4.26,-5657.75,64.71,0
2008-05-08 09:48:00,26.71,-0.01,54.62,0.05,5.92,9.68,12.89,3.48,-5560.75,63.94,0
2008-05-08 14:17:00,8.91,-0.0,93.97,0.04,13.27,4.75,3.84,5.72,-5474.25,65.78,0
2008-05-08 14:45:00,8.94,-0.0,301.45,0.01,11.95,9.11,8.21,2.33,-5600.5,68.26,0
2008-05-08 15:45:00,6.99,-0.01,58.15,0.04,25.18,8.03,40.88,2.3,-6068.75,67.18,0
2008-05-08 20:04:00,16.6,-0.01,77.11,0.03,14.12,14.78,9.27,6.66,-5306.5,67.58,0
2008-05-08 21:07:00,16.53,-0.0,243.48,0.04,18.83,11.26,31.66,5.77,-6030.25,63.14,0
2008-05-08 21:22:00,29.19,-0.0,88.66,0.02,36.7,10.64,3.64,4.35,-5653.75,65.48,0
2008-05-08 23:02:00,10.08,-0.0,82.24,0.04,23.49,7.96,20.89,4.26,-5418.25,61.88,0
2008-05-08 23:06:00,3.91,-0.01,61.76,0.02,17.86,5.64,4.72,6.2,-5641.25,61.83,0
2008-05-08 23:38:00,26.65,-0.01,79.66,0.03,17.99,12.22,5.29,5.1,-5538.5,68.43,0
2008-06-08 00:04:00,17.69,-0.0,113.07,0.01,4.02,8.63,6.59,6.32,-5261.75,66.93,0
2008-06-08 02:20:00,15.02,-0.01,62.58,0.01,22.8,11.84,15.71,5.28,-5587.75,61.68,0
2008-06-08 03:22:00,15.79,-0.01,89.69,0.01,13.43,4.71,10.47,2.41,-5531.5,69.33,0
2008-06-08 05:40:00,6.66,-0.01,44.86,0.04,16.98,13.9,10.19,1.7,-5456.25,67.63,1
2008-06-08 09:56:00,10.21,-0.0,93.33,0.04,8.34,16.6,10.4,7.24,-5683.75,63.28,0
2008-06-08 09:57:00,-19.15,-0.01,52.02,0.03,27.89,8.62,36.05,2.89,-6563.75,66.06,0
2008-06-08 12:33:00,22.22,-0.0,104.24,0.02,18.0,11.91,3.24,6.35,-5559.0,63.9,0
2008-06-08 13:35:00,25.84,-0.01,46.98,0.02,8.78,8.9,10.36,4.47,-5499.75,63.38,0
2008-06-08 17:35:00,25.96,-0.01,64.17,0.04,19.64,9.34,2.06,4.14,-6353.5,67.66,0
2008-06-08 18:00:00,23.89,-0.0,83.37,0.04,23.44,9.38,10.47,5.51,-6599.25,63.58,0
2008-06-08 18:34:00,23.04,-0.01,56.09,0.04,25.3,13.92,7.55,5.78,-6413.5,67.31,0
2008-06-08 19:13:00,22.74,-0.01,46.96,0.04,23.0,8.22,5.59,4.05,-6569.5,63.84,0
2008-06-08 19:24:00,-9.28,-0.0,162.32,0.02,19.43,11.68,6.4,4.46,-6480.5,65.96,0
2008-06-08 20:00:00,-17.93,-0.0,103.87,0.02,10.75,7.17,5.19,2.97,-6364.25,65.83,0
2008-06-08 20:17:00,23.56,-0.01,78.69,0.04,22.2,13.28,7.68,4.98,-6473.25,62.97,0
2008-06-08 21:15:00,-8.31,-0.0,77.75,0.02,217.42,203.96,232.85,201.34,-3293.5,64.08,0
2008-06-08 22:27:00,5.34,-0.0,56.47,0.02,400.0,400.0,400.0,400.0,-1918.25,63.49,0
2008-06-08 23:40:00,23.87,-0.0,110.57,0.02,10.56,8.72,10.99,4.84,-5478.25,62.99,0
2008-06-08 23:45:00,27.34,-0.01,85.76,0.01,21.34,10.99,3.72,4.01,-6472.5,68.04,0
2008-07-08 00:51:00,17.3,-0.01,116.56,0.01,11.08,13.72,48.55,5.17,-6235.25,63.0,0
2008-07-08 07:30:00,26.27,-0.01,58.57,0.03,22.2,11.85,7.33,5.34,-6449.75,66.22,0
2008-07-08 08:21:00,-21.21,-0.01,54.89,0.03,25.54,7.39,32.89,2.26,-6169.5,65.32,0
2008-07-08 08:45:00,-7.54,-0.01,66.43,0.02,15.71,4.74,8.92,6.56,-5550.5,65.04,0
2008-07-08 08:55:00,4.31,-0.0,126.6,0.03,5.3,9.91,7.75,5.57,-5448.5,64.0,0
2008-07-08 10:12:00,29.12,-0.01,66.52,0.02,23.93,7.57,9.43,3.68,-6352.0,66.71,0
2008-07-08 11:10:00,15.86,-0.0,86.8,0.02,14.71,3.15,36.54,1.59,-5098.25,67.98,0
2008-07-08 11:40:00,26.77,-0.01,68.76,0.04,18.42,12.46,2.28,4.21,-6362.5,65.8,1
2008-08-08 04:55:00,-3.25,-0.0,142.69,0.03,23.25,9.33,3.15,2.85,-6290.25,70.24,0
2008-08-08 07:26:00,0.23,-0.01,65.12,0.03,13.72,10.13,10.48,2.64,-5389.25,61.22,0
2008-08-08 08:44:00,26.45,-0.01,98.03,0.02,25.94,14.23,8.78,5.16,-6538.75,63.9,1
2008-08-08 12:37:00,-12.15,-0.0,141.04,0.01,15.1,8.42,9.17,3.67,-6349.5,69.01,1
2008-08-08 20:21:00,-1.57,-0.0,117.22,0.05,4.35,5.39,8.59,6.32,-5599.5,71.12,0
2008-08-08 21:22:00,14.65,-0.01,97.78,0.04,9.61,7.61,18.07,3.29,-5645.25,68.86,0
2008-08-08 21:53:00,9.67,-0.0,289.66,0.04,14.82,9.96,10.1,5.71,-5447.75,63.26,0
2008-08-08 22:06:00,9.84,-0.01,68.05,0.04,6.07,6.48,11.05,3.67,-5501.0,67.63,0
2008-08-08 22:25:00,-5.87,-0.01,79.54,0.03,139.53,138.09,140.04,134.16,-4228.0,63.39,0
2008-09-08 02:15:00,-12.14,-0.01,63.8,0.02,9.31,6.9,21.93,4.43,-5645.5,65.36,0
2008-09-08 02:37:00,12.84,-0.01,81.11,0.03,18.99,8.82,23.62,1.8,-5596.5,69.88,0
2008-09-08 06:05:00,9.5,-0.0,61.54,0.01,15.9,11.32,15.55,4.8,-5750.0,68.34,0
2008-09-08 09:16:00,2.58,-0.01,111.7,0.04,14.6,11.72,15.23,6.81,-5384.25,70.19,1
2008-09-08 09:22:00,15.11,-0.01,93.85,0.01,9.28,9.33,3.53,3.23,-5581.0,70.4,0
2008-09-08 11:42:00,4.43,-0.01,74.1,0.03,64.91,7.3,42.62,3.62,-6063.0,69.32,1
2008-09-08 17:34:00,17.79,-0.0,205.59,0.03,16.11,13.31,14.32,7.2,-5508.75,61.32,0
2008-09-08 19:03:00,22.79,-0.01,147.42,0.04,16.04,10.68,22.99,4.0,-5707.5,63.38,0
2008-09-08 20:04:00,4.66,-0.0,136.02,0.04,135.4,134.25,151.93,133.73,-5073.25,65.51,0
2008-09-08 21:07:00,26.05,-0.0,160.0,0.02,18.84,11.91,6.91,4.56,-6377.5,65.31,0
2008-09-08 22:15:00,17.17,-0.0,113.64,0.03,20.85,12.86,6.03,6.16,-5535.25,62.74,0
2008-09-08 22:37:00,27.73,-0.0,252.63,0.04,18.11,8.72,9.6,4.92,-6425.0,65.84,0
2008-09-08 23:17:00,-13.12,-0.01,126.92,0.01,17.93,7.88,5.08,2.96,-6274.75,67.82,0
2008-09-08 23:34:00,-10.87,-0.0,41.62,0.02,89.52,5.29,4.34,1.32,-5529.25,63.31,0
2008-10-08 00:09:00,-13.36,-0.01,84.57,0.01,12.33,10.94,5.71,4.81,-5442.25,68.16,0
2008-10-08 00:46:00,-2.28,-0.01,89.32,0.01,15.94,8.13,6.29,3.63,-6149.25,68.04,0
2008-10-08 06:00:00,4.97,-0.01,66.0,0.03,21.44,12.1,11.58,4.63,-5664.0,62.79,1
2008-10-08 06:41:00,0.38,-0.01,69.06,0.02,8.04,9.68,8.61,5.49,-5527.0,69.93,0
2008-10-08 07:01:00,27.41,-0.0,77.69,0.03,22.3,13.33,7.63,6.09,-5376.25,63.79,1
2008-10-08 11:16:00,-10.13,-0.0,86.77,0.03,231.05,208.5,230.37,202.59,-2595.0,65.58,0
2008-10-08 11:49:00,-11.47,-0.0,202.74,0.02,17.85,8.13,5.38,3.34,-6355.25,68.94,0
2008-10-08 12:22:00,3.9,-0.01,64.97,0.03,23.07,11.31,54.09,4.32,-4592.0,67.8,0
2008-10-08 15:59:00,12.9,-0.0,74.67,0.03,400.0,400.0,400.0,400.0,-1480.75,61.33,1
2008-10-08 19:07:00,0.48,-0.0,126.9,0.04,9.04,9.41,12.55,4.72,-5753.5,65.59,0
2008-10-08 20:07:00,12.31,-0.0,123.54,0.03,15.26,11.12,5.14,6.13,-5345.0,64.13,1
2008-10-08 22:26:00,21.76,-0.01,171.16,0.01,18.38,9.39,23.23,5.36,-7150.25,63.13,1
2008-11-08 03:06:00,10.02,-0.01,60.16,0.03,10.84,4.58,11.05,4.9,-5500.0,66.7,0
2008-11-08 04:09:00,8.06,-0.01,56.72,0.02,13.88,7.26,72.22,3.01,-4781.5,67.72,0
2008-11-08 05:15:00,2.04,-0.01,101.82,0.03,6.07,7.65,8.23,4.3,-5336.5,63.76,0
2008-11-08 11:35:00,17.4,-0.0,157.38,0.03,11.76,14.36,39.69,3.4,-6112.25,67.4,0
2008-11-08 12:38:00,3.28,-0.0,160.49,0.02,21.86,8.58,4.18,8.33,-5646.5,64.73,0
2008-12-08 04:23:00,9.25,-0.01,95.6,0.02,224.19,207.58,227.12,202.49,-3345.75,66.54,0
2008-12-08 06:16:00,-17.36,-0.01,33.38,0.03,236.31,208.82,213.75,202.48,-2668.5,64.79,0
2008-12-08 10:54:00,-9.5,-0.0,86.82,0.02,19.64,12.0,5.86,3.56,-6377.0,64.9,0
2008-12-08 11:29:00,-7.96,-0.01,124.56,0.01,20.88,9.27,7.83,1.21,-5440.25,65.44,0
2008-12-08 12:04:00,1.12,-0.01,150.8,0.03,18.37,12.21,11.23,1.89,-5485.0,62.88,0
2008-08-13 02:48:00,8.39,-0.01,68.67,0.01,20.12,13.97,16.91,3.61,-5394.0,67.73,0
2008-08-15 03:26:00,-15.53,-0.0,167.2,0.01,15.52,12.4,14.46,4.16,-5490.0,63.99,0
2008-08-15 04:14:00,9.66,-0.01,37.5,0.03,27.59,11.21,25.21,3.7,-6886.25,62.68,0
2008-08-15 05:13:00,13.7,-0.01,68.09,0.03,25.82,9.92,8.49,4.39,-5487.0,69.9,0
2008-08-15 09:38:00,6.52,-0.01,70.75,0.02,24.58,11.46,3.45,4.45,-6368.75,67.57,0
2008-08-15 10:14:00,5.31,-0.01,68.63,0.02,21.22,15.16,13.42,3.94,-5619.5,67.42,0
2008-08-15 11:42:00,7.77,-0.0,106.38,0.02,23.74,10.75,5.13,4.37,-6329.25,64.03,0
2008-08-15 18:19:00,23.9,-0.01,106.14,0.03,5.39,9.64,21.24,3.71,-5466.5,69.38,0
2008-08-15 19:19:00,-0.33,-0.0,103.6,0.03,9.65,6.93,12.12,5.8,-5561.75,66.58,0
2008-08-15 20:00:00,20.78,-0.01,81.63,0.03,12.58,12.58,22.86,7.62,-5440.75,69.61,0
2008-08-15 20:03:00,24.26,-0.0,125.24,0.02,55.98,9.12,14.72,5.58,-5426.75,67.66,0
2008-08-15 23:31:00,6.71,-0.01,91.0,0.02,22.35,10.0,8.62,3.54,-5635.5,66.26,0
2008-08-16 02:21:00,29.73,-0.01,65.38,0.03,29.4,10.62,2.81,3.57,-5794.25,68.0,0
2008-08-16 05:47:00,11.49,-0.01,62.34,0.03,13.72,12.09,15.4,2.62,-5972.75,68.81,0
2008-08-16 06:52:00,28.31,-0.0,175.34,0.03,7.98,7.58,6.67,4.5,-5550.75,69.92,0
2008-08-16 07:33:00,13.73,-0.01,92.65,0.03,8.25,16.31,3.69,4.46,-5503.5,66.12,0
2008-08-16 08:39:00,18.87,-0.01,37.59,0.03,21.02,13.56,3.83,4.66,-6345.75,66.28,0
2008-08-16 08:41:00,5.58,-0.0,75.59,0.03,20.4,10.29,6.99,5.14,-6434.75,70.53,0
2008-08-16 09:44:00,25.53,-0.01,65.31,0.02,24.94,13.42,6.73,4.56,-6511.5,70.98,1
2008-08-16 13:51:00,5.99,-0.0,0.0,0.02,23.27,15.48,6.54,5.11,-6403.75,68.18,0
2008-08-16 14:30:00,2.78,-0.0,0.0,0.02,14.34,10.26,10.12,5.63,-5407.75,68.32,0
2008-08-16 15:16:00,2.62,-0.01,68.84,0.02,16.23,8.52,7.32,7.07,-5617.5,69.2,0
2008-08-16 15:19:00,20.83,-0.0,98.95,0.02,23.23,17.78,33.3,3.36,-6057.25,69.07,1
2008-08-16 23:48:00,27.3,-0.01,111.39,0.01,23.17,12.8,6.51,4.38,-6448.0,61.72,0
2008-08-17 00:52:00,5.42,-0.01,44.32,0.03,24.03,12.06,3.36,4.48,-6508.5,70.96,0
2008-08-17 01:53:00,5.91,-0.01,57.47,0.03,17.7,7.29,39.09,4.88,-5771.25,67.67,0
2008-08-17 03:17:00,5.38,-0.01,34.78,0.03,31.13,15.34,4.86,4.01,-6401.75,70.04,0
2008-08-17 03:18:00,-11.23,-0.01,87.21,0.03,108.12,7.33,14.54,5.34,-5076.25,62.51,0
2008-08-17 03:46:00,-1.85,-0.0,109.0,0.02,9.71,10.72,10.47,5.07,-5518.0,67.23,0
2008-08-17 04:19:00,25.43,-0.01,46.18,0.01,21.66,10.41,7.67,3.8,-6308.5,68.9,0
2008-08-17 05:21:00,15.46,-0.01,52.43,0.01,5.48,17.36,32.4,6.94,-6153.5,67.97,0
2008-08-17 12:16:00,0.76,-0.01,61.37,0.03,9.74,18.06,17.38,8.67,-5511.75,61.58,1
2008-08-17 13:34:00,-12.05,-0.01,99.55,0.03,23.13,12.73,9.23,3.91,-6417.25,65.13,0
2008-08-17 14:21:00,-10.27,-0.01,57.42,0.02,26.46,11.09,7.02,3.28,-6483.25,67.59,0
2008-08-17 15:25:00,1.16,-0.01,56.64,0.02,14.97,10.0,7.67,3.68,-6480.25,63.92,0
2008-08-17 21:26:00,-11.82,-0.01,49.1,0.03,20.06,15.04,22.06,1.7,-5426.25,62.99,1
