로트번호,설비번호,공정명,작업조,온도_섭씨,압력_Pa,진공도_mTorr,처리시간_sec,합격여부
LOT-0604,EQ-02,산화,C조,298.7,1009.9,5.07,118.1,1
LOT-0807,EQ-03,세정,A조,299.8,1021.7,4.72,118.4,1
LOT-0380,EQ-01,포토,B조,298.9,1008.6,4.99,124.2,-1
LOT-0011,EQ-04,식각,A조,301.8,1015.6,5.01,124.8,1
LOT-0881,EQ-02,식각,A조,298.6,1005.8,5.14,123.5,1
LOT-0433,EQ-03,증착,B조,303.5,1020.0,5.22,109.3,1
LOT-0064,EQ-04,증착,C조,310.0,1024.1,5.44,117.3,1
LOT-0724,EQ-01,식각,C조,301.0,1008.1,5.29,118.1,1
LOT-0511,EQ-02,세정,A조,299.3,1006.3,4.59,120.0,-1
LOT-0489,EQ-04,세정,A조,305.8,1019.0,4.57,116.9,-1
LOT-0673,EQ-04,세정,B조,299.6,1012.5,4.87,119.2,1
LOT-0317,EQ-04,식각,A조,301.2,1009.1,5.11,112.6,1
LOT-0441,EQ-03,포토,A조,301.2,1026.7,5.01,127.3,1
LOT-0582,EQ-03,증착,A조,302.9,1030.6,4.68,118.6,1
LOT-0222,EQ-02,식각,C조,293.8,1012.6,5.24,118.6,1
LOT-0499,EQ-02,식각,B조,311.4,1012.3,4.98,115.9,1
LOT-0425,EQ-03,산화,B조,299.3,1021.2,4.71,105.7,1
LOT-0807,EQ-02,세정,C조,296.8,1014.1,5.21,122.0,1
LOT-0605,EQ-02,증착,C조,302.3,999.6,4.83,111.0,1
LOT-0135,EQ-02,산화,A조,303.9,1001.3,5.32,127.4,1
LOT-0767,EQ-04,산화,C조,301.4,1011.9,4.59,123.4,1
LOT-0071,EQ-04,식각,A조,301.7,1011.9,4.9,119.8,-1
LOT-0159,EQ-03,세정,A조,298.0,1023.7,5.22,121.2,1
LOT-0295,EQ-03,세정,B조,301.1,1027.6,5.38,116.1,1
LOT-0580,EQ-04,증착,A조,305.4,1011.4,4.96,112.4,1
LOT-0421,EQ-03,식각,A조,302.7,1029.2,5.4,125.7,1
LOT-0774,EQ-01,증착,B조,299.1,1020.7,5.08,113.1,1
LOT-0796,EQ-02,포토,B조,292.4,1005.6,5.32,115.3,1
LOT-0117,EQ-01,산화,B조,301.8,1017.4,5.08,122.7,1
LOT-0515,EQ-02,세정,C조,301.6,1008.2,4.62,114.7,1
LOT-0721,EQ-03,증착,A조,299.5,1035.5,4.96,115.2,1
LOT-0659,EQ-04,증착,A조,293.9,995.4,4.65,121.2,1
LOT-0235,EQ-02,산화,C조,294.6,1001.6,4.58,109.5,1
LOT-0099,EQ-04,산화,C조,298.6,1008.6,4.28,125.4,1
LOT-0236,EQ-03,증착,A조,297.8,1027.3,5.2,120.8,1
LOT-0547,EQ-01,세정,A조,299.3,1005.7,4.98,118.4,1
LOT-0895,EQ-03,증착,B조,299.0,1025.8,4.98,120.1,-1
LOT-0515,EQ-03,세정,A조,297.8,1035.7,5.48,115.8,1
LOT-0895,EQ-01,증착,B조,300.9,1002.6,5.06,125.5,1
LOT-0118,EQ-04,포토,B조,306.8,1016.2,5.22,110.9,-1
LOT-0220,EQ-01,세정,C조,298.4,1009.0,4.79,127.2,1
LOT-0439,EQ-02,포토,A조,289.9,1004.4,5.21,120.1,1
LOT-0703,EQ-04,증착,B조,297.6,1016.6,5.06,116.5,-1
LOT-0063,EQ-03,포토,A조,306.1,1032.4,5.37,117.2,1
LOT-0196,EQ-04,포토,B조,302.0,1012.1,4.92,121.8,1
LOT-0817,EQ-02,세정,B조,305.8,1014.1,4.4,126.7,1
LOT-0148,EQ-04,식각,C조,,1003.6,5.25,115.7,1
LOT-0224,EQ-02,산화,C조,296.6,1014.9,4.96,123.3,1
LOT-0682,EQ-02,세정,C조,,993.2,5.16,126.6,1
LOT-0045,EQ-02,식각,C조,302.9,1020.7,4.96,115.9,1
LOT-0181,EQ-03,증착,C조,301.0,1024.0,5.29,116.1,1
LOT-0487,EQ-01,산화,B조,301.1,1015.5,5.07,120.5,1
LOT-0096,EQ-04,포토,A조,302.0,1009.9,5.24,122.8,1
LOT-0874,EQ-04,세정,A조,295.0,1022.8,5.12,125.1,1
LOT-0731,EQ-03,포토,C조,297.6,1034.5,5.5,116.6,1
LOT-0345,EQ-02,포토,C조,293.5,1001.7,5.89,110.2,1
LOT-0721,EQ-01,증착,C조,,998.9,5.32,116.8,1
LOT-0529,EQ-02,식각,C조,303.2,1006.7,5.46,123.1,1
LOT-0244,EQ-03,식각,A조,304.2,1027.4,4.32,112.0,1
LOT-0095,EQ-04,포토,A조,301.5,1029.9,5.38,123.1,1
LOT-0171,EQ-02,산화,B조,297.7,1009.6,4.76,120.8,1
LOT-0338,EQ-02,세정,C조,304.0,1003.0,4.95,127.3,1
LOT-0046,EQ-03,포토,A조,301.2,1023.7,5.01,119.0,-1
LOT-0648,EQ-03,포토,A조,303.2,1028.9,5.11,124.3,1
LOT-0276,EQ-04,세정,A조,294.4,1005.6,4.55,116.6,1
LOT-0432,EQ-04,산화,C조,296.6,1022.0,4.62,107.5,1
LOT-0591,EQ-03,증착,A조,297.3,1034.5,5.16,123.4,1
LOT-0673,EQ-01,식각,A조,298.2,1010.1,5.05,126.4,1
LOT-0331,EQ-04,포토,B조,301.1,1028.0,5.41,117.4,-1
LOT-0882,EQ-03,세정,B조,297.3,1026.4,5.29,118.0,1
LOT-0626,EQ-04,식각,C조,296.7,1043.0,5.17,116.1,1
LOT-0225,EQ-03,산화,C조,299.8,1031.8,4.96,124.3,1
LOT-0434,EQ-01,세정,B조,298.7,1014.3,5.45,115.9,-1
LOT-0072,EQ-03,세정,C조,301.6,1024.7,5.25,116.9,-1
LOT-0371,EQ-03,산화,B조,301.7,1025.6,5.23,119.0,1
LOT-0407,EQ-02,포토,A조,292.0,1019.5,4.31,121.6,1
LOT-0247,EQ-02,세정,B조,305.7,1010.0,4.66,117.0,1
LOT-0260,EQ-04,식각,C조,294.3,1028.1,5.29,115.0,-1
LOT-0479,EQ-03,식각,C조,298.7,1022.8,4.72,124.1,1
LOT-0646,EQ-01,세정,C조,299.4,1012.3,5.04,122.2,1
LOT-0643,EQ-03,증착,A조,297.7,1017.4,5.06,125.9,1
LOT-0415,EQ-03,식각,B조,300.3,1030.7,5.06,117.8,1
LOT-0331,EQ-01,증착,A조,298.0,1009.5,5.18,114.4,1
LOT-0801,EQ-02,증착,C조,306.5,1011.0,4.8,120.6,1
LOT-0774,EQ-04,산화,A조,298.3,1015.8,4.62,129.8,-1
LOT-0850,EQ-02,포토,C조,292.4,1009.9,4.65,122.9,1
LOT-0385,EQ-03,세정,B조,300.2,1028.7,5.03,114.8,1
LOT-0852,EQ-01,산화,B조,301.4,1004.7,5.17,117.4,1
LOT-0333,EQ-01,식각,B조,300.7,997.4,4.93,129.8,1
LOT-0563,EQ-03,포토,B조,300.0,1010.1,4.4,118.2,1
LOT-0856,EQ-01,산화,B조,298.6,1014.1,4.62,105.4,1
LOT-0147,EQ-02,식각,B조,283.1,1006.9,5.02,122.6,1
LOT-0258,EQ-04,포토,C조,303.1,1009.2,4.31,112.2,1
LOT-0816,EQ-02,증착,B조,294.1,1014.2,4.97,123.3,1
LOT-0780,EQ-02,포토,A조,298.2,1009.3,5.16,116.2,1
LOT-0621,EQ-02,세정,B조,295.2,1013.3,5.04,124.5,1
LOT-0566,EQ-01,식각,C조,301.1,1007.5,4.78,115.5,1
LOT-0641,EQ-03,세정,A조,301.8,1027.2,5.47,114.4,1
LOT-0832,EQ-03,산화,B조,302.4,1012.4,5.19,132.4,1
LOT-0726,EQ-01,산화,C조,296.2,1005.7,4.99,118.5,1
LOT-0717,EQ-03,세정,B조,302.9,1035.6,4.37,118.7,1
LOT-0307,EQ-03,포토,C조,299.5,1024.9,5.28,113.5,1
LOT-0847,EQ-02,산화,B조,309.1,1008.3,5.64,116.8,1
LOT-0093,EQ-01,산화,A조,296.4,1006.2,5.4,128.5,1
LOT-0787,EQ-03,식각,C조,301.8,1029.7,4.84,126.0,-1
LOT-0880,EQ-01,세정,B조,304.1,1008.6,5.08,119.0,1
LOT-0127,EQ-02,포토,B조,311.6,1003.7,4.53,120.6,1
LOT-0752,EQ-04,식각,B조,301.8,1010.0,4.77,115.1,1
LOT-0130,EQ-01,증착,B조,302.4,996.7,5.3,121.7,1
LOT-0164,EQ-02,산화,A조,305.1,1008.9,4.83,113.6,1
LOT-0847,EQ-03,산화,A조,301.5,1043.5,5.04,107.5,1
LOT-0443,EQ-01,포토,B조,296.2,1019.4,5.22,127.0,1
LOT-0322,EQ-01,세정,B조,299.6,1003.7,4.9,112.3,1
LOT-0253,EQ-01,산화,A조,300.6,1002.9,4.55,120.5,1
LOT-0013,EQ-01,세정,B조,298.1,1018.7,4.88,122.9,1
LOT-0825,EQ-04,식각,B조,303.4,1014.1,4.99,116.1,1
LOT-0397,EQ-01,세정,C조,302.8,998.1,5.2,119.5,1
LOT-0527,EQ-04,식각,B조,300.4,1002.3,4.85,120.0,1
LOT-0047,EQ-04,세정,B조,302.8,1015.9,4.96,118.4,1
LOT-0555,EQ-03,세정,C조,296.2,1035.8,5.25,119.7,1
LOT-0418,EQ-04,식각,A조,309.5,1006.0,5.65,121.5,1
LOT-0135,EQ-04,증착,C조,303.6,1015.2,4.84,120.1,1
LOT-0556,EQ-01,식각,B조,297.5,1011.1,4.35,108.8,1
LOT-0424,EQ-02,산화,B조,297.9,1003.0,5.17,122.0,1
LOT-0285,EQ-04,식각,C조,303.7,1023.0,4.7,112.6,1
LOT-0196,EQ-04,포토,C조,293.8,997.1,4.8,116.3,1
LOT-0569,EQ-03,식각,C조,299.5,1016.8,5.46,124.8,1
LOT-0146,EQ-02,산화,B조,311.2,1006.3,5.27,124.7,1
LOT-0682,EQ-01,세정,C조,303.3,1005.7,5.44,121.8,1
LOT-0201,EQ-04,식각,B조,300.1,1013.6,5.63,120.7,1
LOT-0714,EQ-04,세정,A조,307.1,1019.5,5.18,126.8,1
LOT-0453,EQ-03,산화,B조,295.6,1026.9,4.97,119.9,1
LOT-0802,EQ-03,산화,C조,,1030.1,4.7,113.4,1
LOT-0005,EQ-04,증착,A조,311.3,1020.8,5.58,113.5,1
LOT-0182,EQ-01,증착,C조,298.5,1007.1,5.07,119.2,1
LOT-0703,EQ-01,세정,B조,300.1,1003.1,5.15,123.5,1
LOT-0032,EQ-01,포토,C조,299.2,1004.7,5.19,125.0,1
LOT-0331,EQ-04,포토,B조,303.9,1005.0,5.25,116.6,-1
LOT-0289,EQ-02,식각,C조,318.7,1009.2,5.03,116.0,1
LOT-0389,EQ-04,포토,A조,294.5,1011.4,4.78,122.1,1
LOT-0788,EQ-03,세정,C조,,1020.1,4.62,113.8,1
LOT-0230,EQ-01,증착,B조,302.2,1007.0,4.66,121.7,1
LOT-0667,EQ-04,산화,A조,302.3,1013.0,5.05,127.1,1
LOT-0118,EQ-02,증착,C조,300.7,1004.1,5.28,117.8,1
LOT-0725,EQ-04,포토,B조,297.2,988.9,5.2,111.1,-1
LOT-0873,EQ-01,포토,C조,301.8,1016.2,5.13,117.6,1
LOT-0630,EQ-01,세정,A조,299.4,1012.0,5.21,128.1,1
LOT-0603,EQ-03,산화,B조,297.9,1030.6,5.0,122.8,1
LOT-0534,EQ-03,세정,A조,298.6,1020.2,4.51,120.0,1
LOT-0490,EQ-01,세정,A조,298.2,1008.8,5.41,116.1,1
LOT-0528,EQ-01,증착,A조,299.7,1027.0,5.59,124.5,1
LOT-0869,EQ-04,식각,A조,292.4,1017.9,6.04,113.6,1
LOT-0507,EQ-04,증착,A조,302.7,996.2,4.93,127.7,-1
LOT-0454,EQ-04,산화,B조,300.9,1033.8,4.48,120.8,1
LOT-0320,EQ-02,포토,A조,293.5,1004.3,5.28,118.0,1
LOT-0129,EQ-02,식각,A조,292.3,1013.3,4.9,131.6,1
LOT-0070,EQ-04,산화,A조,301.0,1020.7,5.5,114.0,1
LOT-0574,EQ-01,세정,B조,303.5,1004.0,4.53,123.6,-1
LOT-0149,EQ-02,식각,A조,299.6,1006.1,4.56,117.6,1
LOT-0081,EQ-01,포토,C조,302.0,1000.1,4.45,120.5,1
LOT-0563,EQ-01,식각,C조,300.8,1018.2,4.9,124.0,1
LOT-0604,EQ-01,산화,B조,302.2,1003.9,5.13,122.4,1
LOT-0573,EQ-02,식각,B조,293.5,1008.5,5.05,110.1,1
LOT-0291,EQ-03,포토,A조,297.5,1024.1,5.6,126.8,1
LOT-0848,EQ-04,세정,A조,296.9,991.3,4.66,128.1,1
LOT-0590,EQ-03,산화,B조,301.3,1037.5,5.19,112.9,1
LOT-0255,EQ-01,산화,C조,298.9,1002.2,5.43,116.4,1
LOT-0335,EQ-04,식각,A조,304.2,1012.0,4.75,125.7,1
LOT-0177,EQ-03,세정,A조,297.7,1022.6,4.94,117.8,1
LOT-0396,EQ-03,증착,C조,293.1,1031.8,4.48,117.2,1
LOT-0880,EQ-04,산화,A조,304.1,1009.6,5.47,120.6,1
LOT-0289,EQ-02,포토,B조,299.6,1000.3,4.54,120.6,-1
LOT-0547,EQ-04,산화,A조,299.7,1012.5,5.14,117.8,1
LOT-0140,EQ-03,세정,B조,297.4,1025.8,4.93,121.2,1
LOT-0451,EQ-04,증착,B조,300.5,996.8,4.56,118.9,-1
LOT-0625,EQ-02,세정,A조,292.3,1020.4,4.99,119.0,1
LOT-0380,EQ-02,증착,A조,303.8,1000.5,4.62,117.7,1
LOT-0452,EQ-04,세정,C조,306.7,1009.4,5.05,135.5,1
LOT-0174,EQ-01,증착,B조,299.8,1015.2,4.72,130.6,1
LOT-0717,EQ-01,산화,C조,305.3,1022.8,4.74,111.6,1
LOT-0140,EQ-03,증착,A조,296.4,1035.8,5.16,118.9,1
