로트번호,웨이퍼번호,설비번호,공정명,검사수량,양품수량,불량수량,불량유형,수율_pct
LOT-0005,4,EQ-02,포토,25,23,2,오염,92.0
LOT-0005,5,EQ-02,포토,24,22,2,파티클,91.7
LOT-0005,6,EQ-02,포토,23,22,1,두께 불량,95.7
LOT-0005,7,EQ-02,포토,21,20,1,전기적 특성 불량,95.2
LOT-0005,8,EQ-02,포토,23,23,0,,100.0
LOT-0006,1,EQ-04,포토,22,14,8,정렬 불량,63.6
LOT-0006,2,EQ-04,포토,25,17,8,전기적 특성 불량,68.0
LOT-0006,3,EQ-04,포토,24,14,10,패턴 불량,58.3
LOT-0006,4,EQ-04,포토,21,14,7,오염,66.7
LOT-0006,5,EQ-04,포토,20,14,6,두께 불량,70.0
LOT-0006,6,EQ-04,포토,25,18,7,식각 과다,72.0
LOT-0006,7,EQ-04,포토,21,15,6,두께 불량,71.4
LOT-0006,8,EQ-04,포토,25,19,6,전기적 특성 불량,76.0
LOT-0007,1,EQ-03,증착,25,23,2,패턴 불량,92.0
LOT-0007,2,EQ-03,증착,25,22,3,식각 부족,88.0
LOT-0007,3,EQ-03,증착,25,22,3,식각 부족,88.0
LOT-0007,4,EQ-03,증착,21,20,1,오염,95.2
LOT-0007,5,EQ-03,증착,25,25,0,,100.0
LOT-0007,6,EQ-03,증착,20,18,2,식각 부족,90.0
LOT-0008,1,EQ-04,산화,24,21,3,정렬 불량,87.5
LOT-0008,2,EQ-04,산화,24,23,1,파티클,95.8
LOT-0008,3,EQ-04,산화,21,20,1,식각 부족,95.2
LOT-0008,4,EQ-04,산화,21,19,2,정렬 불량,90.5
LOT-0008,5,EQ-04,산화,22,20,2,전기적 특성 불량,90.9
LOT-0008,6,EQ-04,산화,25,23,2,오염,92.0
LOT-0008,7,EQ-04,산화,21,19,2,두께 불량,90.5
LOT-0009,1,EQ-03,식각,23,22,1,정렬 불량,95.7
LOT-0009,2,EQ-03,식각,21,20,1,파티클,95.2
LOT-0009,3,EQ-03,식각,20,19,1,전기적 특성 불량,95.0
LOT-0009,4,EQ-03,식각,22,21,1,두께 불량,95.5
LOT-0009,5,EQ-03,식각,21,20,1,파티클,95.2
LOT-0009,6,EQ-03,식각,20,19,1,식각 과다,95.0
LOT-0010,1,EQ-04,식각,25,25,0,,100.0
LOT-0010,2,EQ-04,식각,20,19,1,오염,95.0
LOT-0010,3,EQ-04,식각,23,23,0,,100.0
LOT-0010,4,EQ-04,식각,25,24,1,전기적 특성 불량,96.0
LOT-0010,5,EQ-04,식각,20,18,2,정렬 불량,90.0
LOT-0010,6,EQ-04,식각,20,19,1,파티클,95.0
LOT-0010,7,EQ-04,식각,25,25,0,,100.0
LOT-0010,8,EQ-04,식각,20,19,1,패턴 불량,95.0
LOT-0011,1,EQ-01,산화,25,23,2,정렬 불량,92.0
LOT-0011,2,EQ-01,산화,25,23,2,전기적 특성 불량,92.0
LOT-0011,3,EQ-01,산화,20,19,1,식각 부족,95.0
LOT-0011,4,EQ-01,산화,24,23,1,식각 부족,95.8
LOT-0011,5,EQ-01,산화,24,21,3,전기적 특성 불량,87.5
LOT-0011,6,EQ-01,산화,22,20,2,전기적 특성 불량,90.9
LOT-0011,7,EQ-01,산화,20,20,0,,100.0
LOT-0011,8,EQ-01,산화,22,20,2,식각 부족,90.9
LOT-0012,1,EQ-04,포토,21,20,1,전기적 특성 불량,95.2
LOT-0012,2,EQ-04,포토,25,24,1,파티클,96.0
LOT-0012,3,EQ-04,포토,23,21,2,파티클,91.3
LOT-0012,4,EQ-04,포토,25,25,0,,100.0
LOT-0012,5,EQ-04,포토,22,22,0,,100.0
LOT-0012,6,EQ-04,포토,25,24,1,식각 과다,96.0
LOT-0013,1,EQ-02,식각,21,20,1,두께 불량,95.2
LOT-0013,2,EQ-02,식각,21,19,2,정렬 불량,90.5
LOT-0013,3,EQ-02,식각,20,20,0,,100.0
LOT-0013,4,EQ-02,식각,21,19,2,오염,90.5
LOT-0013,5,EQ-02,식각,24,22,2,패턴 불량,91.7
LOT-0013,6,EQ-02,식각,24,21,3,정렬 불량,87.5
LOT-0014,1,EQ-02,세정,23,22,1,파티클,95.7
LOT-0014,2,EQ-02,세정,20,20,0,,100.0
LOT-0014,3,EQ-02,세정,21,20,1,패턴 불량,95.2
LOT-0014,4,EQ-02,세정,21,20,1,식각 부족,95.2
LOT-0014,5,EQ-02,세정,22,21,1,전기적 특성 불량,95.5
LOT-0014,6,EQ-02,세정,21,20,1,식각 부족,95.2
LOT-0014,7,EQ-02,세정,24,23,1,정렬 불량,95.8
LOT-0014,8,EQ-02,세정,23,21,2,식각 부족,91.3
LOT-0015,1,EQ-03,산화,22,21,1,식각 과다,95.5
LOT-0015,2,EQ-03,산화,25,24,1,파티클,96.0
LOT-0015,3,EQ-03,산화,22,21,1,식각 부족,95.5
LOT-0015,4,EQ-03,산화,24,23,1,파티클,95.8
LOT-0015,5,EQ-03,산화,21,20,1,전기적 특성 불량,95.2
LOT-0015,6,EQ-03,산화,22,19,3,식각 부족,86.4
LOT-0015,7,EQ-03,산화,20,20,0,,100.0
LOT-0016,1,EQ-01,식각,20,18,2,패턴 불량,90.0
LOT-0016,2,EQ-01,식각,22,22,0,,100.0
LOT-0016,3,EQ-01,식각,25,23,2,식각 과다,92.0
LOT-0016,4,EQ-01,식각,21,20,1,정렬 불량,95.2
LOT-0016,5,EQ-01,식각,21,20,1,식각 부족,95.2
LOT-0016,6,EQ-01,식각,24,23,1,정렬 불량,95.8
LOT-0017,1,EQ-04,산화,20,19,1,오염,95.0
LOT-0017,2,EQ-04,산화,20,18,2,식각 과다,90.0
LOT-0017,3,EQ-04,산화,23,21,2,오염,91.3
LOT-0017,4,EQ-04,산화,24,22,2,식각 부족,91.7
LOT-0017,5,EQ-04,산화,21,20,1,오염,95.2
LOT-0017,6,EQ-04,산화,23,22,1,전기적 특성 불량,95.7
LOT-0017,7,EQ-04,산화,25,24,1,파티클,96.0
LOT-0018,1,EQ-02,식각,24,22,2,전기적 특성 불량,91.7
LOT-0018,2,EQ-02,식각,23,22,1,두께 불량,95.7
LOT-0018,3,EQ-02,식각,25,23,2,정렬 불량,92.0
LOT-0018,4,EQ-02,식각,22,19,3,식각 과다,86.4
LOT-0018,5,EQ-02,식각,25,23,2,식각 부족,92.0
LOT-0018,6,EQ-02,식각,23,22,1,두께 불량,95.7
LOT-0018,7,EQ-02,식각,20,20,0,,100.0
LOT-0018,8,EQ-02,식각,24,22,2,식각 부족,91.7
LOT-0019,1,EQ-01,식각,21,20,1,두께 불량,95.2
LOT-0019,2,EQ-01,식각,22,20,2,전기적 특성 불량,90.9
LOT-0019,3,EQ-01,식각,22,21,1,파티클,95.5
LOT-0019,4,EQ-01,식각,22,20,2,식각 과다,90.9
LOT-0019,5,EQ-01,식각,21,19,2,패턴 불량,90.5
LOT-0019,6,EQ-01,식각,25,24,1,파티클,96.0
LOT-0020,1,EQ-04,세정,23,20,3,식각 부족,87.0
LOT-0020,2,EQ-04,세정,20,18,2,패턴 불량,90.0
LOT-0020,3,EQ-04,세정,20,20,0,,100.0
LOT-0020,4,EQ-04,세정,24,21,3,전기적 특성 불량,87.5
LOT-0020,5,EQ-04,세정,20,18,2,오염,90.0
LOT-0020,6,EQ-04,세정,24,21,3,식각 과다,87.5
LOT-0020,7,EQ-04,세정,23,20,3,패턴 불량,87.0
LOT-0020,8,EQ-04,세정,20,18,2,패턴 불량,90.0
LOT-0021,1,EQ-03,식각,23,23,0,,100.0
LOT-0021,2,EQ-03,식각,21,20,1,패턴 불량,95.2
LOT-0021,3,EQ-03,식각,24,23,1,두께 불량,95.8
LOT-0021,4,EQ-03,식각,23,22,1,정렬 불량,95.7
LOT-0021,5,EQ-03,식각,22,20,2,정렬 불량,90.9
LOT-0021,6,EQ-03,식각,25,24,1,패턴 불량,96.0
LOT-0021,7,EQ-03,식각,23,21,2,정렬 불량,91.3
LOT-0022,1,EQ-04,산화,20,18,2,두께 불량,90.0
LOT-0022,2,EQ-04,산화,21,19,2,패턴 불량,90.5
LOT-0022,3,EQ-04,산화,22,19,3,패턴 불량,86.4
LOT-0022,4,EQ-04,산화,20,19,1,정렬 불량,95.0
LOT-0022,5,EQ-04,산화,22,20,2,정렬 불량,90.9
LOT-0022,6,EQ-04,산화,21,20,1,파티클,95.2
LOT-0022,7,EQ-04,산화,25,24,1,파티클,96.0
LOT-0022,8,EQ-04,산화,24,23,1,오염,95.8
LOT-0023,1,EQ-03,산화,21,19,2,전기적 특성 불량,90.5
LOT-0023,2,EQ-03,산화,24,21,3,정렬 불량,87.5
LOT-0023,3,EQ-03,산화,25,24,1,오염,96.0
LOT-0023,4,EQ-03,산화,22,21,1,패턴 불량,95.5
LOT-0023,5,EQ-03,산화,25,24,1,전기적 특성 불량,96.0
LOT-0023,6,EQ-03,산화,23,23,0,,100.0
LOT-0024,1,EQ-04,산화,23,22,1,패턴 불량,95.7
LOT-0024,2,EQ-04,산화,20,18,2,식각 과다,90.0
LOT-0024,3,EQ-04,산화,23,21,2,두께 불량,91.3
LOT-0024,4,EQ-04,산화,23,21,2,패턴 불량,91.3
LOT-0024,5,EQ-04,산화,21,20,1,전기적 특성 불량,95.2
LOT-0024,6,EQ-04,산화,20,18,2,식각 부족,90.0
LOT-0025,1,EQ-04,식각,20,19,1,정렬 불량,95.0
LOT-0025,2,EQ-04,식각,20,19,1,패턴 불량,95.0
LOT-0025,3,EQ-04,식각,20,20,0,,100.0
LOT-0025,4,EQ-04,식각,22,22,0,,100.0
LOT-0025,5,EQ-04,식각,20,19,1,식각 부족,95.0
LOT-0025,6,EQ-04,식각,23,23,0,,100.0
LOT-0025,7,EQ-04,식각,24,22,2,식각 과다,91.7
LOT-0026,1,EQ-03,세정,24,21,3,두께 불량,87.5
LOT-0026,2,EQ-03,세정,23,22,1,패턴 불량,95.7
LOT-0026,3,EQ-03,세정,21,19,2,정렬 불량,90.5
LOT-0026,4,EQ-03,세정,25,24,1,두께 불량,96.0
LOT-0026,5,EQ-03,세정,23,21,2,정렬 불량,91.3
LOT-0026,6,EQ-03,세정,22,22,0,,100.0
LOT-0026,7,EQ-03,세정,25,22,3,정렬 불량,88.0
LOT-0027,1,EQ-02,세정,24,21,3,두께 불량,87.5
LOT-0027,2,EQ-02,세정,25,23,2,오염,92.0
LOT-0027,3,EQ-02,세정,25,23,2,정렬 불량,92.0
LOT-0027,4,EQ-02,세정,20,19,1,전기적 특성 불량,95.0
LOT-0027,5,EQ-02,세정,22,20,2,파티클,90.9
LOT-0027,6,EQ-02,세정,20,19,1,식각 부족,95.0
LOT-0027,7,EQ-02,세정,22,20,2,식각 부족,90.9
LOT-0028,1,EQ-01,증착,25,22,3,파티클,88.0
LOT-0028,2,EQ-01,증착,20,19,1,정렬 불량,95.0
LOT-0028,3,EQ-01,증착,23,22,1,정렬 불량,95.7
LOT-0028,4,EQ-01,증착,22,21,1,정렬 불량,95.5
LOT-0028,5,EQ-01,증착,25,23,2,전기적 특성 불량,92.0
LOT-0028,6,EQ-01,증착,21,19,2,식각 부족,90.5
LOT-0029,1,EQ-04,식각,20,13,7,전기적 특성 불량,65.0
LOT-0029,2,EQ-04,식각,24,15,9,정렬 불량,62.5
LOT-0029,3,EQ-04,식각,23,14,9,정렬 불량,60.9
LOT-0029,4,EQ-04,식각,24,18,6,두께 불량,75.0
LOT-0029,5,EQ-04,식각,25,16,9,두께 불량,64.0
LOT-0029,6,EQ-04,식각,21,15,6,두께 불량,71.4
LOT-0029,7,EQ-04,식각,23,17,6,두께 불량,73.9
LOT-0029,8,EQ-04,식각,21,16,5,정렬 불량,76.2
LOT-0030,1,EQ-03,세정,24,23,1,두께 불량,95.8
LOT-0030,2,EQ-03,세정,25,24,1,오염,96.0
LOT-0030,3,EQ-03,세정,21,20,1,식각 부족,95.2
LOT-0030,4,EQ-03,세정,24,24,0,,100.0
LOT-0030,5,EQ-03,세정,25,24,1,오염,96.0
LOT-0030,6,EQ-03,세정,22,20,2,전기적 특성 불량,90.9
LOT-0030,7,EQ-03,세정,23,21,2,식각 부족,91.3
LOT-0031,1,EQ-04,증착,25,23,2,파티클,92.0
LOT-0031,2,EQ-04,증착,22,22,0,,100.0
LOT-0031,3,EQ-04,증착,22,22,0,,100.0
LOT-0031,4,EQ-04,증착,24,23,1,패턴 불량,95.8
LOT-0031,5,EQ-04,증착,23,22,1,식각 과다,95.7
LOT-0031,6,EQ-04,증착,21,21,0,,100.0
LOT-0032,1,EQ-01,포토,24,22,2,패턴 불량,91.7
LOT-0032,2,EQ-01,포토,23,21,2,전기적 특성 불량,91.3
LOT-0032,3,EQ-01,포토,25,23,2,패턴 불량,92.0
LOT-0032,4,EQ-01,포토,24,21,3,전기적 특성 불량,87.5
LOT-0032,5,EQ-01,포토,21,19,2,파티클,90.5
LOT-0032,6,EQ-01,포토,20,18,2,식각 부족,90.0
LOT-0032,7,EQ-01,포토,22,21,1,식각 과다,95.5
LOT-0033,1,EQ-03,세정,25,23,2,식각 부족,92.0
LOT-0033,2,EQ-03,세정,22,21,1,식각 과다,95.5
LOT-0033,3,EQ-03,세정,21,21,0,,100.0
LOT-0033,4,EQ-03,세정,20,20,0,,100.0
LOT-0033,5,EQ-03,세정,24,22,2,식각 부족,91.7
LOT-0033,6,EQ-03,세정,22,19,3,정렬 불량,86.4
LOT-0034,1,EQ-04,증착,23,21,2,식각 과다,91.3
LOT-0034,2,EQ-04,증착,20,19,1,전기적 특성 불량,95.0
LOT-0034,3,EQ-04,증착,20,18,2,패턴 불량,90.0
LOT-0034,4,EQ-04,증착,21,20,1,식각 부족,95.2
LOT-0034,5,EQ-04,증착,25,22,3,오염,88.0
LOT-0034,6,EQ-04,증착,22,21,1,파티클,95.5
LOT-0035,1,EQ-03,세정,25,23,2,두께 불량,92.0
LOT-0035,2,EQ-03,세정,22,21,1,식각 부족,95.5
LOT-0035,3,EQ-03,세정,21,20,1,식각 부족,95.2
LOT-0035,4,EQ-03,세정,24,24,0,,100.0
LOT-0035,5,EQ-03,세정,21,20,1,두께 불량,95.2
LOT-0035,6,EQ-03,세정,20,19,1,정렬 불량,95.0
LOT-0035,7,EQ-03,세정,23,22,1,전기적 특성 불량,95.7
LOT-0035,8,EQ-03,세정,21,19,2,전기적 특성 불량,90.5
LOT-0036,1,EQ-03,식각,25,23,2,오염,92.0
LOT-0036,2,EQ-03,식각,25,24,1,파티클,96.0
LOT-0036,3,EQ-03,식각,23,22,1,오염,95.7
LOT-0036,4,EQ-03,식각,20,18,2,정렬 불량,90.0
LOT-0036,5,EQ-03,식각,21,19,2,전기적 특성 불량,90.5
LOT-0036,6,EQ-03,식각,25,25,0,,100.0
LOT-0036,7,EQ-03,식각,23,22,1,식각 부족,95.7
LOT-0036,8,EQ-03,식각,24,22,2,오염,91.7
LOT-0037,1,EQ-04,포토,20,13,7,식각 과다,65.0
LOT-0037,2,EQ-04,포토,24,16,8,두께 불량,66.7
LOT-0037,3,EQ-04,포토,23,17,6,식각 과다,73.9
LOT-0037,4,EQ-04,포토,22,14,8,전기적 특성 불량,63.6
LOT-0037,5,EQ-04,포토,20,14,6,파티클,70.0
LOT-0037,6,EQ-04,포토,24,17,7,식각 과다,70.8
LOT-0038,1,EQ-01,포토,24,23,1,정렬 불량,95.8
LOT-0038,2,EQ-01,포토,22,20,2,패턴 불량,90.9
LOT-0038,3,EQ-01,포토,21,19,2,식각 부족,90.5
LOT-0038,4,EQ-01,포토,24,22,2,패턴 불량,91.7
LOT-0038,5,EQ-01,포토,25,23,2,오염,92.0
LOT-0038,6,EQ-01,포토,22,21,1,식각 부족,95.5
LOT-0038,7,EQ-01,포토,22,19,3,패턴 불량,86.4
LOT-0039,1,EQ-02,세정,22,21,1,전기적 특성 불량,95.5
LOT-0039,2,EQ-02,세정,25,22,3,식각 부족,88.0
LOT-0039,3,EQ-02,세정,24,23,1,두께 불량,95.8
LOT-0039,4,EQ-02,세정,25,23,2,전기적 특성 불량,92.0
LOT-0039,5,EQ-02,세정,25,23,2,정렬 불량,92.0
LOT-0039,6,EQ-02,세정,25,23,2,파티클,92.0
LOT-0039,7,EQ-02,세정,23,21,2,파티클,91.3
LOT-0039,8,EQ-02,세정,24,23,1,정렬 불량,95.8
LOT-0040,1,EQ-03,세정,21,20,1,식각 과다,95.2
LOT-0040,2,EQ-03,세정,22,19,3,식각 부족,86.4
LOT-0040,3,EQ-03,세정,22,21,1,패턴 불량,95.5
LOT-0040,4,EQ-03,세정,24,22,2,식각 과다,91.7
LOT-0040,5,EQ-03,세정,20,19,1,두께 불량,95.0
LOT-0040,6,EQ-03,세정,23,22,1,전기적 특성 불량,95.7
LOT-0040,7,EQ-03,세정,20,19,1,식각 과다,95.0
LOT-0040,8,EQ-03,세정,23,21,2,패턴 불량,91.3
LOT-0041,1,EQ-01,산화,20,19,1,파티클,95.0
LOT-0041,2,EQ-01,산화,22,20,2,식각 과다,90.9
LOT-0041,3,EQ-01,산화,20,18,2,전기적 특성 불량,90.0
LOT-0041,4,EQ-01,산화,25,23,2,오염,92.0
LOT-0041,5,EQ-01,산화,21,20,1,식각 과다,95.2
LOT-0041,6,EQ-01,산화,23,21,2,전기적 특성 불량,91.3
LOT-0042,1,EQ-02,산화,24,23,1,두께 불량,95.8
LOT-0042,2,EQ-02,산화,23,22,1,파티클,95.7
LOT-0042,3,EQ-02,산화,22,20,2,정렬 불량,90.9
LOT-0042,4,EQ-02,산화,25,22,3,두께 불량,88.0
LOT-0042,5,EQ-02,산화,25,24,1,파티클,96.0
LOT-0042,6,EQ-02,산화,25,23,2,전기적 특성 불량,92.0
LOT-0042,7,EQ-02,산화,21,20,1,전기적 특성 불량,95.2
LOT-0042,8,EQ-02,산화,24,22,2,식각 과다,91.7
LOT-0043,1,EQ-04,증착,25,24,1,오염,96.0
LOT-0043,2,EQ-04,증착,23,22,1,패턴 불량,95.7
LOT-0043,3,EQ-04,증착,22,21,1,두께 불량,95.5
LOT-0043,4,EQ-04,증착,23,21,2,정렬 불량,91.3
LOT-0043,5,EQ-04,증착,22,21,1,패턴 불량,95.5
LOT-0043,6,EQ-04,증착,21,19,2,정렬 불량,90.5
LOT-0043,7,EQ-04,증착,21,20,1,전기적 특성 불량,95.2
LOT-0044,1,EQ-03,산화,24,23,1,오염,95.8
LOT-0044,2,EQ-03,산화,25,23,2,식각 부족,92.0
LOT-0044,3,EQ-03,산화,22,20,2,패턴 불량,90.9
LOT-0044,4,EQ-03,산화,24,23,1,오염,95.8
LOT-0044,5,EQ-03,산화,25,24,1,식각 과다,96.0
LOT-0044,6,EQ-03,산화,23,22,1,전기적 특성 불량,95.7
LOT-0044,7,EQ-03,산화,20,18,2,전기적 특성 불량,90.0
LOT-0045,1,EQ-01,세정,23,22,1,두께 불량,95.7
LOT-0045,2,EQ-01,세정,25,24,1,식각 과다,96.0
LOT-0045,3,EQ-01,세정,23,22,1,오염,95.7
LOT-0045,4,EQ-01,세정,20,19,1,전기적 특성 불량,95.0
LOT-0045,5,EQ-01,세정,24,23,1,식각 부족,95.8
LOT-0045,6,EQ-01,세정,24,24,0,,100.0
LOT-0045,7,EQ-01,세정,22,20,2,식각 과다,90.9
LOT-0045,8,EQ-01,세정,21,20,1,파티클,95.2
LOT-0046,1,EQ-01,식각,20,18,2,오염,90.0
LOT-0046,2,EQ-01,식각,21,20,1,식각 부족,95.2
LOT-0046,3,EQ-01,식각,21,20,1,정렬 불량,95.2
LOT-0046,4,EQ-01,식각,22,21,1,패턴 불량,95.5
LOT-0046,5,EQ-01,식각,23,20,3,정렬 불량,87.0
LOT-0046,6,EQ-01,식각,23,21,2,식각 부족,91.3
LOT-0046,7,EQ-01,식각,20,18,2,전기적 특성 불량,90.0
LOT-0046,8,EQ-01,식각,22,19,3,파티클,86.4
LOT-0047,1,EQ-03,포토,20,18,2,정렬 불량,90.0
LOT-0047,2,EQ-03,포토,22,21,1,파티클,95.5
LOT-0047,3,EQ-03,포토,25,23,2,정렬 불량,92.0
LOT-0047,4,EQ-03,포토,22,20,2,패턴 불량,90.9
LOT-0047,5,EQ-03,포토,23,21,2,오염,91.3
LOT-0047,6,EQ-03,포토,21,19,2,두께 불량,90.5
LOT-0048,1,EQ-01,포토,24,22,2,전기적 특성 불량,91.7
LOT-0048,2,EQ-01,포토,22,22,0,,100.0
LOT-0048,3,EQ-01,포토,21,19,2,식각 부족,90.5
LOT-0048,4,EQ-01,포토,22,20,2,패턴 불량,90.9
LOT-0048,5,EQ-01,포토,24,22,2,오염,91.7
LOT-0048,6,EQ-01,포토,22,22,0,,100.0
LOT-0048,7,EQ-01,포토,21,21,0,,100.0
LOT-0048,8,EQ-01,포토,21,19,2,파티클,90.5
LOT-0049,1,EQ-01,포토,24,22,2,두께 불량,91.7
LOT-0049,2,EQ-01,포토,25,22,3,패턴 불량,88.0
LOT-0049,3,EQ-01,포토,24,24,0,,100.0
LOT-0049,4,EQ-01,포토,24,22,2,정렬 불량,91.7
LOT-0049,5,EQ-01,포토,22,22,0,,100.0
LOT-0049,6,EQ-01,포토,23,22,1,파티클,95.7
LOT-0049,7,EQ-01,포토,25,23,2,전기적 특성 불량,92.0
LOT-0050,1,EQ-04,포토,25,19,6,정렬 불량,76.0
LOT-0050,2,EQ-04,포토,23,14,9,두께 불량,60.9
LOT-0050,3,EQ-04,포토,20,13,7,파티클,65.0
LOT-0050,4,EQ-04,포토,24,17,7,식각 부족,70.8
LOT-0050,5,EQ-04,포토,24,18,6,정렬 불량,75.0
LOT-0050,6,EQ-04,포토,22,12,10,식각 부족,54.5
LOT-0050,7,EQ-04,포토,22,15,7,전기적 특성 불량,68.2
LOT-0051,1,EQ-02,포토,23,21,2,정렬 불량,91.3
LOT-0051,2,EQ-02,포토,24,23,1,오염,95.8
LOT-0051,3,EQ-02,포토,21,19,2,패턴 불량,90.5
LOT-0051,4,EQ-02,포토,21,20,1,정렬 불량,95.2
LOT-0051,5,EQ-02,포토,25,24,1,정렬 불량,96.0
LOT-0051,6,EQ-02,포토,25,23,2,파티클,92.0
LOT-0051,7,EQ-02,포토,20,19,1,오염,95.0
LOT-0051,8,EQ-02,포토,21,20,1,오염,95.2
LOT-0052,1,EQ-02,세정,22,20,2,파티클,90.9
LOT-0052,2,EQ-02,세정,20,19,1,식각 과다,95.0
LOT-0052,3,EQ-02,세정,21,19,2,패턴 불량,90.5
LOT-0052,4,EQ-02,세정,25,24,1,전기적 특성 불량,96.0
LOT-0052,5,EQ-02,세정,20,19,1,식각 과다,95.0
LOT-0052,6,EQ-02,세정,23,23,0,,100.0
LOT-0052,7,EQ-02,세정,22,21,1,식각 과다,95.5
LOT-0052,8,EQ-02,세정,20,20,0,,100.0
LOT-0053,1,EQ-04,포토,20,15,5,식각 부족,75.0
LOT-0053,2,EQ-04,포토,24,18,6,오염,75.0
LOT-0053,3,EQ-04,포토,25,14,11,오염,56.0
LOT-0053,4,EQ-04,포토,24,17,7,식각 과다,70.8
LOT-0053,5,EQ-04,포토,23,14,9,식각 부족,60.9
LOT-0053,6,EQ-04,포토,23,13,10,식각 부족,56.5
LOT-0053,7,EQ-04,포토,22,16,6,패턴 불량,72.7
LOT-0053,8,EQ-04,포토,23,15,8,오염,65.2
LOT-0054,1,EQ-01,세정,24,23,1,오염,95.8
LOT-0054,2,EQ-01,세정,21,19,2,정렬 불량,90.5
LOT-0054,3,EQ-01,세정,21,20,1,정렬 불량,95.2
LOT-0054,4,EQ-01,세정,20,20,0,,100.0
LOT-0054,5,EQ-01,세정,23,22,1,식각 과다,95.7
LOT-0054,6,EQ-01,세정,22,20,2,두께 불량,90.9
LOT-0055,1,EQ-04,산화,22,21,1,파티클,95.5
LOT-0055,2,EQ-04,산화,20,20,0,,100.0
LOT-0055,3,EQ-04,산화,22,20,2,파티클,90.9
LOT-0055,4,EQ-04,산화,25,24,1,전기적 특성 불량,96.0
LOT-0055,5,EQ-04,산화,24,22,2,파티클,91.7
LOT-0055,6,EQ-04,산화,23,23,0,,100.0
LOT-0056,1,EQ-03,증착,25,23,2,전기적 특성 불량,92.0
LOT-0056,2,EQ-03,증착,21,21,0,,100.0
LOT-0056,3,EQ-03,증착,20,18,2,정렬 불량,90.0
LOT-0056,4,EQ-03,증착,23,22,1,패턴 불량,95.7
LOT-0056,5,EQ-03,증착,20,20,0,,100.0
LOT-0056,6,EQ-03,증착,20,19,1,정렬 불량,95.0
LOT-0056,7,EQ-03,증착,20,18,2,식각 과다,90.0
LOT-0056,8,EQ-03,증착,23,22,1,두께 불량,95.7
LOT-0057,1,EQ-01,세정,25,23,2,두께 불량,92.0
LOT-0057,2,EQ-01,세정,20,19,1,식각 과다,95.0
LOT-0057,3,EQ-01,세정,20,18,2,오염,90.0
LOT-0057,4,EQ-01,세정,22,21,1,오염,95.5
LOT-0057,5,EQ-01,세정,21,20,1,전기적 특성 불량,95.2
LOT-0057,6,EQ-01,세정,21,19,2,패턴 불량,90.5
LOT-0058,1,EQ-04,포토,25,24,1,두께 불량,96.0
LOT-0058,2,EQ-04,포토,21,20,1,패턴 불량,95.2
LOT-0058,3,EQ-04,포토,21,19,2,식각 과다,90.5
LOT-0058,4,EQ-04,포토,25,24,1,전기적 특성 불량,96.0
LOT-0058,5,EQ-04,포토,22,21,1,오염,95.5
LOT-0058,6,EQ-04,포토,20,18,2,파티클,90.0
LOT-0059,1,EQ-03,증착,23,21,2,두께 불량,91.3
LOT-0059,2,EQ-03,증착,24,21,3,식각 부족,87.5
LOT-0059,3,EQ-03,증착,22,20,2,파티클,90.9
LOT-0059,4,EQ-03,증착,23,22,1,정렬 불량,95.7
LOT-0059,5,EQ-03,증착,22,20,2,파티클,90.9
LOT-0059,6,EQ-03,증착,23,21,2,정렬 불량,91.3
