로트번호,웨이퍼번호,설비번호,공정명,작업조,온도_섭씨,압력_Pa,진공도_mTorr,처리시간_sec,불량유형,합격여부
LOT-0012,1,EQ-03,증착,B조,306.5,1038.8,5.04,120.9,,1
LOT-0012,2,EQ-03,증착,B조,298.8,1038.3,4.93,118.1,,1
LOT-0012,3,EQ-03,증착,B조,295.1,1025.9,5.17,115.1,두께 불량,-1
LOT-0012,4,EQ-03,증착,B조,296.6,1021.6,5.27,131.1,,1
LOT-0013,1,EQ-01,세정,C조,302.8,1003.2,4.57,125.8,,1
LOT-0013,2,EQ-01,세정,C조,302.5,1009.4,5.26,111.5,,1
LOT-0013,3,EQ-01,세정,C조,301.1,1014.4,4.58,117.7,,1
LOT-0013,4,EQ-01,세정,C조,303.5,1008.7,4.92,124.4,,1
LOT-0014,1,EQ-01,세정,C조,301.5,993.5,5.31,120.2,,1
LOT-0014,2,EQ-01,세정,C조,302.8,1025.0,4.76,120.1,,1
LOT-0014,3,EQ-01,세정,C조,301.6,999.3,4.98,116.0,,1
LOT-0014,4,EQ-01,세정,C조,297.6,1006.3,4.81,116.9,,1
LOT-0015,1,EQ-04,포토,C조,298.4,1010.0,5.21,126.8,두께 불량,-1
LOT-0015,2,EQ-04,포토,C조,306.8,1018.9,4.92,118.9,,1
LOT-0015,3,EQ-04,포토,C조,308.2,1016.8,4.93,119.3,,1
LOT-0015,4,EQ-04,포토,C조,305.2,1021.5,5.31,117.6,패턴 불량,-1
LOT-0016,1,EQ-01,세정,B조,299.6,1017.2,4.81,117.4,,1
LOT-0016,2,EQ-01,세정,B조,296.8,1012.6,5.02,118.1,,1
LOT-0016,3,EQ-01,세정,B조,298.5,995.1,5.35,130.1,,1
LOT-0016,4,EQ-01,세정,B조,300.9,1010.6,5.07,124.1,,1
LOT-0017,1,EQ-01,세정,A조,296.7,1015.4,5.06,122.3,,1
LOT-0017,2,EQ-01,세정,A조,296.1,998.2,4.75,123.1,,1
LOT-0017,3,EQ-01,세정,A조,297.0,1007.9,4.99,118.3,,1
LOT-0017,4,EQ-01,세정,A조,299.0,1019.0,4.98,120.8,,1
LOT-0018,1,EQ-02,세정,C조,299.1,1010.5,5.27,116.1,,1
LOT-0018,2,EQ-02,세정,C조,290.2,1000.7,4.75,112.0,,1
LOT-0018,3,EQ-02,세정,C조,298.0,1011.9,5.42,114.8,,1
LOT-0018,4,EQ-02,세정,C조,296.5,1015.9,5.32,118.7,,1
LOT-0019,1,EQ-01,산화,A조,298.1,1011.3,4.55,116.1,,1
LOT-0019,2,EQ-01,산화,A조,301.5,1013.4,5.82,124.0,,1
LOT-0019,3,EQ-01,산화,A조,300.1,1015.4,4.76,114.0,,1
LOT-0019,4,EQ-01,산화,A조,301.5,1019.5,5.05,110.5,,1
LOT-0020,1,EQ-01,산화,A조,301.1,1012.6,5.1,117.3,,1
LOT-0020,2,EQ-01,산화,A조,301.1,1008.3,5.34,115.7,,1
LOT-0020,3,EQ-01,산화,A조,301.2,1012.7,5.07,118.4,,1
LOT-0020,4,EQ-01,산화,A조,296.6,1006.7,5.15,128.0,,1
LOT-0021,1,EQ-02,세정,C조,291.1,1020.7,5.3,125.2,,1
LOT-0021,2,EQ-02,세정,C조,301.5,1012.9,4.74,127.3,,1
LOT-0021,3,EQ-02,세정,C조,296.7,1003.2,4.96,123.9,,1
LOT-0021,4,EQ-02,세정,C조,304.1,999.1,5.49,118.4,,1
LOT-0022,1,EQ-02,산화,A조,303.5,1011.0,5.24,129.5,,1
LOT-0022,2,EQ-02,산화,A조,287.9,1017.0,4.49,128.0,,1
LOT-0022,3,EQ-02,산화,A조,309.4,1018.3,4.96,121.3,,1
LOT-0022,4,EQ-02,산화,A조,309.4,1030.3,5.17,119.1,,1
LOT-0023,1,EQ-01,산화,C조,303.0,1012.0,5.14,125.7,,1
LOT-0023,2,EQ-01,산화,C조,301.6,1011.0,5.41,116.9,,1
LOT-0023,3,EQ-01,산화,C조,302.0,1015.5,5.39,114.6,,1
LOT-0023,4,EQ-01,산화,C조,301.0,1001.6,5.29,123.3,,1
LOT-0024,1,EQ-04,세정,C조,299.8,999.8,4.81,124.6,,1
LOT-0024,2,EQ-04,세정,C조,299.1,1011.7,5.44,118.9,,1
LOT-0024,3,EQ-04,세정,C조,303.4,996.1,4.81,117.8,,1
LOT-0024,4,EQ-04,세정,C조,300.2,1011.2,4.65,113.9,,1
LOT-0025,1,EQ-04,세정,B조,297.5,1013.5,5.24,118.5,,1
LOT-0025,2,EQ-04,세정,B조,308.8,999.0,4.38,114.7,,1
LOT-0025,3,EQ-04,세정,B조,295.3,1012.0,4.9,124.5,,1
LOT-0025,4,EQ-04,세정,B조,304.2,1014.9,4.92,123.4,,1
LOT-0026,1,EQ-01,식각,B조,299.4,1016.0,5.13,121.2,,1
LOT-0026,2,EQ-01,식각,B조,300.0,1005.0,4.9,123.6,,1
LOT-0026,3,EQ-01,식각,B조,303.6,1009.9,5.11,124.1,,1
LOT-0026,4,EQ-01,식각,B조,297.7,1010.9,4.71,121.1,,1
LOT-0027,1,EQ-02,세정,C조,296.9,1009.1,4.39,120.1,두께 불량,-1
LOT-0027,2,EQ-02,세정,C조,304.8,1015.8,4.99,121.0,,1
LOT-0027,3,EQ-02,세정,C조,305.2,1009.6,5.47,126.3,,1
LOT-0027,4,EQ-02,세정,C조,295.4,1003.5,4.94,117.4,,1
LOT-0028,1,EQ-02,세정,A조,294.6,1005.7,5.37,118.9,,1
LOT-0028,2,EQ-02,세정,A조,297.5,1020.8,4.87,116.3,,1
LOT-0028,3,EQ-02,세정,A조,302.1,1002.7,4.38,125.8,,1
LOT-0028,4,EQ-02,세정,A조,312.5,1006.8,5.22,123.5,,1
LOT-0029,1,EQ-01,산화,A조,301.1,1007.1,4.7,123.1,,1
LOT-0029,2,EQ-01,산화,A조,299.0,1009.6,4.49,127.0,,1
LOT-0029,3,EQ-01,산화,A조,297.9,1008.9,4.48,123.4,,1
LOT-0029,4,EQ-01,산화,A조,302.5,1012.9,5.2,117.7,,1
LOT-0030,1,EQ-01,세정,C조,296.6,1020.5,4.98,123.6,,1
LOT-0030,2,EQ-01,세정,C조,301.1,1001.0,4.82,118.5,,1
LOT-0030,3,EQ-01,세정,C조,300.4,1009.6,4.45,125.4,,1
LOT-0030,4,EQ-01,세정,C조,301.6,1007.8,5.14,126.3,,1
LOT-0031,1,EQ-02,산화,A조,288.1,998.7,5.04,122.4,오염,-1
LOT-0031,2,EQ-02,산화,A조,300.7,1017.6,4.91,117.9,,1
LOT-0031,3,EQ-02,산화,A조,304.3,1006.8,4.92,110.2,파티클,-1
LOT-0031,4,EQ-02,산화,A조,293.7,1002.7,4.82,124.7,두께 불량,-1
LOT-0032,1,EQ-01,세정,B조,299.8,1006.4,5.1,119.2,,1
LOT-0032,2,EQ-01,세정,B조,295.6,1005.0,5.18,127.3,,1
LOT-0032,3,EQ-01,세정,B조,299.2,1007.7,5.03,127.8,,1
LOT-0032,4,EQ-01,세정,B조,297.2,1003.0,4.88,124.6,,1
LOT-0033,1,EQ-04,증착,A조,298.1,1001.5,5.41,123.5,,1
LOT-0033,2,EQ-04,증착,A조,307.9,1019.1,4.91,121.8,,1
LOT-0033,3,EQ-04,증착,A조,303.0,1017.8,4.86,117.8,두께 불량,-1
LOT-0033,4,EQ-04,증착,A조,300.7,1030.6,4.88,131.1,두께 불량,-1
LOT-0034,1,EQ-03,세정,B조,303.5,1035.3,4.88,119.9,,1
LOT-0034,2,EQ-03,세정,B조,300.4,1034.1,5.04,122.0,,1
LOT-0034,3,EQ-03,세정,B조,300.3,1034.6,5.16,114.0,,1
LOT-0034,4,EQ-03,세정,B조,298.9,1018.4,5.07,122.1,,1
LOT-0035,1,EQ-03,세정,A조,299.1,1029.4,5.06,121.1,,1
LOT-0035,2,EQ-03,세정,A조,300.3,1033.2,4.8,117.4,,1
LOT-0035,3,EQ-03,세정,A조,303.2,1025.7,4.94,118.6,,1
LOT-0035,4,EQ-03,세정,A조,302.6,1032.8,4.45,117.6,,1
LOT-0036,1,EQ-04,세정,B조,298.4,1024.9,4.62,125.1,정렬 불량,-1
LOT-0036,2,EQ-04,세정,B조,306.7,1014.0,5.28,115.4,두께 불량,-1
LOT-0036,3,EQ-04,세정,B조,307.1,1010.0,5.1,120.1,,1
LOT-0036,4,EQ-04,세정,B조,302.6,1024.9,4.8,122.9,,1
LOT-0037,1,EQ-03,세정,B조,301.1,1033.8,4.82,124.0,,1
LOT-0037,2,EQ-03,세정,B조,299.5,1028.2,4.52,118.8,,1
LOT-0037,3,EQ-03,세정,B조,300.2,1021.4,5.14,120.2,,1
LOT-0037,4,EQ-03,세정,B조,296.9,1023.6,4.8,122.8,,1
LOT-0038,1,EQ-04,산화,A조,304.5,997.2,4.99,118.8,,1
LOT-0038,2,EQ-04,산화,A조,298.2,1004.9,5.11,117.8,,1
LOT-0038,3,EQ-04,산화,A조,298.0,1013.2,4.77,116.4,,1
LOT-0038,4,EQ-04,산화,A조,302.6,1010.4,5.15,117.7,,1
LOT-0039,1,EQ-04,산화,C조,299.9,1009.3,4.7,115.2,,1
LOT-0039,2,EQ-04,산화,C조,304.3,998.7,5.4,128.5,,1
LOT-0039,3,EQ-04,산화,C조,306.1,1006.9,4.57,120.3,,1
LOT-0039,4,EQ-04,산화,C조,293.5,1009.6,4.72,129.9,,1
LOT-0040,1,EQ-01,산화,B조,305.0,1014.1,4.92,129.0,,1
LOT-0040,2,EQ-01,산화,B조,298.7,995.2,5.52,123.7,,1
LOT-0040,3,EQ-01,산화,B조,301.2,1015.1,4.97,132.5,,1
LOT-0040,4,EQ-01,산화,B조,299.4,1003.9,5.07,122.8,,1
LOT-0041,1,EQ-02,식각,B조,310.0,1017.9,4.76,115.7,,1
LOT-0041,2,EQ-02,식각,B조,298.1,1012.6,5.68,120.6,,1
LOT-0041,3,EQ-02,식각,B조,293.9,1010.9,4.74,123.9,,1
LOT-0041,4,EQ-02,식각,B조,308.5,1019.6,5.25,131.5,,1
LOT-0042,1,EQ-03,증착,B조,299.7,1020.7,4.86,115.0,,1
LOT-0042,2,EQ-03,증착,B조,304.8,1026.9,4.89,124.8,패턴 불량,-1
LOT-0042,3,EQ-03,증착,B조,300.6,1031.5,5.46,124.3,,1
LOT-0042,4,EQ-03,증착,B조,301.4,1027.0,5.3,118.5,,1
LOT-0043,1,EQ-03,식각,A조,299.7,1022.7,5.56,121.5,,1
LOT-0043,2,EQ-03,식각,A조,297.8,1025.0,4.68,119.1,,1
LOT-0043,3,EQ-03,식각,A조,301.3,1025.9,4.95,125.2,,1
LOT-0043,4,EQ-03,식각,A조,304.5,1032.4,5.0,122.5,,1
LOT-0044,1,EQ-01,증착,A조,303.4,1013.8,5.39,119.9,,1
LOT-0044,2,EQ-01,증착,A조,300.2,1019.3,4.86,117.7,,1
LOT-0044,3,EQ-01,증착,A조,303.4,1012.3,4.98,126.6,,1
LOT-0044,4,EQ-01,증착,A조,302.6,1006.8,4.75,118.7,,1
LOT-0045,1,EQ-02,포토,A조,293.8,1007.5,4.89,121.1,,1
LOT-0045,2,EQ-02,포토,A조,287.9,1004.3,5.34,115.2,,1
LOT-0045,3,EQ-02,포토,A조,316.9,1021.7,5.8,113.4,,1
LOT-0045,4,EQ-02,포토,A조,306.5,1013.9,4.72,123.7,,1
LOT-0046,1,EQ-02,산화,C조,296.1,1009.3,5.07,125.2,,1
LOT-0046,2,EQ-02,산화,C조,298.0,1014.7,4.69,119.1,오염,-1
LOT-0046,3,EQ-02,산화,C조,298.7,1003.4,4.82,115.7,,1
LOT-0046,4,EQ-02,산화,C조,301.4,1003.0,4.71,120.8,,1
LOT-0047,1,EQ-04,산화,A조,300.0,1002.5,5.52,124.8,패턴 불량,-1
LOT-0047,2,EQ-04,산화,A조,295.6,1011.1,4.99,119.2,두께 불량,-1
LOT-0047,3,EQ-04,산화,A조,302.5,999.9,4.41,120.3,,1
LOT-0047,4,EQ-04,산화,A조,298.5,1015.7,4.53,122.9,파티클,-1
LOT-0048,1,EQ-01,증착,B조,301.6,1004.5,5.29,114.6,,1
LOT-0048,2,EQ-01,증착,B조,295.5,1004.1,4.74,122.0,,1
LOT-0048,3,EQ-01,증착,B조,299.0,1009.9,5.38,122.6,,1
LOT-0048,4,EQ-01,증착,B조,305.5,1013.5,4.9,117.5,,1
LOT-0049,1,EQ-01,산화,B조,297.8,1010.4,5.05,120.9,,1
LOT-0049,2,EQ-01,산화,B조,301.7,1006.3,4.86,122.3,,1
LOT-0049,3,EQ-01,산화,B조,303.1,1008.7,4.84,128.0,,1
LOT-0049,4,EQ-01,산화,B조,300.4,999.2,4.6,122.7,,1
LOT-0050,1,EQ-02,포토,A조,295.6,1010.1,5.12,130.2,,1
LOT-0050,2,EQ-02,포토,A조,304.6,1024.8,5.14,119.6,,1
LOT-0050,3,EQ-02,포토,A조,304.9,1018.4,4.87,118.0,,1
LOT-0050,4,EQ-02,포토,A조,293.7,1000.7,5.3,113.2,,1
LOT-0051,1,EQ-03,산화,B조,303.0,1016.2,4.92,115.6,식각 부족,-1
LOT-0051,2,EQ-03,산화,B조,299.2,1026.0,5.16,124.5,,1
LOT-0051,3,EQ-03,산화,B조,296.4,1032.1,5.86,127.5,,1
LOT-0051,4,EQ-03,산화,B조,296.4,1011.9,5.14,123.0,,1
LOT-0052,1,EQ-03,식각,A조,302.5,1018.4,4.86,115.6,,1
LOT-0052,2,EQ-03,식각,A조,295.5,1034.2,5.19,115.6,,1
LOT-0052,3,EQ-03,식각,A조,295.6,1028.7,4.98,123.9,,1
LOT-0052,4,EQ-03,식각,A조,296.5,1029.9,5.19,120.7,,1
LOT-0053,1,EQ-02,식각,C조,302.0,999.3,5.03,129.1,,1
LOT-0053,2,EQ-02,식각,C조,298.6,1008.2,4.68,127.9,,1
LOT-0053,3,EQ-02,식각,C조,283.1,1009.4,5.39,112.7,,1
LOT-0053,4,EQ-02,식각,C조,309.9,1012.7,4.68,127.5,,1
LOT-0054,1,EQ-03,증착,B조,299.1,1038.2,4.51,114.3,,1
LOT-0054,2,EQ-03,증착,B조,303.1,1017.2,4.93,119.4,,1
LOT-0054,3,EQ-03,증착,B조,300.1,1017.4,5.05,120.9,,1
LOT-0054,4,EQ-03,증착,B조,299.5,1025.6,5.26,122.7,정렬 불량,-1
LOT-0055,1,EQ-03,산화,A조,293.4,1023.3,4.56,123.8,,1
LOT-0055,2,EQ-03,산화,A조,296.9,1025.9,4.8,114.2,,1
LOT-0055,3,EQ-03,산화,A조,291.8,1027.8,4.77,125.8,,1
LOT-0055,4,EQ-03,산화,A조,298.6,1028.6,4.59,120.9,,1
LOT-0056,1,EQ-03,포토,A조,302.5,1032.3,5.0,118.7,,1
LOT-0056,2,EQ-03,포토,A조,295.3,1040.7,5.87,120.9,,1
LOT-0056,3,EQ-03,포토,A조,300.6,1025.7,4.87,120.9,,1
LOT-0056,4,EQ-03,포토,A조,299.2,1033.8,5.09,114.1,,1
LOT-0057,1,EQ-03,세정,B조,296.8,1021.0,5.04,121.0,,1
LOT-0057,2,EQ-03,세정,B조,303.2,1017.7,4.87,124.0,,1
LOT-0057,3,EQ-03,세정,B조,295.9,1018.3,5.15,123.1,두께 불량,-1
LOT-0057,4,EQ-03,세정,B조,300.5,1030.1,5.11,118.8,,1
LOT-0058,1,EQ-03,세정,B조,296.3,1025.3,4.98,115.3,,1
LOT-0058,2,EQ-03,세정,B조,301.2,1017.5,4.78,115.7,,1
LOT-0058,3,EQ-03,세정,B조,301.3,1020.5,4.98,114.3,,1
LOT-0058,4,EQ-03,세정,B조,294.6,1022.4,4.82,115.0,,1
LOT-0059,1,EQ-01,증착,C조,301.2,1004.1,5.13,116.4,,1
LOT-0059,2,EQ-01,증착,C조,301.0,997.5,5.29,117.2,,1
LOT-0059,3,EQ-01,증착,C조,300.4,1001.4,4.85,120.0,,1
LOT-0059,4,EQ-01,증착,C조,303.1,1006.8,5.9,117.0,,1
LOT-0060,1,EQ-02,증착,A조,307.3,1014.4,4.73,129.4,,1
LOT-0060,2,EQ-02,증착,A조,297.0,1019.8,5.07,123.7,,1
LOT-0060,3,EQ-02,증착,A조,301.5,1014.4,4.71,122.6,오염,-1
LOT-0060,4,EQ-02,증착,A조,310.3,1002.8,4.7,121.4,식각 부족,-1
LOT-0061,1,EQ-04,산화,B조,303.2,1012.7,5.09,124.0,,1
LOT-0061,2,EQ-04,산화,B조,293.5,1035.9,5.01,128.6,,1
LOT-0061,3,EQ-04,산화,B조,300.1,1003.9,4.81,124.4,,1
LOT-0061,4,EQ-04,산화,B조,303.9,1012.8,4.86,119.1,,1
LOT-0062,1,EQ-04,식각,C조,300.0,999.0,4.69,118.0,파티클,-1
LOT-0062,2,EQ-04,식각,C조,298.6,996.8,4.94,115.4,전기적 특성 불량,-1
LOT-0062,3,EQ-04,식각,C조,302.9,1009.6,4.58,120.5,식각 부족,-1
LOT-0062,4,EQ-04,식각,C조,301.6,1011.2,5.2,116.9,,1
LOT-0063,1,EQ-04,증착,B조,302.7,1011.8,4.85,118.2,,1
LOT-0063,2,EQ-04,증착,B조,303.8,1009.9,4.63,119.2,,1
LOT-0063,3,EQ-04,증착,B조,300.0,1018.9,4.9,116.9,,1
LOT-0063,4,EQ-04,증착,B조,296.8,999.0,4.36,130.3,정렬 불량,-1
LOT-0064,1,EQ-04,세정,B조,305.5,1005.8,4.83,120.9,,1
LOT-0064,2,EQ-04,세정,B조,305.5,1017.3,5.2,115.5,,1
LOT-0064,3,EQ-04,세정,B조,298.0,1022.0,5.0,120.9,,1
LOT-0064,4,EQ-04,세정,B조,294.5,1005.9,4.94,121.7,,1
LOT-0065,1,EQ-01,산화,C조,300.9,1003.0,5.33,125.9,,1
LOT-0065,2,EQ-01,산화,C조,296.6,1008.8,4.9,121.6,,1
LOT-0065,3,EQ-01,산화,C조,299.8,1019.6,5.66,122.5,,1
LOT-0065,4,EQ-01,산화,C조,306.5,1000.9,5.56,118.9,,1
LOT-0066,1,EQ-04,증착,A조,306.5,1028.3,4.91,127.4,,1
LOT-0066,2,EQ-04,증착,A조,302.2,1004.7,5.17,116.2,,1
LOT-0066,3,EQ-04,증착,A조,304.7,1014.6,4.88,110.2,,1
LOT-0066,4,EQ-04,증착,A조,303.8,1020.4,5.03,124.2,,1
LOT-0067,1,EQ-04,포토,B조,298.4,1019.5,5.23,113.2,식각 부족,-1
LOT-0067,2,EQ-04,포토,B조,305.4,1018.9,5.41,109.5,오염,-1
LOT-0067,3,EQ-04,포토,B조,297.5,1013.8,4.55,121.9,,1
LOT-0067,4,EQ-04,포토,B조,303.7,1013.4,4.79,114.0,,1
LOT-0068,1,EQ-01,증착,B조,302.8,997.5,4.97,111.5,,1
LOT-0068,2,EQ-01,증착,B조,299.9,1018.2,5.11,129.2,,1
LOT-0068,3,EQ-01,증착,B조,301.3,992.6,5.19,116.7,,1
LOT-0068,4,EQ-01,증착,B조,300.1,1019.5,4.96,120.2,,1
LOT-0069,1,EQ-01,산화,B조,305.1,1016.4,5.1,118.2,두께 불량,-1
LOT-0069,2,EQ-01,산화,B조,299.6,1025.6,5.18,122.2,,1
LOT-0069,3,EQ-01,산화,B조,298.9,1016.4,4.65,126.8,오염,-1
LOT-0069,4,EQ-01,산화,B조,296.4,1007.8,4.87,124.7,,1
LOT-0070,1,EQ-04,식각,B조,297.8,1022.8,4.84,115.5,,1
LOT-0070,2,EQ-04,식각,B조,304.5,1013.1,5.13,121.0,,1
LOT-0070,3,EQ-04,식각,B조,307.4,1006.3,4.68,117.9,,1
LOT-0070,4,EQ-04,식각,B조,299.0,1020.2,4.61,118.4,파티클,-1
LOT-0071,1,EQ-04,식각,C조,304.0,1022.4,4.7,115.8,,1
LOT-0071,2,EQ-04,식각,C조,306.2,1015.8,5.21,110.2,,1
LOT-0071,3,EQ-04,식각,C조,300.3,1010.2,5.7,122.4,,1
LOT-0071,4,EQ-04,식각,C조,301.0,1007.2,4.73,129.1,,1
LOT-0072,1,EQ-04,포토,B조,301.2,1011.5,5.37,118.5,,1
LOT-0072,2,EQ-04,포토,B조,301.2,1013.8,5.33,119.4,패턴 불량,-1
LOT-0072,3,EQ-04,포토,B조,300.5,1024.4,4.25,112.9,,1
LOT-0072,4,EQ-04,포토,B조,299.0,1002.0,5.25,123.2,,1
LOT-0073,1,EQ-04,식각,A조,300.6,1020.6,5.21,127.4,,1
LOT-0073,2,EQ-04,식각,A조,307.6,1002.2,4.9,120.1,,1
LOT-0073,3,EQ-04,식각,A조,302.0,1005.0,5.15,122.2,,1
LOT-0073,4,EQ-04,식각,A조,300.3,1009.2,4.78,124.2,,1
LOT-0074,1,EQ-01,식각,A조,298.3,1009.5,5.11,118.4,,1
LOT-0074,2,EQ-01,식각,A조,302.0,996.2,4.99,114.1,,1
LOT-0074,3,EQ-01,식각,A조,297.2,1017.3,4.97,115.1,,1
LOT-0074,4,EQ-01,식각,A조,298.3,1011.8,4.41,125.0,,1
LOT-0075,1,EQ-01,세정,C조,302.4,1004.3,5.28,113.5,,1
LOT-0075,2,EQ-01,세정,C조,298.6,1015.0,4.78,107.5,,1
LOT-0075,3,EQ-01,세정,C조,301.6,1015.5,4.61,111.1,,1
LOT-0075,4,EQ-01,세정,C조,297.9,1010.7,5.44,121.1,,1
