측정시간,로트번호,웨이퍼번호,설비번호,공정명,작업조,온도_섭씨,압력_Pa,진공도_mTorr,두께_nm,진동_mm_s,처리시간_sec,냉각수온도_섭씨,습도_pct,불량유형,검사결과
2024-03-05 01:00,LOT-0375,23,EQ-04,식각,B조,298.8,995.7,4.96,97.55,0.53,108.0,20.35,53.0,,0
2024-03-05 02:00,LOT-0499,24,EQ-01,포토,A조,295.9,1023.2,4.64,95.45,0.472,126.6,21.35,39.7,,0
2024-03-05 03:00,LOT-0676,10,EQ-02,증착,C조,303.7,1012.6,5.58,99.03,0.698,118.1,20.82,43.0,,0
2024-03-05 07:00,LOT-0293,19,EQ-01,식각,B조,298.0,1008.7,4.82,95.35,0.468,122.9,18.65,48.2,,0
2024-03-05 09:00,LOT-0887,23,EQ-01,포토,B조,297.7,1003.8,4.66,99.78,0.484,111.5,18.78,46.3,,0
2024-03-05 11:00,LOT-0416,10,EQ-04,포토,C조,289.0,999.3,5.07,96.17,0.518,129.5,21.07,48.5,,0
2024-03-05 14:00,LOT-0328,23,EQ-03,세정,B조,302.3,1024.4,5.13,102.22,0.469,118.8,20.51,47.6,,0
2024-03-05 18:00,LOT-0106,4,EQ-04,식각,C조,297.1,1021.1,4.91,96.84,0.552,116.8,17.98,47.9,,0
2024-03-05 22:00,LOT-0876,10,EQ-01,산화,C조,295.2,1017.6,5.05,99.55,0.489,116.7,19.93,45.8,,0
2024-03-06 00:00,LOT-0831,5,EQ-04,증착,C조,306.8,1007.6,5.15,104.56,0.523,112.5,22.22,43.5,,0
2024-03-06 05:00,LOT-0087,4,EQ-03,포토,A조,298.8,1025.4,4.95,97.5,0.457,120.3,20.51,49.8,,0
2024-03-06 07:00,LOT-0096,18,EQ-01,산화,C조,297.2,1002.7,4.53,101.3,0.558,119.0,20.84,49.1,,0
2024-03-06 12:00,LOT-0181,9,EQ-04,포토,C조,309.0,999.4,4.82,105.22,0.428,117.0,20.11,42.5,,0
2024-03-06 22:00,LOT-0022,5,EQ-04,산화,C조,302.7,1010.8,4.67,107.41,0.508,103.2,20.31,44.1,,0
2024-03-06 23:00,LOT-0606,16,EQ-04,식각,B조,305.2,1025.8,4.83,103.11,0.513,126.8,19.34,40.7,,0
2024-03-07 04:00,LOT-0642,12,EQ-04,증착,B조,298.5,1007.8,4.88,99.18,0.525,125.6,20.04,45.8,오염,1
2024-03-07 08:00,LOT-0770,8,EQ-03,산화,B조,298.8,1006.5,4.75,98.33,0.441,123.1,19.55,41.2,,0
2024-03-07 12:00,LOT-0418,17,EQ-03,포토,B조,301.3,1037.4,4.91,101.34,0.565,104.4,23.99,51.6,,0
2024-03-07 14:00,LOT-0255,22,EQ-03,산화,B조,303.0,1010.9,4.37,103.3,0.533,134.4,19.85,43.4,,0
2024-03-07 18:00,LOT-0691,9,EQ-03,세정,B조,298.3,1021.5,5.25,101.08,0.501,117.9,19.65,51.5,,0
2024-03-07 20:00,LOT-0503,7,EQ-02,산화,B조,300.9,1009.5,5.41,102.2,0.659,129.2,21.06,40.3,,0
2024-03-07 22:00,LOT-0137,14,EQ-03,산화,A조,298.2,1008.3,4.97,101.02,0.425,112.0,21.59,46.7,,0
2024-03-08 01:00,LOT-0555,8,EQ-03,세정,C조,301.5,1024.7,5.44,100.64,0.55,118.0,20.38,55.1,,0
2024-03-08 05:00,LOT-0471,16,EQ-01,포토,A조,306.8,1004.7,4.44,100.24,0.537,119.5,19.48,43.6,,0
2024-03-08 12:00,LOT-0320,11,EQ-01,증착,B조,300.2,1008.0,5.13,101.33,0.579,117.7,22.48,41.9,,0
2024-03-08 14:00,LOT-0822,21,EQ-01,세정,C조,301.1,1008.9,4.9,100.22,0.591,129.1,20.26,47.8,,0
2024-03-08 17:00,LOT-0225,16,EQ-02,식각,B조,296.4,1006.2,4.59,98.18,0.726,121.0,20.21,49.1,,0
2024-03-09 04:00,LOT-0278,8,EQ-01,산화,B조,304.8,1007.5,4.97,100.75,0.588,122.2,20.97,46.5,,0
2024-03-09 12:00,LOT-0742,17,EQ-01,포토,A조,297.5,1014.1,5.28,102.2,0.444,120.9,20.27,49.1,,0
2024-03-09 14:00,LOT-0435,6,EQ-03,증착,B조,298.4,1024.5,4.63,95.92,0.464,123.4,19.0,42.9,,0
2024-03-09 17:00,LOT-0508,17,EQ-01,산화,B조,301.0,998.1,5.29,98.52,0.467,118.6,18.59,48.3,,0
2024-03-09 21:00,LOT-0095,7,EQ-04,세정,C조,300.0,1022.6,4.88,98.87,0.479,109.8,20.89,52.6,,0
2024-03-10 04:00,LOT-0587,19,EQ-02,식각,C조,298.7,1028.5,4.78,98.97,0.67,116.9,20.47,40.7,,0
2024-03-10 05:00,LOT-0898,10,EQ-03,포토,C조,301.0,1023.1,5.1,99.79,0.525,120.9,18.38,43.2,파티클,1
2024-03-10 09:00,LOT-0111,19,EQ-02,증착,C조,293.2,999.8,4.67,96.02,0.581,114.4,20.28,46.2,,0
2024-03-10 11:00,LOT-0352,19,EQ-04,식각,C조,313.3,1016.0,4.83,104.35,0.614,116.8,22.34,48.6,,0
2024-03-10 14:00,LOT-0383,7,EQ-01,산화,B조,294.0,1015.6,4.44,95.68,0.546,122.2,19.53,43.5,,0
2024-03-10 15:00,LOT-0808,3,EQ-02,포토,B조,302.8,1005.8,5.35,102.49,0.593,126.8,20.0,40.7,,0
2024-03-10 16:00,LOT-0596,18,EQ-02,증착,B조,300.1,1019.4,4.5,101.84,0.617,110.5,20.29,41.0,,0
2024-03-10 20:00,LOT-0148,1,EQ-04,증착,A조,299.3,1016.0,5.37,97.89,0.506,114.1,22.0,50.2,,0
2024-03-11 04:00,LOT-0537,20,EQ-01,식각,C조,293.5,1008.5,4.91,97.38,0.442,118.1,21.54,42.4,,0
2024-03-11 11:00,LOT-0523,20,EQ-03,증착,C조,303.6,1036.0,5.93,102.49,0.556,118.9,19.81,47.5,,0
2024-03-11 14:00,LOT-0471,11,EQ-04,증착,B조,300.2,1009.2,5.81,100.7,0.522,117.8,19.73,44.3,,0
2024-03-12 01:00,LOT-0638,7,EQ-02,포토,A조,299.5,1009.8,4.85,98.7,0.665,118.6,19.12,44.5,,0
2024-03-12 05:00,LOT-0191,18,EQ-01,세정,A조,306.7,1014.2,5.52,100.08,0.498,119.0,19.18,49.9,,0
2024-03-12 12:00,LOT-0734,20,EQ-04,포토,B조,306.1,1007.6,4.61,108.19,0.385,110.6,20.16,43.9,,0
2024-03-12 21:00,LOT-0747,11,EQ-01,증착,C조,296.2,1015.3,4.77,96.48,0.467,117.2,19.95,42.1,,0
2024-03-13 08:00,LOT-0842,15,EQ-03,식각,C조,298.3,1022.3,4.95,98.99,0.45,118.9,21.28,52.8,,0
2024-03-13 09:00,LOT-0161,5,EQ-02,포토,B조,302.3,1010.9,4.46,100.45,0.604,121.3,20.59,39.5,,0
2024-03-13 10:00,LOT-0486,21,EQ-03,포토,B조,298.6,1021.3,5.43,98.11,0.521,114.0,21.6,45.7,,0
2024-03-13 14:00,LOT-0693,8,EQ-02,세정,A조,308.4,1012.6,4.58,104.49,0.603,115.8,21.62,43.2,,0
2024-03-13 17:00,LOT-0682,18,EQ-03,세정,C조,302.4,1040.2,4.6,99.59,0.508,115.1,20.71,46.3,,0
2024-03-13 19:00,LOT-0082,21,EQ-01,산화,A조,304.3,1001.7,4.87,104.74,0.539,115.3,18.76,47.4,,0
2024-03-14 05:00,LOT-0862,21,EQ-02,포토,B조,300.7,1020.4,5.21,100.61,0.649,114.6,19.9,45.9,,0
2024-03-14 13:00,LOT-0060,8,EQ-04,산화,A조,297.3,1007.9,4.92,96.11,0.589,124.3,20.4,45.8,,0
2024-03-14 14:00,LOT-0839,21,EQ-01,세정,B조,296.7,1007.2,5.21,99.48,0.371,112.5,20.12,47.9,,0
2024-03-14 16:00,LOT-0803,12,EQ-02,식각,B조,292.4,1004.6,5.07,97.73,0.539,122.2,17.42,42.8,,0
2024-03-14 18:00,LOT-0892,4,EQ-04,산화,A조,304.2,1006.8,5.09,100.13,0.428,116.8,20.15,47.0,,0
2024-03-14 19:00,LOT-0258,14,EQ-02,세정,A조,294.4,1015.4,5.22,96.28,0.711,117.2,20.27,48.7,,0
2024-03-14 20:00,LOT-0295,4,EQ-03,증착,B조,301.3,1024.1,4.53,102.66,0.53,128.7,18.38,44.8,,0
2024-03-15 01:00,LOT-0638,13,EQ-02,포토,B조,287.4,1015.8,4.77,91.44,0.678,135.5,17.15,45.0,두께 불량,1
2024-03-15 03:00,LOT-0854,2,EQ-03,세정,A조,300.4,1026.4,4.7,99.37,0.462,121.6,19.51,44.2,,0
2024-03-15 06:00,LOT-0864,13,EQ-01,증착,A조,295.1,1003.5,4.56,97.71,0.363,122.9,21.87,42.6,,0
2024-03-15 09:00,LOT-0225,23,EQ-03,식각,C조,301.2,1007.9,5.76,104.05,0.414,131.0,21.39,48.7,,0
2024-03-15 15:00,LOT-0088,23,EQ-04,포토,A조,288.6,1009.2,5.07,96.1,0.5,117.6,20.85,43.6,,0
2024-03-15 19:00,LOT-0761,7,EQ-02,식각,C조,299.2,1007.8,4.51,101.76,0.616,113.0,19.77,47.5,,0
2024-03-15 21:00,LOT-0413,7,EQ-02,포토,C조,292.9,997.8,5.11,94.99,0.603,119.8,19.42,43.7,패턴 불량,1
2024-03-15 22:00,LOT-0588,10,EQ-02,포토,C조,298.1,1019.6,5.0,96.52,0.616,116.0,20.48,47.6,패턴 불량,1
2024-03-16 08:00,LOT-0679,17,EQ-04,산화,A조,296.5,1023.6,5.24,99.06,0.567,129.0,21.49,47.3,,0
2024-03-16 11:00,LOT-0501,7,EQ-01,증착,A조,302.9,1022.1,4.93,104.7,0.516,120.5,19.05,49.0,,0
2024-03-16 12:00,LOT-0893,2,EQ-01,증착,C조,296.6,999.2,5.73,101.74,0.484,117.9,17.98,39.5,,0
2024-03-16 14:00,LOT-0064,7,EQ-02,식각,A조,307.4,1015.7,4.5,102.33,0.546,132.7,19.81,44.3,,0
2024-03-16 17:00,LOT-0432,6,EQ-01,세정,A조,295.3,1025.0,5.08,102.17,0.482,121.2,18.75,46.7,,0
2024-03-16 22:00,LOT-0341,8,EQ-02,증착,C조,302.6,1017.1,4.75,104.53,0.697,116.0,19.53,41.4,,0
2024-03-17 15:00,LOT-0202,13,EQ-03,세정,C조,297.9,1030.3,4.82,102.36,0.522,113.7,20.44,43.1,,0
2024-03-17 18:00,LOT-0427,7,EQ-02,산화,A조,296.2,1016.2,5.6,102.33,0.674,112.9,21.13,47.9,,0
2024-03-18 18:00,LOT-0827,22,EQ-04,산화,C조,301.0,1019.0,5.45,100.26,0.532,124.1,20.88,52.2,,0
2024-03-18 20:00,LOT-0212,6,EQ-03,산화,C조,294.4,1034.3,5.37,100.01,0.449,109.4,20.15,50.6,,0
2024-03-19 06:00,LOT-0378,14,EQ-02,증착,C조,315.7,993.5,5.41,110.57,0.653,114.4,20.65,41.8,,0
2024-03-19 14:00,LOT-0572,18,EQ-03,증착,B조,296.2,1034.9,4.97,103.6,0.502,119.8,20.79,45.7,,0
2024-03-19 17:00,LOT-0797,23,EQ-02,세정,C조,299.4,1008.2,4.68,100.01,0.652,120.1,19.29,42.3,,0
2024-03-19 22:00,LOT-0809,9,EQ-03,세정,A조,304.5,1039.3,5.91,96.84,0.569,119.9,20.69,41.4,,0
2024-03-20 09:00,LOT-0212,9,EQ-04,산화,B조,298.9,1016.6,5.5,104.06,0.45,115.8,17.23,42.1,,0
2024-03-20 13:00,LOT-0232,4,EQ-01,증착,A조,299.5,1009.0,5.73,97.39,0.519,114.0,20.46,44.5,,0
2024-03-20 17:00,LOT-0728,21,EQ-02,증착,C조,305.7,1019.6,5.35,99.98,0.681,118.0,21.61,43.6,,0
2024-03-20 22:00,LOT-0751,3,EQ-03,세정,B조,300.0,1030.5,4.81,101.56,0.441,121.4,21.72,42.6,,0
2024-03-20 23:00,LOT-0502,4,EQ-02,산화,A조,298.8,1005.7,5.24,99.56,0.63,127.4,19.55,47.9,,0
2024-03-21 02:00,LOT-0071,17,EQ-03,포토,B조,296.0,1019.5,4.9,98.44,0.539,118.7,17.89,44.7,정렬 불량,1
2024-03-21 03:00,LOT-0257,24,EQ-04,증착,B조,306.3,1018.4,5.4,104.08,0.487,126.0,20.86,43.9,,0
2024-03-21 05:00,LOT-0260,21,EQ-04,세정,B조,296.5,1008.1,5.06,98.12,0.483,111.5,19.94,43.1,식각 부족,1
2024-03-21 13:00,LOT-0138,7,EQ-03,세정,C조,301.8,1015.6,5.28,97.36,0.443,129.4,19.37,43.7,,0
2024-03-21 17:00,LOT-0820,13,EQ-02,증착,B조,296.6,1004.7,5.48,102.35,0.679,122.0,19.66,41.0,,0
2024-03-21 18:00,LOT-0574,25,EQ-01,세정,B조,300.4,1006.3,4.46,102.23,0.459,121.9,21.21,43.2,,0
2024-03-22 04:00,LOT-0003,12,EQ-01,식각,C조,303.8,1017.4,5.41,106.13,0.478,121.2,20.55,49.9,,0
2024-03-22 06:00,LOT-0175,2,EQ-02,증착,A조,296.9,996.3,4.9,96.78,0.646,124.0,18.89,44.8,,0
2024-03-22 14:00,LOT-0213,16,EQ-03,증착,B조,296.4,1029.1,4.46,98.28,0.49,111.8,19.98,46.0,,0
2024-03-22 19:00,LOT-0709,21,EQ-02,식각,C조,300.1,1017.3,4.96,98.67,0.657,118.5,20.57,39.6,,0
2024-03-22 20:00,LOT-0030,20,EQ-01,포토,A조,298.3,1008.5,4.68,98.23,0.339,119.7,17.71,42.2,,0
2024-03-22 21:00,LOT-0468,4,EQ-01,증착,C조,302.8,1013.0,5.06,100.67,0.491,113.6,20.44,45.4,,0
2024-03-23 06:00,LOT-0483,16,EQ-03,식각,C조,296.8,1027.7,5.02,98.76,0.567,133.3,21.39,46.6,,0
2024-03-23 10:00,LOT-0107,7,EQ-04,산화,B조,308.8,1011.1,4.96,103.47,0.467,120.9,21.46,42.4,패턴 불량,1
2024-03-23 11:00,LOT-0581,13,EQ-02,증착,B조,293.8,998.2,4.96,101.18,0.586,112.2,18.79,43.0,,0
2024-03-23 13:00,LOT-0001,21,EQ-01,증착,A조,298.9,1009.0,4.73,102.64,0.55,126.1,21.51,46.6,,0
2024-03-23 22:00,LOT-0837,11,EQ-01,세정,A조,302.8,1016.0,5.27,104.7,0.441,124.5,17.43,44.8,,0
2024-03-24 02:00,LOT-0394,7,EQ-03,포토,C조,296.9,1020.4,4.46,98.98,0.508,127.2,21.85,42.1,,0
2024-03-24 03:00,LOT-0309,10,EQ-01,세정,C조,298.4,1010.5,4.3,101.58,0.566,111.0,20.14,44.3,,0
2024-03-24 05:00,LOT-0682,1,EQ-01,포토,A조,305.9,1011.9,4.58,104.99,0.466,112.7,21.29,50.3,,0
2024-03-24 06:00,LOT-0341,17,EQ-02,산화,A조,290.1,1016.1,4.83,94.69,0.603,119.8,21.58,42.7,전기적 특성 불량,1
2024-03-24 11:00,LOT-0633,20,EQ-04,세정,C조,296.0,1023.9,4.87,95.88,0.473,111.6,19.63,50.2,,0
2024-03-24 21:00,LOT-0647,1,EQ-01,포토,A조,302.6,1008.0,4.61,99.83,0.499,119.9,17.56,47.4,,0
2024-03-25 02:00,LOT-0494,23,EQ-01,증착,C조,303.2,1011.3,5.21,100.22,0.488,122.5,18.43,45.3,,0
2024-03-25 04:00,LOT-0192,7,EQ-02,식각,A조,293.3,1016.0,4.89,94.92,0.654,127.0,21.96,43.0,,0
2024-03-25 15:00,LOT-0238,25,EQ-02,산화,C조,299.4,1018.2,5.41,100.9,0.716,129.4,18.87,42.0,,0
2024-03-25 18:00,LOT-0889,9,EQ-04,포토,A조,300.4,1008.9,4.9,102.72,0.473,123.5,17.92,48.5,,0
2024-03-25 23:00,LOT-0404,1,EQ-02,산화,A조,304.7,1003.5,4.47,101.02,0.548,117.9,19.69,45.1,,0
2024-03-26 00:00,LOT-0019,18,EQ-04,세정,B조,301.4,1004.3,4.9,101.32,0.514,120.2,19.51,45.5,,0
2024-03-26 15:00,LOT-0482,25,EQ-01,세정,A조,298.8,1005.6,5.61,99.54,0.488,108.4,22.45,51.7,,0
2024-03-26 19:00,LOT-0512,20,EQ-04,식각,B조,303.8,1000.0,5.57,102.62,0.589,122.2,19.55,48.6,,0
2024-03-26 21:00,LOT-0140,13,EQ-01,식각,C조,301.1,1007.1,5.18,100.08,0.432,131.6,20.35,42.5,,0
2024-03-26 23:00,LOT-0773,4,EQ-01,증착,A조,299.7,1014.5,5.21,101.88,0.575,114.4,20.56,46.9,,0
2024-03-27 01:00,LOT-0042,6,EQ-02,식각,C조,297.6,1003.7,4.71,102.53,0.724,122.9,17.21,48.8,,0
2024-03-27 08:00,LOT-0513,9,EQ-02,세정,C조,297.1,1006.1,4.69,98.91,0.679,116.9,22.16,46.4,정렬 불량,1
2024-03-27 10:00,LOT-0871,18,EQ-04,산화,A조,302.5,1009.5,5.28,102.07,0.543,117.9,20.73,42.7,,0
2024-03-27 15:00,LOT-0576,4,EQ-02,포토,B조,298.0,1010.6,4.86,101.06,0.612,108.3,20.02,47.3,,0
2024-03-27 17:00,LOT-0548,9,EQ-03,포토,C조,298.3,1033.0,4.99,98.56,0.443,118.1,20.41,43.9,,0
2024-03-27 21:00,LOT-0096,18,EQ-02,식각,A조,294.1,1013.5,4.98,95.26,0.658,127.3,20.28,46.9,,0
2024-03-27 23:00,LOT-0784,20,EQ-01,증착,A조,299.1,992.7,5.14,98.34,0.517,122.1,20.81,45.7,,0
2024-03-28 01:00,LOT-0798,22,EQ-01,산화,B조,303.3,997.3,5.12,102.65,0.555,125.2,20.01,46.1,,0
2024-03-28 04:00,LOT-0520,19,EQ-04,식각,C조,296.9,1020.2,4.97,99.78,0.533,121.9,20.58,44.4,,0
2024-03-28 15:00,LOT-0195,1,EQ-04,세정,C조,298.0,1012.1,4.8,92.89,0.501,125.3,19.79,44.9,,0
2024-03-28 22:00,LOT-0770,9,EQ-04,포토,C조,304.0,1010.0,4.55,100.26,0.55,119.7,19.64,42.4,,0
2024-03-29 02:00,LOT-0064,2,EQ-03,포토,C조,298.9,1023.3,5.32,97.45,0.478,122.9,20.26,42.4,,0
2024-03-29 03:00,LOT-0230,18,EQ-03,산화,A조,292.9,1041.5,4.92,94.49,0.501,124.0,21.05,44.7,,0
2024-03-29 04:00,LOT-0658,4,EQ-03,증착,C조,295.9,1036.2,4.51,100.82,0.548,121.8,19.7,46.5,,0
2024-03-29 11:00,LOT-0553,5,EQ-01,포토,A조,295.9,1012.2,4.7,101.52,0.473,123.0,20.39,48.6,,0
2024-03-29 21:00,LOT-0419,2,EQ-03,포토,C조,302.7,1027.0,5.21,99.23,0.506,123.5,18.89,46.6,정렬 불량,1
2024-03-30 00:00,LOT-0868,7,EQ-01,포토,A조,300.9,1012.8,5.19,101.51,0.431,116.5,20.98,39.3,,0
2024-03-30 02:00,LOT-0146,23,EQ-04,포토,B조,302.1,1009.9,4.79,102.1,0.461,118.4,19.92,45.6,패턴 불량,1
2024-03-30 10:00,LOT-0412,22,EQ-04,산화,B조,301.0,1022.6,4.98,98.49,0.46,118.6,19.74,49.6,,0
2024-03-30 11:00,LOT-0724,8,EQ-03,산화,C조,293.1,1015.3,4.91,96.09,0.45,110.9,18.86,42.3,,0
2024-03-30 13:00,LOT-0847,9,EQ-01,세정,A조,297.4,1024.7,5.07,99.08,0.563,122.5,19.22,37.9,,0
2024-03-30 17:00,LOT-0222,2,EQ-02,산화,C조,281.1,1003.9,4.79,93.65,0.696,121.7,19.02,40.9,,0
2024-03-30 19:00,LOT-0725,21,EQ-04,식각,C조,301.0,1010.1,4.82,102.57,0.528,118.0,20.62,41.1,,0
2024-03-31 10:00,LOT-0178,7,EQ-03,세정,B조,300.6,1018.5,5.18,100.17,0.431,115.1,21.64,39.0,,0
2024-03-31 14:00,LOT-0825,9,EQ-01,포토,C조,299.5,1006.3,4.86,101.22,0.507,117.6,20.33,44.2,,0
2024-04-01 00:00,LOT-0487,19,EQ-04,산화,C조,299.5,997.9,5.18,103.84,0.56,119.2,22.12,48.4,,0
2024-04-01 01:00,LOT-0059,19,EQ-01,포토,C조,301.5,1017.9,5.05,101.33,0.533,114.7,22.23,40.6,,0
2024-04-01 02:00,LOT-0558,13,EQ-04,포토,B조,294.1,1021.9,5.23,94.87,0.507,119.8,20.15,39.1,두께 불량,1
2024-04-01 03:00,LOT-0774,8,EQ-01,식각,C조,300.7,1030.1,4.7,99.44,0.523,123.4,20.4,43.4,,0
2024-04-01 04:00,LOT-0512,21,EQ-04,식각,B조,297.9,1007.5,6.2,98.98,0.526,119.2,21.02,46.8,,0
2024-04-01 13:00,LOT-0476,2,EQ-02,세정,A조,300.7,1015.0,5.18,101.42,0.772,120.0,19.57,37.2,,0
2024-04-01 18:00,LOT-0726,23,EQ-03,세정,A조,302.8,1033.1,4.85,99.38,0.533,111.8,21.89,40.5,,0
2024-04-02 09:00,LOT-0125,23,EQ-04,산화,A조,295.2,1012.4,4.75,97.59,0.457,112.3,22.34,46.2,,0
2024-04-02 10:00,LOT-0519,25,EQ-03,세정,C조,303.6,1022.2,4.8,97.6,0.476,119.0,20.03,48.0,,0
2024-04-02 15:00,LOT-0629,17,EQ-03,증착,A조,303.1,1024.7,4.62,98.59,0.529,125.1,20.02,45.2,,0
2024-04-02 17:00,LOT-0300,12,EQ-04,증착,A조,299.7,1013.4,4.98,98.7,0.488,105.5,21.62,44.1,,0
2024-04-02 19:00,LOT-0810,6,EQ-03,포토,A조,296.7,1035.8,5.31,99.02,0.554,135.2,22.87,39.8,,0
2024-04-03 03:00,LOT-0160,10,EQ-02,산화,A조,300.0,1014.2,4.79,101.37,0.76,123.1,19.62,47.1,,0
2024-04-03 09:00,LOT-0038,7,EQ-03,식각,C조,298.7,1011.1,5.29,101.65,0.561,119.3,19.07,42.5,,0
2024-04-03 11:00,LOT-0524,2,EQ-01,식각,A조,298.0,998.1,4.69,98.04,0.526,131.8,19.82,44.3,,0
2024-04-03 18:00,LOT-0363,9,EQ-01,세정,A조,302.1,1004.6,5.17,107.87,0.471,116.0,21.29,49.8,,0
2024-04-04 04:00,LOT-0397,1,EQ-03,포토,A조,299.3,1008.2,5.16,99.81,0.578,124.5,19.52,44.6,,0
2024-04-04 14:00,LOT-0373,22,EQ-01,증착,A조,303.5,1003.9,4.77,100.11,0.435,122.5,22.01,46.9,,0
2024-04-04 15:00,LOT-0384,8,EQ-01,식각,C조,297.1,1007.1,4.65,96.45,0.477,114.6,19.38,41.2,,0
2024-04-04 18:00,LOT-0364,14,EQ-02,포토,A조,301.9,1004.6,5.09,104.11,0.556,132.1,18.53,40.2,식각 과다,1
2024-04-05 01:00,LOT-0317,5,EQ-03,식각,C조,298.5,1025.0,5.24,97.9,0.513,111.9,20.82,46.2,,0
2024-04-05 02:00,LOT-0280,13,EQ-04,증착,C조,295.0,1019.2,5.45,95.42,0.519,115.1,21.42,42.9,,0
2024-04-05 03:00,LOT-0683,23,EQ-03,식각,A조,296.6,1016.6,5.28,99.12,0.56,118.0,18.84,42.3,,0
2024-04-05 05:00,LOT-0340,2,EQ-02,산화,C조,295.4,1022.0,4.9,95.06,0.599,112.6,20.02,39.4,,0
2024-04-05 07:00,LOT-0127,4,EQ-01,증착,A조,299.0,1002.7,4.81,100.72,0.616,114.4,18.93,45.4,,0
2024-04-05 10:00,LOT-0085,18,EQ-03,세정,A조,296.9,1024.2,4.8,98.16,0.514,125.2,18.87,49.9,,0
2024-04-05 14:00,LOT-0537,19,EQ-01,세정,B조,301.9,1004.7,5.43,100.72,0.479,106.7,18.04,51.8,전기적 특성 불량,1
2024-04-05 15:00,LOT-0219,19,EQ-02,세정,A조,298.5,1012.6,5.19,98.5,0.598,112.9,20.0,46.6,,0
2024-04-05 19:00,LOT-0031,13,EQ-02,증착,B조,298.1,1002.7,4.73,102.1,0.651,124.1,20.18,41.7,,0
2024-04-06 04:00,LOT-0573,22,EQ-03,증착,A조,305.6,1010.9,4.88,103.25,0.526,124.3,20.43,42.3,,0
2024-04-06 11:00,LOT-0031,9,EQ-02,증착,B조,299.1,1005.4,5.03,99.01,0.587,115.9,20.66,46.3,,0
2024-04-06 16:00,LOT-0184,9,EQ-04,증착,B조,303.5,1008.9,5.37,103.57,0.569,119.8,19.69,38.0,,0
2024-04-07 05:00,LOT-0546,8,EQ-04,증착,C조,292.6,999.8,4.73,92.66,0.484,119.3,23.25,48.5,,0
2024-04-07 08:00,LOT-0218,20,EQ-04,세정,B조,294.4,1014.5,4.51,96.58,0.548,114.5,20.7,44.0,,0
2024-04-07 10:00,LOT-0076,6,EQ-02,산화,A조,301.7,1012.5,5.37,102.62,0.631,121.4,20.19,40.2,,0
2024-04-07 12:00,LOT-0159,20,EQ-01,증착,B조,298.8,998.4,4.91,93.13,0.485,120.5,18.9,46.7,,0
2024-04-07 13:00,LOT-0517,13,EQ-03,증착,A조,300.3,1018.3,5.02,100.85,0.535,126.5,21.82,45.0,,0
2024-04-07 16:00,LOT-0593,12,EQ-01,식각,B조,296.3,1007.1,4.56,96.53,0.498,125.8,20.73,48.8,,0
